編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
RPSNMLOLKHKGFEF48EA,坡道平面,0,34.90,地下三樓
RPSNMLOLKHKGFEF48EA,坡道平面,0,34.90,地下三樓
RPQNMLPLKHKGFCF18EA,坡道平面,2680000,35.49,地下四樓
RPPNMLPLKHKGFEF28EA,坡道平面,0,,地下一樓
RPVOMLKLKHKGFBF08DA,坡道平面,0,,地下一樓
RPSOMLPJKHKGFCF18DA,坡道平面,2000000,29.87,地下三樓
RPWNMLOLKHKGFAF38DA,坡道平面,0,38.64,地下三樓
RPPNMLKLKHKGFHF97DA,坡道平面,0,26.37,地下三樓
RPOOMLRKKHKGFGF48DA,坡道平面,2400000,47.67,地下二樓
RPPNMLRLKHKGFDF28DA,坡道平面,600000,37.42,地下一樓
RPVNMLOLKHKGFGF88DA,坡道平面,1950000,35.61,地下三樓
RPUNMLOLKHKGFGF78DA,坡道平面,2050000,35.61,地下三樓
RPPNMLKKKHKGFBF27DA,一樓平面,0,28.22,一樓
RPTNMLPLKHKGFGF88EA,坡道平面,2500000,40.29,地下三樓
RPQNMLLLKHKGFBF57DA,坡道平面,2000000,32.14,地下二樓
RPQNMLLLKHKGFBF57DA,坡道平面,2000000,32.14,地下二樓
RPUNMLRLKHKGFDF78DA,坡道平面,0,33.09,地下二樓
RPRNMLOLKHKGFEF38EA,坡道平面,0,34.90,地下三樓
RPRNMLOLKHKGFEF38EA,坡道平面,0,34.90,地下三樓
RPQNMLPLKHKGFBF97DA,坡道平面,1950000,43.03,地下三樓
RPRNMLRLKHKGFDF48DA,坡道平面,2000000,23.03,地下五樓含以下
RPSNMLTKKHKGFBF48DA,坡道平面,2300000,23.18,地下一樓
RPPNMLTKKHKGFBF18DA,坡道平面,0,43.36,地下四樓
RPWNMLOKKHKGFEF68DA,坡道平面,0,24.39,地下二樓
RPUOMLLLKHKGFEF38DA,坡道平面,1000000,46.60,地下二樓
RPSNMLRKKHKGFGF78DA,坡道平面,0,4.82,地下二樓
RPQNMLNJLHKGFBF67DA,坡道平面,0,47.55,地下一樓
RPVOMLRLKHKGFEF09DA,坡道平面,1300000,33.14,地下二樓
RPTNMLNJLHKGFEF38EA,坡道平面,1400000,41.99,地下一樓
RPQQMLTKKHKGFBF58DA,坡道平面,2200000,21.14,地下三樓
RPQOMLRLKHKGFEF58DA,坡道平面,1000000,,地下二樓
RPQOMLRLKHKGFEF58DA,坡道平面,1000000,,地下二樓
RPPNMLRLKHKGFGF58DA,坡道平面,2000000,33.57,地下一樓
RPPNMLNJLHKGFEF87DA,坡道平面,1000000,38.29,地下一樓
RPRNMLPJLHKGFCF08DA,坡道平面,1450000,43.99,地下一樓
RPPNMLNJLHKGFHF28EA,坡道平面,2060000,33.05,地下三樓
RPSNMLNJLHKGFHF58EA,坡道平面,0,16.88,地下四樓
RPSNMLNJLHKGFHF58EA,坡道平面,0,17.10,地下二樓
RPRNMLNJLHKGFHF48EA,坡道平面,0,16.88,地下三樓
RPRNMLNJLHKGFHF48EA,坡道平面,0,16.88,地下三樓
RPPNMLRLKHKGFGF68EA,坡道平面,2000000,28.66,地下二樓
RPQNMLNJLHKGFIF48EA,坡道平面,1500000,22.20,地下三樓
RPUNMLOJLHKGFBF28EA,坡道平面,0,13.58,地下一樓
RPUOMLQLKHKGFAF48DA,坡道平面,0,7.99,地下二樓
RPRNMLNJLHKGFAF67DA,坡道平面,0,7.99,地下二樓
RPQOMLNJLHKGFAF67DA,坡道平面,2120000,40.70,地下一樓
RPPPMLOJLHKGFAF77DA,坡道平面,2600000,38.09,地下四樓
RPTNMLRLKHKGFDF68DA,坡道平面,2700000,42.30,地下一樓
RPVNMLOLKHKGFCF48DA,坡道平面,0,32.75,地下三樓
RPVOMLOJLHKGFDF58DA,坡道平面,0,38.99,地下二樓
RPPNMLQLKHKGFEF28DA,坡道平面,0,32.22,地下三樓
RPQNMLPJLHKGFGF38DA,坡道平面,2800000,32.09,地下一樓
RPTRMLNKKHKGFBF38DA,坡道平面,0,,地下一樓
RPQNMLRLKHKGFAF08DA,坡道平面,0,31.52,地下二樓
RPQNMLRLKHKGFAF08DA,坡道平面,0,32.59,地下二樓
RPUOMLNJLHKGFHF78DA,坡道平面,2300000,36.43,地下一樓
RPTOMLQLKHKGFBF48DA,坡道平面,0,25.36,地下四樓
RPXNMLQJLHKGFHF66DA,坡道平面,0,18.38,地下三樓
RPPNMLQJLHKGFIF58DA,坡道平面,0,,地下四樓
RPUOMLPJLHKGFEF78EA,坡道平面,0,42.93,地下三樓
RPUTMLPJLHKGFBF88DA,坡道平面,2220000,29.72,地下二樓
RPOOMLSJKHKGFBF97DA,坡道平面,2000000,21.58,地下二樓
RPRRMLOJLHKGFBF28DA,坡道平面,0,24.09,地下三樓
RPRPMLMKKHKGFIF58DA,升降平面,1300000,,地下二樓
RPUNMLPKJHKGFHF78DA,坡道平面,0,39.98,地下三樓
RPPNMLMKJHKGFDF57DA,坡道平面,0,37.13,地下三樓
RPQNMLMKJHKGFDF67DA,坡道平面,0,37.13,地下三樓
RPRNMLOKJHKGFEF18EA,坡道平面,800000,34.83,地下一樓
RPPPMLRJJHKGFBF97DA,坡道平面,0,42.84,地下三樓
RPTNMLOKJHKGFGF58EA,坡道平面,0,36.97,地下二樓
RPTNMLOKJHKGFGF58EA,坡道平面,0,36.97,地下二樓
RPROMLPKJHKGFCF08DA,坡道平面,250000,35.08,地下一樓
RPWNMLNKJHKGFBF18DA,坡道平面,1550000,,地下一樓
RPUOMLMJJHKGFAF77DA,坡道平面,3100000,16.15,地下一樓
RPQNMLOKJHKGFIF38DA,升降機械,0,33.76,地下一樓
RPWNMLOKJHKGFIF98DA,坡道平面,1800000,29.73,地下一樓
RPQNMLQKJHKGFDF18EA,坡道平面,0,5.30,地下二樓
RPPNMLQKJHKGFDF08EA,坡道平面,0,10.60,地下二樓
RPQOMLNKJHKGFCF77DA,坡道平面,2100000,25.01,地下三樓
RPXNMLRKJHKGFCF78DA,坡道平面,2600000,32.76,地下三樓
RPUOMLQKJHKGFGF88DA,坡道平面,0,29.31,地下二樓
RPUOMLQKJHKGFGF88DA,坡道平面,0,29.31,地下二樓
RPVNMLQKJHKGFDF68EA,坡道平面,2000000,37.91,地下四樓
RPQOMLQKJHKGFBF97DA,坡道平面,2200000,22.80,地下一樓
RPSNMLRKJHKGFBF18DA,坡道平面,2300000,30.98,地下一樓
RPSNMLRKJHKGFBF18DA,坡道平面,2300000,32.39,地下一樓
RPRNMLRKJHKGFBF08DA,坡道平面,2200000,30.98,地下一樓
RPROMLPKJHKGFBF97DA,坡道機械,550000,9.78,地下二樓
RPQNMLOKJHKGFCF77DA,坡道平面,0,,地下一樓
RPQNMLOKJHKGFCF77DA,坡道平面,0,,地下一樓
RPQNMLOKJHKGFCF77DA,坡道平面,0,,地下一樓
RPRNMLTJJHKGFCF28DA,坡道平面,2000000,26.42,地下二樓
RPQNMLTKJHKGFDF38DA,坡道平面,0,57.75,地下一樓
RPRNMLKLJHKGFCF67EA,坡道平面,2600000,35.50,地下一樓
RPSOMLSJJHKGFCF38DA,坡道平面,2950000,33.21,地下一樓
RPTNMLLLJHKGFBF87EA,坡道平面,1400000,37.25,地下二樓
RPUNMLNKJHKGFAF87DA,坡道平面,0,30.05,地下五樓含以下
RPSSNLOKJHKGFAF38DA,坡道平面,0,,地下一樓
RPPNMLMLJHKGFGF08EA,坡道平面,2000000,23.08,地下二樓
RPPNMLNKJHKGFAF37DA,坡道平面,2700000,23.42,地下三樓
RPPNMLMLJHKGFHF18EA,坡道平面,0,8.49,地下一樓
RPPNMLOJJHKGFCF57DA,坡道機械,1200000,19.99,地下二樓
RPUOOLPKJHKGFAF38DA,坡道平面,2800000,21.01,地下一樓
RPSOMLNLJHKGFHF68EA,坡道平面,2500000,33.23,地下二樓
RPQPMLRKJHKGFIF88DA,坡道平面,1700000,21.74,地下三樓
RPPNMLMLJHKGFEF87EA,坡道平面,1500000,19.73,地下五樓含以下
RPPNMLMLJHKGFEF87EA,坡道平面,1500000,19.73,地下五樓含以下
RPQNMLRKJHKGFIF78EA,坡道平面,1850000,31.44,地下一樓
RPPNMLOLJHKGFBF77EA,坡道平面,0,43.16,地下四樓
RPVNMLNLJHKGFIF88DA,坡道平面,1820000,29.12,地下二樓
RPTNMLOLJHKGFGF68EA,坡道平面,0,1.95,地下二樓
RPTNMLOLJHKGFGF68EA,坡道平面,0,1.95,地下二樓
RPVNMLNJKHKGFBF08DA,坡道平面,0,12.87,地下一樓
RPVNMLNJKHKGFBF08DA,坡道平面,0,13.57,地下一樓
RPPQMLOJKHKGFAF77DA,坡道平面,2500000,30.05,地下五樓含以下
RPTOMLQKJHKGFEF58DA,坡道平面,1700000,38.63,地下一樓
RPVNMLNJKHKGFCF18DA,坡道平面,2120000,44.86,地下二樓
RPWNMLNJKHKGFCF28DA,坡道平面,1500000,44.86,地下二樓
RPXNMLMLJHKGFDF48DA,升降平面,1200000,24.30,地下三樓
RPWOMLOJKHKGFEF68DA,坡道機械,650000,6.73,地下五樓含以下
RPVSMLNJKHKGFAF48DA,坡道平面,2000000,31.92,地下三樓
RPUQMLNJJHKGFEF48DA,坡道平面,0,33.99,地下二樓
RPPPNLNJKHKGFAF67DA,坡道平面,0,,地下二樓
RPPNMLOJKHKGFIF38EA,坡道平面,1500000,19.34,地下二樓
RPWNMLOJKHKGFIF09EA,坡道平面,1200000,25.88,地下一樓
RPRNMLKLJHKGFCF57DA,坡道平面,2950000,33.21,地下一樓
RPOOMLPJKHKGFHF38EA,坡道機械,0,,無固定樓層
RPQNMLPJKHKGFDF97DA,坡道平面,1100000,33.08,地下二樓
RPQOMLOJKHKGFBF77DA,坡道機械,930000,25.34,地下二樓
RPWNMLKLJHKGFHF58DA,坡道機械,1900000,18.87,地下四樓
RPSNMLOJKHKGFAF87EA,坡道平面,0,29.55,地下二樓
RPSNMLOJKHKGFAF87EA,坡道平面,0,29.55,地下二樓
RPSNMLNJKHKGFEF18EA,坡道平面,1650000,29.80,地下三樓
RPSNMLNJKHKGFEF18EA,坡道平面,1650000,29.80,地下三樓
RPRNMLOJKHKGFEF18EA,坡道平面,1650000,29.80,地下三樓
RPQNMLOJKHKGFEF08EA,坡道平面,1750000,29.80,地下二樓
RPQNMLOJKHKGFEF08EA,坡道平面,1750000,29.80,地下二樓
RPQNMLOJKHKGFCF87EA,坡道平面,0,36.91,地下一樓
RPSNMLOJKHKGFEF28EA,坡道平面,1500000,29.80,地下四樓
RPTNMLOJKHKGFEF38EA,坡道平面,1720000,29.80,地下二樓
RPTNMLOJKHKGFEF38EA,坡道平面,1670000,28.69,地下二樓
RPPNMLPJKHKGFGF28EA,升降機械,0,7.27,地下三樓
RPVOMLQJKHKGFHF56EA,坡道平面,0,,地下二樓
RPPNMLPJKHKGFBF77EA,坡道平面,1650000,26.45,地下一樓
RPOPMLNJKHKGFBF57DA,坡道平面,0,32.43,地下二樓
RPTPMLOJKHKGFBF18DA,坡道平面,0,22.92,地下一樓
RPQOMLQJKHKGFBF97DA,坡道平面,0,,地下二樓
RPROMLPJKHKGFBF97DA,坡道平面,2500000,47.18,地下四樓
RPWPMLOJKHKGFHF09DA,坡道機械,1700000,10.21,地下四樓
RPQOMLPJKHKGFAF87EA,坡道平面,0,15.03,地下二樓
RPTNMLQJKHKGFEF48DA,坡道機械,0,,地下一樓
RPSPMLQJKHKGFEF58DA,坡道平面,0,29.24,地下二樓
RPROMLKLJHKGFGF08DA,坡道平面,0,36.81,地下二樓
RPSNMLQJKHKGFAF08EA,坡道平面,3400000,46.07,地下四樓
RPTNMLRJKHKGFEF58DA,坡道平面,0,36.52,地下一樓
RPPNMLRJKHKGFDF18EA,坡道機械,700000,21.34,地下四樓
RPQNMLQJKHKGFGF48EA,坡道平面,1800000,29.96,地下二樓
RPTNMLQJKHKGFEF58EA,坡道平面,0,41.36,地下一樓
RPSNMLLLJHKGFDF87DA,坡道機械,1500000,,地下二樓
RPPNMLRJKHKGFGF48EA,坡道機械,0,21.83,地下三樓
RPWOMLKKJHKGFBF97DA,坡道平面,2350000,21.14,地下二樓
RPSNMLRJKHKGFGF78EA,坡道平面,0,31.83,地下二樓
RPSOMLNJKHKGFBF87DA,坡道平面,1500000,35.09,地下三樓
RPRNMLMLJHKGFBF67DA,坡道平面,2100000,20.64,地下五樓含以下
RPQNMLKLJHKGFGF87DA,坡道平面,0,41.18,地下一樓
RPQQMLOKJHKGFBF97DA,坡道平面,2500000,36.14,地下二樓
RPSOMLSJKHKGFGF88DA,坡道平面,0,40.68,地下二樓
RPSOMLSJKHKGFGF88DA,坡道平面,0,35.16,地下二樓
RPSOMLSJKHKGFGF88DA,坡道平面,0,40.68,地下二樓
RPQNMLQKJHKGFHF48DA,坡道平面,880000,14.87,地下二樓
RPVOMLNLJHKGFCF38DA,坡道平面,1650000,31.95,地下二樓
RPPNMLNLJHKGFBF57DA,坡道平面,0,39.18,地下五樓含以下
RPQNMLKKKHKGFDF67EA,坡道平面,2950000,30.85,地下二樓
RPSQMLSJKHKGFAF48DA,坡道平面,2000000,38.00,地下五樓含以下
RPSQMLSJKHKGFAF48DA,坡道平面,2000000,44.46,地下五樓含以下
RPUNMLKKKHKGFAF67DA,坡道平面,0,34.41,地下二樓
RPXOMLPJKHKGFBF58DA,坡道平面,0,27.13,地下二樓
RPPQMLPJKHKGFIF68DA,坡道平面,0,39.83,地下三樓
RPOOMLRJKHKGFBF87DA,坡道平面,1860000,29.46,地下三樓
RPUNMLQKJHKGFDF48DA,坡道平面,2300000,29.09,地下三樓
RPPNMLMLJHKGFEF77DA,坡道平面,0,35.20,地下四樓
RPVPMLRJKHKGFBF68DA,坡道機械,0,5.83,地下一樓
RPQNMLSJKHKGFGF68EA,坡道平面,0,30.23,地下一樓
RPTQMLSJKHKGFAF58DA,坡道平面,1400000,30.05,地下五樓含以下
RPTNMLLKKHKGFDF08EA,坡道平面,1200000,36.94,地下二樓
RPPTMLOKJHKGFAF08DA,坡道平面,0,15.06,地下二樓
RPXPNLNJKHKGFAF48DA,升降機械,0,24.48,地下一樓
RPQNMLOKKHKGFHF38DA,坡道平面,0,34.58,地下一樓
RPQNMLOKKHKGFHF38DA,坡道平面,0,34.58,地下一樓
RPVNMLQJKHKGFBF38DA,坡道平面,2000000,31.99,地下二樓
RPUNMLNLJHKGFBF08DA,坡道平面,2300000,27.79,地下五樓含以下
RPTOMLNLJHKGFCF18DA,坡道平面,2600000,33.13,地下一樓
RPTOMLNLJHKGFCF18DA,坡道平面,2600000,33.13,地下一樓
RPTOMLNLJHKGFCF18DA,坡道平面,2600000,33.13,地下一樓
RPRNMLPJKHKGFDF08DA,坡道平面,2300000,27.22,地下三樓
RPPSMLKKKHKGFBF77DA,坡道平面,0,32.35,地下二樓
RPRNMLPJKHKGFEF18DA,坡道平面,1900000,40.68,地下二樓
RPVOMLOJKHKGFEF58DA,坡道平面,0,29.99,地下二樓
RPTNMLLKKHKGFAF67DA,坡道平面,0,14.09,地下一樓
RPQTMLLKKHKGFAF97DA,坡道平面,0,29.87,地下三樓
RPRNMLLKKHKGFAF47DA,坡道平面,2050000,40.11,地下三樓
RPUVMLQJKHKGFAF98DA,坡道平面,2500000,31.70,地下一樓
RPXNMLKKKHKGFHF68DA,坡道機械,1280000,31.27,地下一樓
RPTNMLKKJHKGFAF47DA,坡道平面,2000000,31.28,地下二樓
RPRNMLQJJHKGFBF87DA,坡道平面,1400000,,地下三樓
RPQOMLKKKHKGFAF37DA,坡道平面,0,27.75,地下三樓
RPWOMLLKKHKGFEF48DA,坡道平面,0,37.78,地下二樓
RPQOMLLKKHKGFEF97EA,坡道平面,0,38.01,地下二樓
RPVNMLLKKHKGFEF38EA,坡道平面,1460000,27.93,地下二樓
RPPOMLLKKHKGFEF87EA,坡道平面,0,38.01,地下二樓
RPOOMLSJJHKGFCF97DA,坡道平面,2950000,33.21,地下一樓
RPPNMLRJKHKGFIF68EA,坡道平面,0,,地下一樓
RPXOMLRJKHKGFBF78DA,坡道平面,0,,地下二樓
RPQNMLMKKHKGFIF38EA,坡道平面,0,14.54,地下一樓
RPXOMLRJKHKGFEF09DA,坡道平面,0,35.20,地下三樓
RPSOMLNLJHKGFBF97DA,坡道平面,0,,地下一樓
RPSPMLNJJHKGFDF08DA,坡道平面,1000000,,地下二樓
RPQNMLNKKHKGFDF87DA,坡道平面,0,19.82,地下四樓
RPROMLLLJHKGFGF18DA,坡道平面,0,39.71,地下三樓
RPROMLLLJHKGFGF18DA,坡道平面,0,39.71,地下三樓
RPUOMLMKKHKGFHF68DA,坡道平面,0,42.00,地下三樓
RPVNMLTJJHKGFIF66DA,坡道平面,0,27.37,地下一樓
RPVOMLRJKHKGFBF58DA,坡道平面,2600000,46.51,地下一樓
RPVNMLNKKHKGFBF28EA,坡道平面,0,20.48,地下二樓
RPRNMLNKKHKGFEF18EA,坡道平面,1600000,29.80,地下三樓
RPWNMLMKKHKGFAF08DA,升降機械,0,,地下一樓
RPWNMLMKKHKGFAF08DA,升降機械,0,,地下一樓
RPVOMLNKKHKGFAF18DA,坡道平面,2800000,38.11,地下二樓
RPROMLMKKHKGFBF77DA,坡道機械,0,17.97,地下二樓
RPTNMLNKKHKGFEF38EA,坡道平面,1650000,29.80,地下三樓
RPRNMLNKKHKGFIF48DA,坡道平面,1600000,27.81,地下一樓
RPQOMLRJJHKGFHF58DA,坡道平面,2050000,51.45,地下五樓含以下
RPUNMLOKKHKGFCF38EA,坡道平面,0,,地下一樓
RPXNMLOKKHKGFGF09EA,坡道平面,0,34.27,地下二樓
RPSNMLNKKHKGFHF58EA,坡道平面,0,,地下二樓
RPWNMLNKKHKGFEF68EA,坡道平面,0,29.47,地下三樓
RPXNMLNKKHKGFAF28DA,升降機械,1150000,9.99,地下二樓
RPRPMLRKKHKGFAF28DA,坡道平面,0,,地下一樓
RPPNMLOKKHKGFIF48EA,坡道平面,1500000,45.11,地下三樓
RPRNMLOLJHKGFCF97DA,坡道平面,2500000,36.92,地下四樓
RPSNMLRKKHKGFCF48EA,坡道平面,0,25.29,地下一樓
RPPNMLRKKHKGFHF68EA,坡道機械,950000,25.84,地下三樓
RPTNMLMKKHKGFHF48DA,坡道機械,1700000,25.56,地下二樓
RPUOMLLKKHKGFHF58DA,坡道平面,0,18.28,地下二樓
RPTNMLNKKHKGFDF18DA,坡道平面,2000000,19.82,地下四樓
RPPNMLRKKHKGFBF08EA,坡道平面,2180000,36.94,地下一樓
RPPNMLOKKHKGFBF77EA,坡道平面,2400000,46.48,地下二樓
RPPNMLOKKHKGFBF77EA,坡道平面,2400000,46.48,地下二樓
RPQPMLKKKHKGFEF87DA,坡道平面,1300000,30.47,地下三樓
RPUOMLRKKHKGFCF68DA,坡道平面,0,47.66,地下一樓
RPWOMLPJKHKGFAF48EA,坡道平面,2400000,23.42,地下一樓
RPXPMLOKKHKGFBF68DA,坡道平面,2200000,27.75,地下二樓
RPQNMLRKKHKGFEF48EA,坡道平面,1650000,29.80,地下三樓
RPTNMLRKKHKGFEF78EA,坡道平面,1750000,29.80,地下二樓
RPUNMLNKKHKGFCF18DA,坡道平面,0,25.45,地下五樓含以下
RPSNMLRKKHKGFEF68EA,坡道平面,1800000,29.80,地下一樓
RPWPMLOKKHKGFIF66DA,坡道平面,1800000,38.49,地下二樓
RPVNNLKKKHKGFGF48DA,坡道平面,2050000,40.22,地下一樓
RPPONLRKJHKGFCF18DA,坡道平面,2800000,37.39,地下二樓
RPPNMLNKKHKGFCF67DA,坡道平面,0,36.76,地下一樓
RPOPMLOJKHKGFBF67DA,坡道平面,0,,地下一樓
RPVNMLSKKHKGFCF78DA,坡道平面,2700000,21.05,地下二樓
RPVPMLRJKHKGFHF66DA,坡道平面,2000000,42.75,地下二樓
RPQNMLSKKHKGFCF38EA,坡道平面,1100000,,地下一樓
RPXOMLRKKHKGFEF56DA,坡道平面,0,29.92,地下三樓
RPXOMLRKKHKGFEF56DA,坡道平面,0,29.92,地下三樓
RPXOMLRKKHKGFEF56DA,坡道平面,0,29.92,地下三樓
RPXOMLRKKHKGFEF56DA,坡道平面,0,29.92,地下三樓
RPTOMLSKKHKGFGF56EA,坡道平面,2300000,23.30,地下四樓
RPTOMLSKKHKGFGF56EA,坡道平面,2300000,23.30,地下四樓
RPPOMLTKKHKGFGF78DA,坡道平面,1500000,31.06,地下三樓
RPSNMLNKKHKGFAF77DA,坡道平面,2050000,38.04,地下二樓
RPSNMLQJKHKGFBF08DA,坡道平面,0,24.75,地下二樓
RPTOMLOKKHKGFEF48DA,坡道平面,1500000,38.31,地下二樓
RPPOMLTKKHKGFCF38DA,升降機械,0,9.70,地下一樓
RPRNMLRKKHKGFEF48DA,坡道平面,1600000,26.96,地下一樓
RPRPMLLLJHKGFBF77DA,塔式車位,1800000,11.90,
RPRNMLTKKHKGFAF38EA,坡道平面,2200000,39.17,地下一樓
RPQNMLKLKHKGFEF77DA,坡道機械,0,16.93,地下四樓
RPSNMLTKKHKGFDF78EA,坡道平面,1328440,30.85,地下二樓
RPTNMLTKKHKGFDF88EA,坡道平面,1436632,30.85,地下二樓
RPRNMLSKKHKGFEF68EA,坡道平面,1720000,29.80,地下二樓
RPQNMLSKKHKGFEF58EA,坡道平面,1470000,29.80,地下四樓
RPUNMLSKKHKGFEF98EA,坡道平面,1650000,29.80,地下三樓
RPSNMLSKKHKGFEF78EA,坡道平面,1650000,29.80,地下三樓
RPROMLSKKHKGFEF78EA,坡道平面,1420000,28.69,地下四樓
RPSOMLSKKHKGFEF88EA,坡道平面,1650000,29.80,地下三樓
RPOPMLPKJHKGFBF77DA,坡道平面,2500000,33.09,地下一樓
RPOPMLPKJHKGFBF77DA,坡道平面,2500000,33.09,地下一樓
RPOOMLTKKHKGFCF28DA,坡道平面,0,24.37,地下二樓
RPVOMLLLKHKGFDF38DA,坡道平面,1600000,42.72,地下二樓
RPOOMLQKJHKGFHF38DA,坡道平面,2000000,14.01,地下三樓
RPOOMLQKJHKGFHF38DA,坡道平面,2000000,14.01,地下三樓
RPTNMLLLKHKGFDF08DA,坡道機械,0,,地下二樓
RPTNMLLLKHKGFDF08DA,坡道機械,0,,地下二樓
RPTNMLLLKHKGFDF08DA,坡道機械,0,,地下二樓
RPTNMLLLKHKGFDF08DA,坡道機械,0,,地下二樓
RPQNMLOLKHKGFDF18EA,坡道平面,0,,無固定樓層
RPUOMLRKKHKGFIF66DA,坡道平面,0,,地下一樓
RPSNMLRKKHKGFAF28EA,坡道平面,2500000,,地下一樓
RPRPMLOKKHKGFIF78DA,坡道平面,0,,地下一樓
RPQNMLLLKHKGFCF77EA,坡道機械,0,15.99,地下四樓
RPXOMLSKKHKGFEF76EA,坡道平面,1500000,29.80,地下四樓
RPWNMLLLKHKGFCF38EA,坡道平面,0,,地下一樓
RPOPMLSKKHKGFEF58EA,坡道平面,1750000,29.80,地下二樓
RPSOMLTKKHKGFBF58DA,坡道平面,0,26.94,地下四樓
RPPNMLKLKHKGFEF77EA,坡道平面,1470000,29.80,地下四樓
RPOOMLKLKHKGFEF77EA,坡道平面,1400000,21.23,地下二樓
RPQNMLKLKHKGFEF87EA,坡道平面,1750000,29.80,地下二樓
RPTNMLKLKHKGFEF18EA,坡道平面,1800000,29.80,地下一樓
RPTNMLOLKHKGFEF58EA,坡道平面,1400000,33.05,地下二樓
RPTNMLLLKHKGFDF18EA,坡道平面,0,31.83,地下三樓
RPTNMLLLKHKGFDF18EA,坡道平面,0,31.83,地下三樓
RPQNMLTKKHKGFDF58EA,坡道平面,2419222,30.85,地下二樓
RPRNMLTKKHKGFDF68EA,坡道平面,2419222,30.85,地下二樓
RPRTMLKLKHKGFAF08DA,坡道平面,0,30.05,地下五樓含以下
RPXOMLNLJHKGFBF48DA,坡道平面,2200000,35.75,地下三樓
RPQSMLRKKHKGFAF48DA,坡道平面,2800000,48.82,地下一樓
RPTOMLTKKHKGFDF88DA,坡道平面,0,,地下五樓含以下
RPPNMLLLKHKGFDF67DA,坡道平面,1200000,,地下二樓
RPRNMLSJKHKGFHF78DA,坡道平面,2750000,39.64,地下三樓
RPRNMLSJKHKGFHF78DA,坡道平面,2330000,39.64,地下四樓
RPWNMLNLJHKGFIF98DA,坡道平面,1700000,15.11,地下二樓
RPPRMLTKKHKGFBF58DA,坡道平面,0,4.55,地下一樓
RPSNMLSJKHKGFEF58DA,坡道平面,0,36.72,地下二樓
RPSNMLSJKHKGFEF58DA,坡道平面,0,36.72,地下二樓
RPTOMLMKKHKGFBF97DA,坡道平面,2500000,35.78,地下四樓
RPWNMLNLJHKGFBF28DA,坡道平面,0,38.35,地下二樓
RPWNMLNLJHKGFBF28DA,坡道平面,0,38.35,地下二樓
RPRUMLOLKHKGFAF58DA,坡道平面,2500000,47.14,地下三樓
RPPNMLKLKHKGFHF08EA,坡道平面,0,33.75,地下三樓
RPPNMLKLKHKGFHF08EA,坡道平面,0,33.75,地下三樓
RPPNMLKLKHKGFHF08EA,坡道平面,0,33.75,地下三樓
RPSNMLLLKHKGFEF08DA,升降平面,0,,地下二樓
RPUNMLLLKHKGFEF28DA,坡道平面,1500000,33.01,地下一樓
RPOOMLTKKHKGFGF68DA,坡道平面,0,33.37,地下二樓
RPOOMLTKKHKGFGF68DA,坡道平面,0,34.96,地下二樓
RPSOMLKLKHKGFGF28DA,坡道平面,2550000,27.97,地下三樓
RPPNMLRJKHKGFDF08DA,坡道平面,1025200,34.09,地下一樓
RPTNMLKLKHKGFIF48DA,坡道平面,0,23.41,地下一樓
RPUNMLRKKHKGFAF48EA,坡道平面,0,,地下一樓
RPRNMLLLKHKGFIF48EA,坡道平面,0,,地下一樓
RPUNMLPLKHKGFGF98EA,坡道平面,2000000,42.55,地下一樓
