抓取時間,搜尋結果第幾頁,物件超連結,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,原始價格,目前價格,原始及目前價格,是否含車位價格
2025_11_23 22_29_53,1,https://www.sinyi.com.tw//buy/house/3424PL?breadcrumb=list,葛里法２Ｗ裝潢五房三車位葛里法W,桃園市桃園區民族路,大樓,17.2年,建坪 121.91,主 + 陽62.57,8樓/25樓,5房2廳3衛1室,有裝潢有景觀前後陽台有 85 人也在關注這間👀,"3,868萬","3,600","3,868萬3,600萬",兩個以上車位
2025_11_23 22_29_53,1,https://www.sinyi.com.tw//buy/house/1181PX?breadcrumb=list,公園旁精美兩房蘋果村,桃園市桃園區新埔十街,華廈,31.9年,建坪 27.31,主 + 陽18.78,2樓/7樓,2房2廳1衛,有裝潢有陽台房間皆有窗有 1113 人也在關注這間👀,"1,260萬",890,"1,260萬890萬",
2025_11_23 22_29_53,1,https://www.sinyi.com.tw//buy/house/8593GB?breadcrumb=list,亞昕向陽·高樓邊間美裝宅亞昕向陽,桃園市桃園區日光路,大樓,2.3年,建坪 45.56,主 + 陽24.14,15樓/20樓,2房2廳2衛,有裝潢有景觀前後陽台有 518 人也在關注這間👀,"2,388萬","2,188","2,388萬2,188萬",坡道平面車位
2025_11_23 22_29_53,1,https://www.sinyi.com.tw//buy/house/9289WT?breadcrumb=list,中路綠意合陽美裝３房車位合陽合仰,桃園市桃園區慈文路,大樓,6.2年,建坪 51.55,主 + 陽25.66,3樓/12樓,3房2廳2衛,有裝潢有景觀前後陽台有 96 人也在關注這間👀,"2,288萬","2,280","2,288萬2,280萬",坡道平面車位
2025_11_23 22_29_53,1,https://www.sinyi.com.tw//buy/house/7108RG?breadcrumb=list,近武陵高中大空間附車位寶祥縣寶,桃園市桃園區中山路,辦公/大樓,30.6年,建坪 28.7,主 + 陽14.65,16樓/17樓,2房2廳1衛,有裝潢有陽台警衛管理有 97 人也在關注這間👀,898萬,828,898萬828萬,坡道平面車位
2025_11_23 22_29_53,1,https://www.sinyi.com.tw//buy/house/3959QB?breadcrumb=list,楊梅交流道旁美三房,桃園市楊梅區新農街二段,華廈,29.9年,建坪 34.71,主 + 陽29.48,5樓/9樓,3房2廳2衛,有裝潢警衛管理花園有 550 人也在關注這間👀,788萬,630,788萬630萬,
2025_11_23 22_29_53,1,https://www.sinyi.com.tw//buy/house/3765AZ?breadcrumb=list,店長推薦＃唯美大三房車位大秀南玉,桃園市桃園區大同西路,華廈,14.9年,建坪 48.7,主 + 陽27.96,2樓/10樓,3房2廳2衛,有裝潢前後陽台有陽台有 672 人也在關注這間👀,"2,000萬","1,598","2,000萬1,598萬",坡道平面車位
2025_11_23 22_30_04,2,https://www.sinyi.com.tw//buy/house/8179AD?breadcrumb=list,專任近未來Ｇ９站美寓三房,桃園市桃園區正康三街,公寓,44.0年,建坪 21.39,主建物21.39,3樓/5樓,3房2廳1衛,有裝潢有陽台廁所開窗有 1112 人也在關注這間👀,698萬,598,698萬598萬,
2025_11_23 22_30_04,2,https://www.sinyi.com.tw//buy/house/69111V?breadcrumb=list,星光市三房露臺戶,桃園市蘆竹區南順六街,大樓,26.8年,建坪 33.8,主 + 陽27.54,2樓/11樓,3房2廳2衛,有裝潢警衛管理具垃圾處理有 77 人也在關注這間👀,"1,560萬","1,380","1,560萬1,380萬",
2025_11_23 22_30_04,2,https://www.sinyi.com.tw//buy/house/2841YY?breadcrumb=list,城市之光｜高樓採光三房城市之光,桃園市平鎮區民族路二段,大樓,21.8年,建坪 34.51,主 + 陽24.88,14樓/14樓,3房2廳2衛,有裝潢有景觀有陽台有 268 人也在關注這間👀,"1,150萬",998,"1,150萬998萬",
2025_11_23 22_30_04,2,https://www.sinyi.com.tw//buy/house/62197L?breadcrumb=list,哈佛名門明亮清新三房哈佛名門,桃園市桃園區民生路,大樓,28.2年,建坪 35.2,主 + 陽24.67,7樓/14樓,3房1廳2衛,有裝潢前後陽台有陽台有 1697 人也在關注這間👀,"1,488萬","1,198","1,488萬1,198萬",
2025_11_23 22_30_04,2,https://www.sinyi.com.tw//buy/house/0266QF?breadcrumb=list,青城之戀綠景大兩房車位青城之戀,桃園市蘆竹區仁愛路三段,大樓,19.7年,建坪 40.11,主 + 陽22.11,6樓/12樓,2房2廳2衛,有裝潢有景觀有陽台有 573 人也在關注這間👀,"1,658萬","1,498","1,658萬1,498萬",坡道平面車位
2025_11_23 22_30_04,2,https://www.sinyi.com.tw//buy/house/87315U?breadcrumb=list,☺絕美！經國特區昭揚飛昭揚飛,桃園市桃園區水汴一路,大樓/套房,9.4年,建坪 18.06,主 + 陽12.1,11樓/14樓,1房1廳1衛,有裝潢有陽台警衛管理有 1673 人也在關注這間👀,988萬,898,988萬898萬,
2025_11_23 22_30_04,2,https://www.sinyi.com.tw//buy/house/5374XN?breadcrumb=list,★屋主好想賣這間竹城鶴岡竹城鶴岡,桃園市桃園區大興西路二段,大樓,17.6年,建坪 78,主 + 陽39.7,4樓/12樓,4房2廳2衛,有裝潢有景觀有陽台有 417 人也在關注這間👀,"3,290萬","2,958","3,290萬2,958萬",兩個以上車位
2025_11_23 22_30_04,2,https://www.sinyi.com.tw//buy/house/7542TG?breadcrumb=list,青之上河面河景大兩房車位青之上河,桃園市中壢區文發路,大樓,3.8年,建坪 38.74,主 + 陽18.58,4樓/13樓,2房2廳1衛,有裝潢有景觀有陽台有 211 人也在關注這間👀,"1,698萬","1,598","1,698萬1,598萬",坡道平面車位
2025_11_23 22_30_04,2,https://www.sinyi.com.tw//buy/house/9793XF?breadcrumb=list,大成國中邊間露臺四房車位大地富都,桃園市八德區和平路,大樓,32.1年,建坪 74.47,主 + 陽40.3,2樓/13樓,4房2廳2衛,有裝潢前後陽台有陽台有 3815 人也在關注這間👀,"1,688萬","1,498","1,688萬1,498萬",坡道平面車位
2025_11_23 22_30_04,2,https://www.sinyi.com.tw//buy/house/8736TZ?breadcrumb=list,過嶺ＮＹ好漾大兩房車位NY好漾,桃園市中壢區松義二街,大樓,8.5年,建坪 42.09,主 + 陽20.65,9樓/15樓,2房2廳1衛,有裝潢有景觀前後陽台有 80 人也在關注這間👀,"1,288萬","1,198","1,288萬1,198萬",坡道平面車位
2025_11_23 22_30_04,2,https://www.sinyi.com.tw//buy/house/2140AW?breadcrumb=list,綠城市優質採光三房車位璟都綠城市,桃園市平鎮區安平街,大樓,12.0年,建坪 46.4,主 + 陽26.23,6樓/15樓,3房2廳2衛,毛胚屋有景觀前後陽台有 52 人也在關注這間👀,"1,688萬","1,688","1,688萬",坡道平面車位
2025_11_23 22_30_04,2,https://www.sinyi.com.tw//buy/house/5029FN?breadcrumb=list,長昇采居經典美宅長昇采居,桃園市桃園區民富十三街,大樓,18.4年,建坪 49.91,主 + 陽26.5,10樓/13樓,3房2廳2衛,有裝潢前後陽台有陽台有 35 人也在關注這間👀,"1,850萬","1,850","1,850萬",坡道平面車位
2025_11_23 22_30_04,2,https://www.sinyi.com.tw//buy/house/48176P?breadcrumb=list,⭐花都高樓美兩房車位巴黎花都,桃園市八德區金和路,大樓,16.1年,建坪 39.3,主 + 陽21.53,13樓/15樓,2房2廳2衛,有裝潢有陽台廁所開窗有 487 人也在關注這間👀,"1,498萬","1,398","1,498萬1,398萬",坡道平面車位
2025_11_23 22_30_04,2,https://www.sinyi.com.tw//buy/house/9401NT?breadcrumb=list,國鐵名園電梯美３房,桃園市中壢區福星七街,華廈,32.8年,建坪 31.24,主 + 陽23.17,5樓/8樓,3房2廳1衛,有裝潢前後陽台有陽台有 865 人也在關注這間👀,890萬,790,890萬790萬,
2025_11_23 22_30_04,2,https://www.sinyi.com.tw//buy/house/0335HZ?breadcrumb=list,楊梅鴻灃越首選兩房車位鴻灃越,桃園市楊梅區新農街,大樓,1.2年,建坪 35.61,主 + 陽17.8,3樓/14樓,2房1廳1衛,有景觀前後陽台有陽台有 590 人也在關注這間👀,"1,238萬","1,068","1,238萬1,068萬",坡道平面車位
2025_11_23 22_30_04,2,https://www.sinyi.com.tw//buy/house/6504CV?breadcrumb=list,法國之星。次頂。三房車位法國之星,桃園市中壢區環西路二段,大樓,14.4年,建坪 34.52,主 + 陽20.45,14樓/15樓,3房2廳1衛,有陽台房間皆有窗警衛管理有 187 人也在關注這間👀,"1,498萬","1,398","1,498萬1,398萬",坡道平面車位
2025_11_23 22_30_04,2,https://www.sinyi.com.tw//buy/house/5949VY?breadcrumb=list,新潤Ａ１８兩房車位新潤A18,桃園市中壢區春德路,大樓,6.0年,建坪 27.27,主 + 陽13.76,13樓/15樓,2房2廳1衛,有裝潢有景觀有陽台有 67 人也在關注這間👀,"1,590萬","1,590","1,590萬",坡道機械車位
2025_11_23 22_30_04,2,https://www.sinyi.com.tw//buy/house/0847JW?breadcrumb=list,專任△天閱兩房平面大車位天閱,桃園市平鎮區德育路二段,大樓,14.9年,建坪 38.14,主 + 陽18.62,15樓/15樓,2房2廳1衛,有裝潢有景觀有陽台有 444 人也在關注這間👀,"1,398萬","1,298","1,398萬1,298萬",坡道平面車位
2025_11_23 22_30_04,2,https://www.sinyi.com.tw//buy/house/6339GM?breadcrumb=list,大地富都後棟四房車位大地富都,桃園市八德區和平路,大樓,32.1年,建坪 56.29,主 + 陽36.78,7樓/13樓,4房2廳2衛,有景觀前後陽台有陽台有 362 人也在關注這間👀,"1,368萬","1,298","1,368萬1,298萬",坡道平面車位
2025_11_23 22_30_04,2,https://www.sinyi.com.tw//buy/house/9268SJ?breadcrumb=list,您值得桃大誠★設計師的家桃大誠,桃園市八德區公園路,大樓,4.4年,建坪 48.88,主 + 陽25.93,16樓/24樓,2房2廳2衛,有裝潢有景觀前後陽台有 31 人也在關注這間👀,"2,288萬","2,288","2,288萬",坡道平面車位
2025_11_23 22_30_18,3,https://www.sinyi.com.tw//buy/house/3515TF?breadcrumb=list,青埔領航站翔譽兩房車位翔譽17,桃園市大園區大豐一街,華廈,10.3年,建坪 34.75,主 + 陽15.84,4樓/8樓,2房2廳1衛,有裝潢有陽台房間皆有窗有 1084 人也在關注這間👀,"1,588萬","1,358","1,588萬1,358萬",坡道平面車位
2025_11_23 22_30_18,3,https://www.sinyi.com.tw//buy/house/1151LL?breadcrumb=list,日光兩房車，值得擁有時尚風閣,桃園市蘆竹區奉化路,華廈,20.8年,建坪 31.65,主 + 陽16.3,9樓/9樓,2房1廳1衛,有裝潢有陽台房間皆有窗有 709 人也在關注這間👀,"1,398萬","1,198","1,398萬1,198萬",坡道平面車位
2025_11_23 22_30_18,3,https://www.sinyi.com.tw//buy/house/0327PC?breadcrumb=list,米蘭達面洽溪路３房車位順儷米蘭達,桃園市中壢區洽溪路,大樓,8.2年,建坪 51.92,主 + 陽24.73,5樓/14樓,3房2廳2衛,有裝潢有景觀前後陽台有 38 人也在關注這間👀,"2,580萬","2,580","2,580萬",坡道平面車位
2025_11_23 22_30_18,3,https://www.sinyi.com.tw//buy/house/4324ML?breadcrumb=list,近藝文演說家美三房演說家,桃園市桃園區中正路,大樓,30.8年,建坪 43.56,主 + 陽31.41,2樓/23樓,3房2廳2衛,有裝潢廁所開窗房間皆有窗有 31 人也在關注這間👀,加入最愛,"1,688","1,688萬",
2025_11_23 22_30_18,3,https://www.sinyi.com.tw//buy/house/6546DQ?breadcrumb=list,【中悅】公園景觀四房中悅凱撒,桃園市蘆竹區吉林路,大樓,27.0年,建坪 73.6,主 + 陽49.13,8樓/14樓,4房2廳3衛,有裝潢有景觀前後陽台有 67 人也在關注這間👀,"2,598萬","2,598","2,598萬",坡道平面車位
2025_11_23 22_30_18,3,https://www.sinyi.com.tw//buy/house/0483NR?breadcrumb=list,臻愛歐洲質感美２房車位臻愛歐洲,桃園市桃園區大業路一段,大樓,20.7年,建坪 31.51,主 + 陽15.88,11樓/13樓,2房2廳1衛,有裝潢有陽台房間皆有窗有 46 人也在關注這間👀,"1,188萬","1,188","1,188萬",坡道平面車位
2025_11_23 22_30_18,3,https://www.sinyi.com.tw//buy/house/3346VQ?breadcrumb=list,近捷運美三房車位,桃園市蘆竹區埤腳街,華廈,1.1年,建坪 43.41,主 + 陽22.28,3樓/9樓,3房2廳2衛,前後陽台有陽台廁所開窗有 171 人也在關注這間👀,"1,860萬","1,680","1,860萬1,680萬",坡道平面車位
2025_11_23 22_30_18,3,https://www.sinyi.com.tw//buy/house/5848QN?breadcrumb=list,【極上。寓】兩房車位極上寓,桃園市蘆竹區忠孝東路,大樓,10.2年,建坪 39.84,主 + 陽18.59,3樓/15樓,2房2廳1衛,有裝潢有景觀前後陽台有 565 人也在關注這間👀,"1,728萬","1,488","1,728萬1,488萬",坡道平面車位
2025_11_23 22_30_18,3,https://www.sinyi.com.tw//buy/house/6500XY?breadcrumb=list,店長推薦採光好日昇大道日昇大道,桃園市桃園區寶慶路,大樓,32.0年,建坪 37.4,主 + 陽30.03,8樓/16樓,3房2廳2衛,前後陽台有陽台廁所開窗有 424 人也在關注這間👀,"1,168萬",993,"1,168萬993萬",
2025_11_23 22_30_18,3,https://www.sinyi.com.tw//buy/house/41282K?breadcrumb=list,青田優質裝潢兩房車位竹風青田,桃園市中壢區永園路一段,大樓,9.0年,建坪 43.71,主 + 陽19.08,8樓/20樓,2房2廳1衛,有裝潢有陽台廁所開窗有 62 人也在關注這間👀,"1,788萬","1,788","1,788萬",坡道平面車位
2025_11_23 22_30_18,3,https://www.sinyi.com.tw//buy/house/7649NJ?breadcrumb=list,鴻築吾江景觀戶兩房車位鴻築吾江,桃園市平鎮區延平路二段,大樓,13.1年,建坪 30.25,主 + 陽17.67,12樓/15樓,2房2廳1衛,有裝潢有景觀有陽台有 390 人也在關注這間👀,"1,198萬","1,128","1,198萬1,128萬",坡道機械車位
2025_11_23 22_30_18,3,https://www.sinyi.com.tw//buy/house/1372UY?breadcrumb=list,中悅麗池中高樓單層獨戶中悅麗池,桃園市蘆竹區中山路,大樓,27.0年,建坪 98.4,主 + 陽59.96,8樓/14樓,3房2廳3衛1室,有裝潢有景觀前後陽台有 82 人也在關注這間👀,"3,288萬","3,288","3,288萬",兩個以上車位
2025_11_23 22_30_18,3,https://www.sinyi.com.tw//buy/house/0377KP?breadcrumb=list,昭揚｜璀璨·經典兩房璀璨經國,桃園市桃園區經國路,大樓,21.7年,建坪 24.17,主 + 陽18.1,5樓/14樓,2房2廳1衛,有裝潢有陽台廁所開窗有 232 人也在關注這間👀,加入最愛,"1,096","1,096萬",
2025_11_23 22_30_18,3,https://www.sinyi.com.tw//buy/house/2515SJ?breadcrumb=list,近藝文阿曼次頂樓三房車位阿曼,桃園市桃園區同德五街,華廈,23.0年,建坪 44.87,主 + 陽23.4,7樓/8樓,3房2廳2衛,有陽台房間皆有窗警衛管理有 87 人也在關注這間👀,"1,558萬","1,558","1,558萬",坡道平面車位
2025_11_23 22_30_18,3,https://www.sinyi.com.tw//buy/house/5880RN?breadcrumb=list,航空名流套房航空名流,桃園市蘆竹區中正路,大樓/套房,28.9年,建坪 14.25,主建物9.41,3樓/27樓,1房1廳1衛,有裝潢房間皆有窗警衛管理有 336 人也在關注這間👀,548萬,520,548萬520萬,
2025_11_23 22_30_18,3,https://www.sinyi.com.tw//buy/house/9085KY?breadcrumb=list,青埔竹風青田匠心兩房車位竹風青田,桃園市中壢區永園路一段,大樓,9.0年,建坪 39.54,主 + 陽17.18,15樓/20樓,2房2廳1衛,有裝潢有景觀有陽台有 39 人也在關注這間👀,"1,738萬","1,738","1,738萬",坡道平面車位
2025_11_23 22_30_18,3,https://www.sinyi.com.tw//buy/house/8640MN?breadcrumb=list,青埔森學園２房車位,桃園市中壢區領航北路二段,大樓,4.5年,建坪 33.3,主 + 陽16.36,5樓/14樓,2房2廳1衛,有裝潢有陽台房間皆有窗有 705 人也在關注這間👀,"1,600萬","1,499","1,600萬1,499萬",坡道平面車位
2025_11_23 22_30_18,3,https://www.sinyi.com.tw//buy/house/6526PQ?breadcrumb=list,鼎藏富御三房雙車位鼎藏富御,桃園市中壢區溪洲三街,大樓,10.2年,建坪 92.44,主 + 陽43.62,2樓/15樓,3房2廳3衛,有裝潢警衛管理具垃圾處理有 19 人也在關注這間👀,"3,188萬","3,188","3,188萬",兩個以上車位
2025_11_23 22_30_18,3,https://www.sinyi.com.tw//buy/house/25093M?breadcrumb=list,朝南前後陽台三房車位麗寶青年時代,桃園市八德區豐德路,大樓,7.1年,建坪 43.88,主 + 陽21.37,3樓/13樓,3房2廳2衛,有裝潢有景觀有陽台有 56 人也在關注這間👀,"1,480萬","1,480","1,480萬",坡道平面車位
2025_11_23 22_30_18,3,https://www.sinyi.com.tw//buy/house/3703RK?breadcrumb=list,降價釋出市府中平大兩房宅縣府風華,桃園市桃園區泰山街,大樓/辦公,29.0年,建坪 36.21,主 + 陽29.69,13樓/16樓,2房2廳2衛,有裝潢有景觀前後陽台有 352 人也在關注這間👀,"1,398萬","1,258","1,398萬1,258萬",
2025_11_23 22_30_30,4,https://www.sinyi.com.tw//buy/house/7464GW?breadcrumb=list,小資首選★經國三房經國與法國,桃園市桃園區經國路,大樓,29.6年,建坪 32.18,主 + 陽25.15,6樓/19樓,3房2廳2衛,有裝潢有陽台警衛管理有 730 人也在關注這間👀,"1,168萬","1,028","1,168萬1,028萬",
2025_11_23 22_30_30,4,https://www.sinyi.com.tw//buy/house/57645K?breadcrumb=list,中路竹城三房有車位竹城真鶴,桃園市桃園區力行路,大樓,8.0年,建坪 45.92,主 + 陽24.69,8樓/13樓,3房2廳2衛,有裝潢有陽台廁所開窗有 189 人也在關注這間👀,"2,086萬","2,086","2,086萬",坡道平面車位
2025_11_23 22_30_30,4,https://www.sinyi.com.tw//buy/house/3861KL?breadcrumb=list,皇翔大四房雙車位精美裝潢皇翔百老匯II,桃園市八德區長興路,大樓,9.9年,建坪 85.91,主 + 陽41.44,6樓/16樓,4房2廳2衛,有裝潢前後陽台有陽台有 68 人也在關注這間👀,"2,588萬","2,588","2,588萬",兩個以上車位
2025_11_23 22_30_30,4,https://www.sinyi.com.tw//buy/house/5126KW?breadcrumb=list,［大降］八德露臺兩房車位金鼎,桃園市八德區和平路,華廈/辦公,17.8年,建坪 28.7,主建物14.05,5樓/5樓,2房2廳1衛1室,有裝潢有景觀房間皆有窗有 1745 人也在關注這間👀,"1,568萬","1,368","1,568萬1,368萬",坡道平面車位
2025_11_23 22_30_30,4,https://www.sinyi.com.tw//buy/house/9639VM?breadcrumb=list,藝文中路麗思兩房車位麗思卡登,桃園市桃園區永安路,大樓,10.8年,建坪 44.07,主 + 陽20.97,2樓/15樓,2房2廳1衛,有裝潢有景觀前後陽台有 702 人也在關注這間👀,"1,698萬","1,488","1,698萬1,488萬",坡道平面車位
2025_11_23 22_30_30,4,https://www.sinyi.com.tw//buy/house/2717BW?breadcrumb=list,龍川街招財金店面福星大第,桃園市中壢區龍川街,店面,27.1年,建坪 24.85,主 + 陽12.39,1樓/8樓,1廳1衛,有裝潢警衛管理近公園有 41 人也在關注這間👀,"1,080萬",988,"1,080萬988萬",坡道機械車位
2025_11_23 22_30_30,4,https://www.sinyi.com.tw//buy/house/2073LH?breadcrumb=list,藝文華爾道夫綠園道景觀宅嘉璟華爾道夫,桃園市桃園區藝文二街,大樓,12.3年,建坪 131.88,主 + 陽74.41,18樓/24樓,3房2廳3衛1室,有裝潢有景觀前後陽台有 61 人也在關注這間👀,"6,780萬","6,780","6,780萬",兩個以上車位
2025_11_23 22_30_30,4,https://www.sinyi.com.tw//buy/house/5334LB?breadcrumb=list,近青埔國小景觀三房雙車位上城捷境,桃園市中壢區青商路,大樓,11.6年,建坪 72.95,主 + 陽35.14,9樓/15樓,3房2廳2衛,有裝潢有景觀前後陽台有 337 人也在關注這間👀,"2,999萬","2,698","2,999萬2,698萬",兩個以上車位
2025_11_23 22_30_30,4,https://www.sinyi.com.tw//buy/house/2358NB?breadcrumb=list,近楓康超市鍾愛三房車位鍾愛一生,桃園市中壢區成章二街,華廈,31.0年,建坪 43,主 + 陽27.05,3樓/9樓,3房2廳2衛,有裝潢有陽台房間皆有窗有 843 人也在關注這間👀,"1,198萬","1,068","1,198萬1,068萬",坡道平面車位
2025_11_23 22_30_30,4,https://www.sinyi.com.tw//buy/house/6172VT?breadcrumb=list,桃大露臺樹海美裝潢屋桃大富林苑,桃園市桃園區國際一路,大樓,13.5年,建坪 82.22,主 + 陽45.47,2樓/15樓,3房2廳3衛,有裝潢有景觀廁所開窗有 426 人也在關注這間👀,"3,180萬","2,980","3,180萬2,980萬",兩個以上車位
2025_11_23 22_30_30,4,https://www.sinyi.com.tw//buy/house/5617CW?breadcrumb=list,【精選】福山小資美居,桃園市桃園區福山街,華廈,33.5年,建坪 20.23,主 + 陽17.12,2樓/5樓,1房2廳1衛,有裝潢有陽台近公園有 527 人也在關注這間👀,738萬,660,738萬660萬,
2025_11_23 22_30_30,4,https://www.sinyi.com.tw//buy/house/5382WC?breadcrumb=list,先看這間！羅浮宮廷美三房羅浮宮廷,桃園市桃園區莊敬路一段,大樓,24.8年,建坪 38.18,主 + 陽28.19,2樓/14樓,3房2廳2衛,有裝潢前後陽台有陽台有 138 人也在關注這間👀,"1,480萬","1,380","1,480萬1,380萬",
2025_11_23 22_30_30,4,https://www.sinyi.com.tw//buy/house/1006FY?breadcrumb=list,Ｒｏｏｍ１８優質三房車位Room18,桃園市桃園區民有三街,大樓,14.6年,建坪 43.55,主 + 陽28.56,5樓/12樓,3房2廳2衛,有裝潢有景觀有陽台有 177 人也在關注這間👀,"1,488萬","1,488","1,488萬",坡道機械車位
2025_11_23 22_30_30,4,https://www.sinyi.com.tw//buy/house/8917UY?breadcrumb=list,鬧中取靜Ａ２０景觀宅,桃園市中壢區興北一路,大樓,0.4年,建坪 38.52,主 + 陽20.84,12樓/14樓,3房2廳2衛,毛胚屋有景觀前後陽台有 13 人也在關注這間👀,"1,998萬","1,998","1,998萬",坡道平面車位
2025_11_23 22_30_30,4,https://www.sinyi.com.tw//buy/house/3419TK?breadcrumb=list,近未來捷運站三房美寓,桃園市桃園區中正五街,公寓,42.7年,建坪 26.1,主 + 陽26.1,4樓/5樓,3房2廳1衛,有裝潢有景觀前後陽台有 491 人也在關注這間👀,730萬,690,730萬690萬,
2025_11_23 22_30_30,4,https://www.sinyi.com.tw//buy/house/2109VM?breadcrumb=list,首購鼎藏晶華Ⅱ兩房車位鼎藏晶華2期,桃園市中壢區興仁路二段,大樓,12.6年,建坪 36.48,主 + 陽19.15,5樓/12樓,2房2廳1衛,有裝潢前後陽台有陽台有 1053 人也在關注這間👀,"1,188萬","1,088","1,188萬1,088萬",坡道平面車位
2025_11_23 22_30_30,4,https://www.sinyi.com.tw//buy/house/4972XX?breadcrumb=list,面山豪景四季三房雙車位豪景四季,桃園市蘆竹區六福一路,大樓,20.5年,建坪 68.45,主 + 陽37.06,8樓/12樓,3房2廳2衛1室,有裝潢有景觀前後陽台有 1389 人也在關注這間👀,"2,168萬","1,988","2,168萬1,988萬",兩個以上車位
