抓取時間,搜尋結果第幾頁,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,額外資訊2,目前價格,原始價格,是否含車位價格
2025_10_16 23_38_14,1,碧湖綠意三房車位,台北市內湖區文德路,住宅大樓,17.9年,建坪57.49,主+陽25.53,3/14樓,3房(室)2廳2衛(含加蓋1房(室)--廳--衛), 格局方正，社區中庭花園 ,永慶房屋有天然瓦斯房間都有窗近捷運文德站近捷運內湖站,"3,498","3,860萬",含車位價600萬元
2025_10_16 23_38_14,1,天母電梯全新成屋,台北市士林區天母東路,住宅大樓,1.4年,建坪47.19,主+陽28.08,6/12樓,3房(室)2廳2衛, 天母全新成屋電梯三房車精選釋出 ,永慶房屋房間都有窗近捷運LR11站(規劃中),"4,498","4,988萬",含車位價220萬元
2025_10_16 23_38_14,1,古亭捷運新婚三房,台北市中正區同安街,華廈,41.7年,建坪34.20,主+陽26.10,2/7樓,3房(室)2廳2衛, 11米棟距水電管線更新過 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運古亭站,"3,068","3,388萬",無
2025_10_16 23_38_14,1,計畫區鋼骨豪宅,台北市信義區信義路五段,住宅大樓,17.8年,建坪190.36,主+陽103.44,12/27樓,5房(室)3廳5衛, 冠德建設千坪基地高樓景觀戶 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運象山站近捷運Y38站(施工中),"24,000","25,658萬",含車位價1500萬元
2025_10_16 23_38_14,1,台大美景樹海麗園,台北市大安區辛亥路二段,住宅大樓,42.7年,建坪76.83,主+陽52.34,2/26樓,4房(室)2廳2衛, 正面林蔭、格局方正，面寬採光好 ,永慶房屋有天然瓦斯房間都有窗近捷運科技大樓站,"5,380","5,800萬",含車位價500萬元
2025_10_16 23_38_14,1,大直捷運靜巷一樓,台北市中山區大直街,店面,41.9年,建坪45.30,主+平31.77,1/5樓,1房(室)3廳1衛(含加蓋--房(室)1廳--衛), 門前庭院，方便停車，面寬氣派 ,永慶房屋有天然瓦斯房間都有窗近捷運大直站,"4,388","5,280萬",無
2025_10_16 23_38_14,1,專任大直歌林花園,台北市中山區北安路,華廈,31.8年,建坪51.54,主+陽38.40,5/9樓,3房(室)2廳2衛, 千坪基地 保全管理 低公設比 ,永慶房屋新上廁所有窗有天然瓦斯房間都有窗近捷運Y29站(施工中)近捷運劍南路站,"4,980","4,980",含車位價250萬元
2025_10_16 23_38_14,1,綠景美妝三房車位,台北市中山區通北街,華廈,27.4年,建坪50.15,主+陽29.48,7/9樓,3房(室)2廳2衛, 生活機能良好、綠意盎然、免整理 ,永慶房屋廁所有窗有天然瓦斯房間都有窗,"3,598","3,598",含車位價
2025_10_16 23_38_14,1,信義安和捷運新宅,台北市大安區安和路二段,華廈,4.5年,建坪23.25,主+陽9.84,6/7樓,--房(室)1廳1衛, 一巷住家景觀露台綠蔭環繞面公園 ,永慶房屋有天然瓦斯房間都有窗近捷運信義安和站近捷運大安站,"2,988","3,088萬",含車位價250萬元
2025_10_16 23_38_20,2,信義區達欣全新屋,台北市信義區吳興街,住宅大樓,0.8年,建坪47.45,主+陽24.28,9/13樓,2房(室)2廳2衛, 全新成屋 知名建商信義區代表作 ,永慶房屋有天然瓦斯房間都有窗近捷運Y39站(施工中),"4,288","4,288",含車位價300萬元
2025_10_16 23_38_20,2,信義區達欣全新屋,台北市信義區吳興街,住宅大樓,0.8年,建坪47.45,主+陽24.28,9/13樓,2房(室)2廳2衛, 全新成屋 知名建商信義區代表作 ,永慶房屋有天然瓦斯房間都有窗近捷運Y39站(施工中),"4,288","4,288",含車位價300萬元
2025_10_16 23_38_20,2,大安美妝三房車位,台北市大安區樂業街,住宅大樓,13.4年,建坪82.01,主+陽39.55,6/13樓,3房(室)2廳2衛, 一層一戶-獨立梯間-隱私性佳 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運六張犁站近捷運麟光站,"6,880","6,880",含車位價800萬元
2025_10_16 23_38_20,2,附中朝南三房兩衛,台北市大安區建國南路一段,住宅大樓,38.6年,建坪26.39,主+陽26.39,6/12樓,3房(室)1廳2衛, 近捷運 近師大附中 近延平中學 ,永慶房屋有天然瓦斯近捷運大安森林公園站近捷運大安站,"3,368","3,368",無
2025_10_16 23_38_20,2,綠樹景觀漂亮四房,台北市大安區和平東路二段,華廈,12.7年,建坪75.49,主+陽35.78,2/9樓,4房(室)2廳2衛," 靜巷面綠景豪宅，附小龍門學區, ",永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運科技大樓站,"7,880","8,500萬",含車位價
2025_10_16 23_38_20,2,中正國中電梯2房,台北市中正區杭州南路一段,華廈,9.4年,建坪22.68,主+陽14.03,2/7樓,--房(室)1廳1衛, 近仁愛路靜巷 ,永慶房屋廁所有窗房間都有窗近捷運東門站,"3,380","3,630萬",無
2025_10_16 23_38_20,2,大安景觀空中花園,台北市大安區大安路一段,華廈,41.8年,建坪91.29,主+陽65.87,7/7樓,5房(室)4廳4衛(含加蓋2房(室)1廳2衛), 裝潢精美-101景觀-空中花園 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運忠孝復興站,"15,000","18,000萬",含車位價500萬元
2025_10_16 23_38_20,2,和平實小三房坡車,台北市大安區臥龍街,住宅大樓,35.4年,建坪48.16,主+陽32.91,5/11樓,3房(室)2廳1衛, 和平實小學區、與豪宅為鄰 ,永慶房屋有天然瓦斯房間都有窗近捷運科技大樓站近捷運六張犁站,"4,598","4,598",含車位價400萬元
2025_10_16 23_38_20,2,陸裝新城管理三房,台北市大安區敦化南路二段,住宅大樓,40.5年,建坪41.66,主+陽28.55,8/19樓,3房(室)2廳2衛, 敦化南路燙金門牌、白班管理 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運科技大樓站近捷運六張犁站,"4,180","4,380萬",無
2025_10_16 23_38_20,2,直面公園電梯兩房,台北市內湖區康樂街,華廈,31.3年,建坪27.53,主+陽+露25.07,5/5樓,2房(室)2廳1衛(含加蓋1房(室)1廳--衛), 主臥公園美景一層一戶近東湖捷運 ,永慶房屋有天然瓦斯房間都有窗近捷運SB11站(施工中),"1,798","1,980萬",無
2025_10_16 23_38_20,2,信義龍門捷運美宅,台北市信義區福德街,公寓,40.0年,建坪42.11,主+陽38.85,4/5樓,3房(室)2廳2衛, 24小時管理社區型公寓 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運廣慈/奉天宮站(施工中)近捷運Y37站(施工中),"2,800","2,800",無
2025_10_16 23_38_20,2,高樓美景附中設籍,台北市大安區信義路三段,住宅大樓,18.5年,建坪15.14,主+陽9.14,11/14樓,1房(室)--廳1衛, 邊間高樓層、廁所開窗 ,永慶房屋廁所有窗近捷運大安森林公園站近捷運大安站,"2,238","2,380萬",無
2025_10_16 23_38_20,2,明湖學區電梯美邸,台北市內湖區康寧路三段,華廈,29.4年,建坪39.21,主+陽28.17,9/9樓,3房(室)2廳2衛, 頂樓帝王戶電梯三房 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運葫洲站,"2,768","2,868萬",無
2025_10_16 23_38_20,2,大氣樹海第一排,台北市大安區敦化南路二段,住宅大樓,42.8年,建坪66.70,主+陽55.89,6/12樓,4房(室)2廳2衛, 一路發敦南燙金門牌，邊間有管理 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運六張犁站近捷運科技大樓站,"6,380","6,380",無
2025_10_16 23_38_20,2,降3千萬電梯別墅,台北市內湖區民權東路六段,透天厝,18.9年,建坪230.15,主+陽168.78,1~4/4樓,9房(室)6廳8衛(含加蓋3房(室)4廳5.5衛), 內湖獨棟電梯別墅可停四車前後院 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運SB08站(規劃中)近捷運SB09站(規劃中),"13,800","16,800萬",含車位價
2025_10_16 23_38_20,2,華固後棟四房坡車,台北市大安區復興南路二段,住宅大樓,0.7年,建坪67.25,主+陽37.47,5/23樓,4房(室)2廳2衛, SRC，近科技大樓捷運站 ,永慶房屋新上廁所有窗有天然瓦斯房間都有窗近捷運科技大樓站,"9,988","9,988",含車位價400萬元
2025_10_16 23_38_20,2,華固學府三房坡車,台北市大安區復興南路二段,住宅大樓,0.7年,建坪56.13,主+陽29.88,10/23樓,3房(室)2廳2衛, 近科技大樓捷運站，SRC鋼骨 ,永慶房屋新上廁所有窗有天然瓦斯房間都有窗近捷運科技大樓站,"8,288","8,800萬",含車位價500萬元
2025_10_16 23_38_20,2,名人巷綠蔭美三房,台北市大安區敦化南路一段,華廈,48.1年,建坪48.37,主+陽40.47,5/7樓,3房(室)2廳2衛, 復興小學旁有裝潢有管理 ,永慶房屋新上有天然瓦斯房間都有窗近捷運忠孝敦化站近捷運忠孝復興站,"6,998","6,998",無
2025_10_16 23_38_20,2,金華國中管理美妝,台北市大安區新生南路一段,住宅大樓,4.5年,建坪20.65,主+陽12.40,2/12樓,3房(室)2廳1衛(含加蓋2房(室)--廳--衛), 全天管理金華國中學區近森林公園 ,永慶房屋房間都有窗近捷運大安森林公園站近捷運東門站,"3,368","3,888萬",無
2025_10_16 23_38_20,2,元大公園挑高美妝,台北市大安區新生南路一段,辦公商業大樓,27.8年,建坪14.58,主+陽9.77,11/11樓,1房(室)2廳1衛(含加蓋1房(室)--廳1衛), 森林公園捷運幸安金華挑高樓中樓 ,永慶房屋房間都有窗近捷運大安森林公園站近捷運東門站,"2,750","2,750",無
2025_10_16 23_38_20,2,松江收租都更三樓,台北市中山區松江路,公寓,41.8年,建坪36.32,主+陽36.32,3/5樓,5房(室)2廳3衛(含加蓋1房(室)1廳1衛), 黃金三樓，魔術大空間 ,永慶房屋有天然瓦斯近捷運行天宮站近捷運中山國小站,"3,088","3,088",無
2025_10_16 23_38_20,2,三普安和景觀美屋,台北市大安區復興南路一段,住宅大樓,43.6年,建坪33.27,主+陽28.53,16/16樓,2房(室)2廳1衛, 雙捷運SOGO專人管理看101 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運忠孝復興站,"4,380","4,380",無
2025_10_16 23_38_20,2,安和捷運低總小宅,台北市大安區信義路四段,辦公商業大樓,29.3年,建坪13.52,主+陽7.61,3/12樓,1房(室)1廳1衛, 安和站步行1分鐘，全天管理 ,永慶房屋新上房間都有窗近捷運信義安和站,"1,650","1,650",無
2025_10_16 23_38_20,2,大安捷運景觀小宅,台北市大安區復興南路二段,辦公商業大樓,30.1年,建坪13.92,主+陽9.48,8/11樓,1房(室)1廳1衛, 大安捷運步行即可抵達，全天管理 ,永慶房屋新上近捷運大安站,"1,688","1,688",無
2025_10_16 23_38_20,2,中正區透天好便宜,台北市中正區汀州路一段,透天厝,62.4年,建坪22.50,主22.50,1/1樓,4房(室)2廳2衛(含加蓋--房(室)1廳2衛), 一樓蓋的透天，土地持分大 ,永慶房屋近捷運植物園站(施工中),"2,388","2,688萬",無
2025_10_16 23_38_20,2,大安捷運鋼骨邊間,台北市大安區復興南路二段,住宅大樓,5.2年,建坪17.55,主+陽10.31,6/15樓,1房(室)2廳1衛, 屋齡5年新鋼骨結構美宅 ,永慶房屋廁所有窗房間都有窗近捷運大安站,"2,598","2,598",無
2025_10_16 23_38_20,2,天玉街全新屋兩房,台北市士林區天玉街,辦公商業大樓,8.7年,建坪38.90,主+陽16.36,5/7樓,2房(室)2廳2衛, 自由打造自己完美的家 ,永慶房屋廁所有窗有天然瓦斯房間都有窗,"3,388","3,388",含車位價200萬元
2025_10_16 23_38_20,2,三鐵東區門戶計畫,台北市南港區興華路,住宅大樓,16.5年,建坪70.40,主+陽32.59,3/12樓,4房(室)2廳2衛," 雙車位,低公設,近南港車站 ",永慶房屋廁所有窗有天然瓦斯近捷運南港站近捷運SB09站(規劃中),"5,500","5,500",含車位價560萬元
2025_10_16 23_38_20,2,捷運採光高樓兩房,台北市內湖區文德路,華廈,19.5年,建坪31.92,主+陽20.28,9/10樓,2房(室)1廳2衛, 次高樓邊間三面採光 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運文德站近捷運內湖站,"3,288","3,400萬",含車位價
2025_10_16 23_38_20,2,文德捷運2樓,台北市內湖區陽光街,公寓,42.8年,建坪20.10,主+陽20.11,2/5樓,2房(室)2廳1衛, 近文德捷運站 ,永慶房屋房間都有窗近捷運文德站近捷運Y33站(施工中),"1,798","1,798",無
2025_10_16 23_38_20,2,極景首泰信義,台北市大安區信義路四段,住宅大樓,3.9年,建坪102.92,主+陽56.90,22/34樓,#NAME?, 捷運SC制震豪宅頂級公設 ,永慶房屋有天然瓦斯房間都有窗近捷運信義安和站,"20,900","20,900",含車位價470萬元
2025_10_16 23_38_25,3,永安學區邊間四房,台北市中山區北安路,辦公商業大樓,35.3年,建坪41.36,主+陽36.26,4/7樓,4房(室)2廳2衛(含加蓋--房(室)--廳1衛), 知名學區、捷運站旁、三面採光 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運大直站,"3,958","4,188萬",無
2025_10_16 23_38_25,3,永安學區邊間四房,台北市中山區北安路,辦公商業大樓,35.3年,建坪41.36,主+陽36.26,4/7樓,4房(室)2廳2衛(含加蓋--房(室)--廳1衛), 知名學區、捷運站旁、三面採光 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運大直站,"3,958","4,188萬",無
2025_10_16 23_38_25,3,師大附中菁選集,台北市大安區信義路三段,套房,18.6年,建坪11.78,主+陽7.15,3/14樓,1房(室)1廳1衛, 附中 幸安國小學區 ,永慶房屋房間都有窗近捷運大安森林公園站近捷運大安站,"2,000","2,100萬",無
2025_10_16 23_38_25,3,中正國中精美兩房,台北市中正區和平西路一段,住宅大樓,6.5年,建坪28.97,主+陽14.54,9/14樓,2房(室)1廳1衛, 兩房帶車位步行古亭站1分鐘 ,永慶房屋廁所有窗房間都有窗近捷運古亭站,"4,398","4,398",含車位價250萬元
2025_10_16 23_38_25,3,上林苑稀有面公園,台北市信義區青雲街,透天厝,39.8年,建坪102.90,主+平+陽75.84,1~3/3樓,4房(室)2廳6衛(含加蓋1房(室)1廳4衛), 獨立地號、土地持分大、面樹蔭 ,永慶房屋房間都有窗,"7,980","9,800萬",無
2025_10_16 23_38_25,3,正大安路人潮店王,台北市大安區大安路一段,店面,49.7年,建坪29.02,主26.10,1/7樓,2房(室)2廳1衛(含加蓋2房(室)1廳--衛), 面寬約8米5 顯目招牌人潮多 ,永慶房屋正面大馬路出租中近捷運大安站,"7,588","8,800萬",無
2025_10_16 23_38_25,3,敦南綠意極致景觀,台北市大安區敦化南路一段,華廈,30.2年,建坪66.62,主+陽40.99,10/10樓,3房(室)2廳2衛, 敦化南路 仁愛圓環 極致景觀  ,永慶房屋有天然瓦斯房間都有窗近捷運大安站,"8,660","9,288萬",含車位價
2025_10_16 23_38_25,3,政大露臺景觀豪邸,台北市文山區政大一街,華廈,20.3年,建坪74.35,主+陽40.28,6/7樓,4房(室)2廳2衛(含加蓋--房(室)1廳--衛), 稀有專用超大露臺，一層一戶 ,永慶房屋有天然瓦斯房間都有窗,"3,888","4,500萬",含車位價
2025_10_16 23_38_25,3,皇御尊爵大器名邸,台北市南港區經貿二路,住宅大樓,12.9年,建坪124.27,主+陽60.18,6/14樓,#NAME?, 近捷運站、全崗石外觀、戶數單純 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運南港軟體園區站近捷運SB11站(施工中),"9,788","9,788",含車位價
2025_10_16 23_38_25,3,廣慈小金雞,台北市信義區中坡南路,辦公商業大樓,46.7年,建坪5.31,主5.31,1/4樓,1房(室)1廳1衛(含加蓋1房(室)--廳--衛), 低總價 有增建空間 ,永慶房屋近捷運廣慈/奉天宮站(施工中)近捷運後山埤站,885,985萬,無
2025_10_16 23_38_25,3,水綠清翫客製八樓,台北市中山區北安路,住宅大樓,6.6年,建坪156.34,主+陽65.43,8/17樓,4房(室)2廳5衛, 現成裝潢、拎包入住、吉田建築 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運大直站近捷運Y29站(施工中),"22,880","22,880",含車位價1520萬元
2025_10_16 23_38_25,3,水綠清翫拾陸號戶,台北市中山區北安路,住宅大樓,6.6年,建坪156.79,主+陽65.62,16/17樓,--房(室)2廳5衛, 全毛胚屋、鋼骨建築、傳家美邸 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運大直站近捷運Y29站(施工中),"23,822","23,822",含車位價1520萬元
2025_10_16 23_38_25,3,水綠清翫拾捌號戶,台北市中山區北安路,住宅大樓,6.6年,建坪156.34,主+陽65.43,16/17樓,--房(室)2廳5衛, 全毛胚屋、鋼骨建築、傳家美邸 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運大直站近捷運Y29站(施工中),"23,725","23,725",含車位價1520萬元
2025_10_16 23_38_25,3,泰順庭院採光豪邸,台北市大安區泰順街,公寓,38.5年,建坪69.11,主+平41.83,B1~1/5樓,5房(室)4廳2衛(含加蓋2房(室)2廳1衛), 近台電大樓捷運站 ,永慶房屋近捷運台電大樓站,"7,288","8,990萬",無
2025_10_16 23_38_25,3,捷運高樓遠景四房,台北市內湖區文德路,華廈,19.5年,建坪63.85,主+陽40.55,9/10樓,4房(室)2廳3衛, 次高樓獨戶通風採光佳 ,永慶房屋廁所有窗房間都有窗近捷運文德站近捷運內湖站,"5,758","5,988萬",含車位價
2025_10_16 23_38_25,3,文德遠景兩房車位,台北市內湖區文德路,華廈,19.5年,建坪31.92,主+陽20.28,9/10樓,2房(室)1廳1衛, 一層兩戶，邊間三面採光 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運文德站近捷運內湖站,"2,988","3,200萬",含車位價
2025_10_16 23_38_25,3,摩斯樓上萬大線,台北市萬華區青年路,住宅大樓,38.6年,建坪40.23,主+陽31.47,9/12樓,4房(室)2廳2衛, 巷內小學和買菜4站公車和平醫院 ,永慶房屋近捷運廈安站(施工中)近捷運加蚋站(施工中),"2,750","3,100萬",無
2025_10_16 23_38_25,3,港墘店面優質首選,台北市內湖區港墘路,店面,47.3年,建坪26.99,主+平26.99,1/5樓,1房(室)1廳--衛, 人潮車潮黃金店面收租效益高 ,永慶房屋正面大馬路出租中近捷運港墘站近捷運Y32站(施工中),"5,488","6,500萬",無
2025_10_16 23_38_25,3,正737連鎖店面,台北市內湖區內湖路一段,店面,46.5年,建坪22.74,主+平22.74,1/4樓,--房(室)1廳1衛, 737巷人潮眾多，生活機能完整 ,永慶房屋出租中近捷運港墘站近捷運文德站,"6,980","7,500萬",無
2025_10_16 23_38_25,3,碧湖美景管理大廈,台北市內湖區內湖路二段,住宅大樓,42.9年,建坪94.97,主+陽77.95,10/12樓,4房(室)2廳3衛, 外觀氣派大戶面碧湖美景 ,永慶房屋有天然瓦斯房間都有窗近捷運文德站近捷運港墘站,"8,800","8,800",含車位價
2025_10_16 23_38_25,3,遠眺天際雲端豪邸,台北市內湖區內湖路三段,住宅大樓,8.4年,建坪78.11,主+陽37.11,15/19樓,3房(室)2廳2衛, 邊間 高樓遠景 101景觀 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運內湖站,"7,588","7,588",含車位價
2025_10_16 23_38_25,3,敦南凱悅豪邸坡車,台北市大安區敦化南路二段,住宅大樓,39.9年,建坪84.80,主+陽57.07,13/26樓,3房(室)3廳3衛, 敦化南路燙金門牌帶坡平車位 ,永慶房屋有天然瓦斯房間都有窗近捷運科技大樓站近捷運六張犁站,"9,900","12,000萬",含車位價
2025_10_16 23_38_25,3,錦西路旁大土地,台北市大同區錦西街,公寓,65.4年,建坪16.41,主16.41,1/1樓,2房(室)2廳2衛(含加蓋1房(室)--廳1衛), 可三代同堂有大花園 ,永慶房屋房間都有窗近捷運L001站(規劃中)近捷運大橋頭站,"8,000","9,000萬",無
2025_10_16 23_38_25,3,樹海景觀中正學區,台北市大安區和平東路一段,辦公商業大樓,37.2年,建坪63.82,主+陽47.59,5/12樓,4房(室)2廳2衛, 和平大苑旁管理美妝大空間車位 ,永慶房屋有天然瓦斯房間都有窗近捷運古亭站,"6,600","7,200萬",含車位價
2025_10_16 23_38_25,3,中正國中電梯美宅,台北市中正區仁愛路二段,華廈,41.6年,建坪57.56,主+陽+露45.62,5~6/6樓,4房(室)2廳2衛(含加蓋--房(室)--廳1衛), 近東門捷運站中正紀念堂靜巷住家 ,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運東門站,"6,880","6,880",無
