物件標題,地址,物件類型,屋齡,坪數,格局,樓層,價格
桃鶯路精華商圈大地坪透店,桃園市桃園區桃鶯路,透天厝,40.0年,54.99,10房(室)4廳3衛,1~3/3樓,"2,988 萬"
⭐$224桃園平鎮東安學區巷寬視野景觀透天,桃園市平鎮區平東路,透天厝,37.7年,39.3,2房(室)2廳3衛(另加蓋2房(室)1廳1衛),1~2/2樓,"1,288 萬"
A7地王景觀【興富發鉑悦】兩房車,桃園市龜山區文化一路,電梯大樓,N/A,35.32,2房(室)1廳1衛,23/35樓,"1,550 萬"
山景大慶蓮莊三房平面車位,桃園市龜山區萬壽路一段,電梯大樓,30.7年,49.87,3房(室)2廳2衛,12/19樓,"1,398 萬"
中壢高中王子街邊間5大房公寓,桃園市中壢區王子街,公寓,39.3年,35.26,5房(室)3廳3衛,5/5樓,898 萬
下南崁學區旁溫馨三房,桃園市蘆竹區南昌路,華廈,29.9年,29.82,3房(室)1廳2衛,3/8樓,898 萬
正金陵路邊間三角窗電梯大透店,桃園市平鎮區金陵路二段,透天厝,42.9年,125.72,8房(室)3廳8衛,1~4/4樓,"5,388 萬"
麗思卡登二房車,桃園市桃園區永安路,電梯大樓,10.7年,45.58,2房(室)2廳1衛,8/15樓,"2,088 萬"
二樓低總價裝潢美寓~龜山市中心 黃金熱鬧商圈,桃園市龜山區明德路,公寓,42.3年,27.43,2房(室)1廳1衛,2/5樓,698 萬
信義國小、東興國中、中庭花園別墅,桃園市中壢區珠江街,別墅,24.3年,83.17,4房(室)3廳--衛,B1~4/4樓,"2,780 萬"
桃園觀音近新坡國小及商圈，全新完工透天,桃園市觀音區文林路,透天厝,0.7年,51.37,4房(室)3廳3衛,1~3/3樓,"1,588 萬"
八德重劃區【閱美館】大坪數優質次頂樓三房車,桃園市八德區豐田一路,電梯大樓,11.4年,49.13,3房(室)2廳2衛,12/13樓,"1,498 萬"
草漯麗榮雲品2全新2房,桃園市觀音區富貴二街,華廈,1.1年,19.47,#NAME?,2/5樓,658 萬
F14桃園八德大發廠房⭐️挑高6.9米、空間好規,桃園市八德區福德一路,廠房,3.0年,489.98,#NAME?,1/6樓,"21,069 萬"
日昇大道次頂樓三房車,桃園市桃園區寶慶路,電梯大樓,31.9年,48.33,3房(室)2廳2衛,15/16樓,"1,298 萬"
海德一號兩房車位｜中壢央大過嶺生活圈,桃園市中壢區民族路六段,電梯大樓,9.8年,38.37,2房(室)2廳1衛,3/13樓,"1,168 萬"
文山國小旁超大角間別墅,桃園市桃園區壽星街,透天厝,26.7年,82.42,5房(室)5廳5衛,1~5/5樓,"2,980 萬"
巴黎站前美套房,桃園市桃園區中華路,電梯大樓,27.8年,12.25,1房(室)1廳1衛,14/17樓,558 萬
《玄泰T1》２房車,桃園市龜山區樂善二路,電梯大樓,N/A,35.83,#NAME?,18/25樓,"1,339 萬"
<金雞母重劃區>振翔新天地樹梢小資兩房,桃園市八德區國豐六街,電梯大樓,10.2年,30.58,2房(室)2廳1衛,2/14樓,"1,198 萬"
草漯低總價兩房成家好宅,桃園市觀音區興二街,華廈,3.2年,18.77,2房(室)1廳1衛,2/5樓,598 萬
墨爾本稀有邊間朝南田園景觀三房車,桃園市八德區豐德路,電梯大樓,11.2年,45.88,3房(室)2廳2衛,2/15樓,"1,468 萬"
【迴龍大慶蓮莊景觀三房】視野遼闊 方正格局通風佳,桃園市龜山區萬壽路一段,電梯大樓,30.7年,34.1,3房(室)2廳2衛,17/19樓,"1,188 萬"
八擴指標建案綠能建築深耕十期3+1房車,桃園市八德區建德路,電梯大樓,9.1年,58.54,3房(室)2廳2衛,8/23樓,"2,258 萬"
桃園中路特區合陽合仰漂亮大2房車,桃園市桃園區慈文路,電梯大樓,6.1年,40.21,2房(室)2廳1衛,6/15樓,"1,658 萬"
專任獨棟24米方正大別墅楊梅體育園區旁,桃園市楊梅區裕成路,透天厝,42.9年,83.76,4房(室)3廳3衛,1~2/2樓,"5,500 萬"
專任獨棟24米方正大別墅楊梅體育園區旁,桃園市楊梅區裕成路,透天厝,42.9年,83.76,4房(室)3廳3衛,1~2/2樓,"5,500 萬"
花園城堡方正2房車｜棟距遠隱密性高、客廳寬敞明亮,桃園市中壢區龍慈路,電梯大樓,9.5年,38.38,2房(室)2廳1衛,7/15樓,"1,250 萬"
A7【遠雄新未來3】寬闊視野兩房平面車位,桃園市龜山區文桃路,電梯大樓,1.5年,36.41,2房(室)2廳1衛,7/22樓,"1,820 萬"
B-大園A18置物廣場 全新店住別墅,桃園市大園區永園路二段,別墅,4.7年,80.26,2房(室)2廳3衛,1~2/2樓,"3,580 萬"
《和煦隆陞》未使用屋況（全聯正樓上）,桃園市龜山區文青二路,華廈,4.2年,42.14,--房(室)2廳1衛,3/8樓,"1,860 萬"
德友極一房一廳一陽台~G07桃捷三鐵共構站前商圈,桃園市桃園區中華路,電梯大樓,4.9年,17.29,1房(室)1廳1衛,11/24樓,"1,188 萬"
機捷A8長庚特區九揚威世紀大套房,桃園市龜山區文興路,電梯大樓,27.5年,10.98,1房(室)1廳1衛,4/14樓,738 萬
印象羅芙/高樓層景觀/樓下未來捷運G10站,桃園市桃園區大興西路一段,電梯大樓,10.1年,82.87,2房(室)2廳2衛,18/19樓,"3,580 萬"
銘傳smart四套房雙機械車位,桃園市龜山區自強北路,套房,19.6年,46,4房(室)--廳4衛,7/11樓,"1,050 萬"
八德重劃區【閱美館】一樓前後庭院2+夾層2房車,桃園市八德區豐田一路,電梯大樓,11.4年,36.11,3房(室)2廳1衛,1/13樓,"1,298 萬"
專任｜全新悠森活2房平車,桃園市八德區介壽路二段,電梯大樓,0.2年,33.27,2房(室)2廳1衛,3/15樓,"1,198 萬"
佳泰超級郡｜過嶺｜雙陽台衛浴開窗兩房車,桃園市中壢區松勤路,電梯大樓,5.2年,37.33,2房(室)2廳1衛,8/15樓,"1,188 萬"
竹圍漁港倉庫一般農業區,桃園市大園區沙崙段沙崙小段,農舍,40.3年,121.99,#NAME?,1~2/2樓,"8,000 萬"
愷悅假期豪華景觀二房車,桃園市桃園區大業路一段,電梯大樓,29.5年,38.02,2房(室)2廳1衛,11/21樓,"1,445 萬"
逸極上城|三面採光|公園景觀稀有邊間三房車,桃園市八德區長興一路,電梯大樓,9.1年,53.19,3房(室)2廳2衛,4/20樓,"1,488 萬"
A7【智匯學】高樓採光１房B2平面柱邊大車位,桃園市龜山區牛角坡路,電梯大樓,0.6年,28.38,1房(室)1廳1衛,15/15樓,"1,199 萬"
A7「合遠友文化」景觀裝潢三房宅公園捷運機能強,桃園市龜山區文化二路,電梯大樓,4.2年,49.75,3房(室)2廳2衛,9/15樓,"2,288 萬"
A7地王【竹城甲子園】高樓精美裝潢2房,桃園市龜山區文化一路,電梯大樓,3.9年,26.96,2房(室)2廳1衛,23/24樓,"1,390 萬"
楊梅楊明國小交流道新巴黎二房車位,桃園市楊梅區金山街,電梯大樓,10.1年,38.41,2房(室)2廳1衛,11/15樓,"1,068 萬"
A7【君邑羅浮】高樓景觀面南兩房車位,桃園市龜山區文化一路,電梯大樓,N/A,39.12,2房(室)1廳1衛,22/24樓,"1,680 萬"
A7學區宅【丘比特】絕美景觀2房露臺戶,桃園市龜山區文吉路,電梯大樓,3.2年,39.7,2房(室)2廳1衛,2/14樓,"1,818 萬"
龜山陸光閒逸透天~龜山后街生活機能強大,桃園市龜山區陸光路,透天厝,54.3年,25.32,3房(室)2廳2衛,1~2/2樓,868 萬
A7【遠雄文青】帝王座向景觀三房兩衛平車戶,桃園市龜山區文青路,電梯大樓,10.2年,53.75,3房(室)2廳2衛,11/23樓,"2,168 萬"
中壢高中新明青果市場透天,桃園市中壢區中正路,透天厝,53.4年,34.33,5房(室)3廳6衛,1~2/2樓,"1,750 萬"
A7地王中心【興富發鉑悦】高層2房車,桃園市龜山區文化一路,電梯大樓,N/A,31.89,2房(室)1廳1衛,25/35樓,"1,280 萬"
大業市場【會稽國中】 電梯華廈大2房．衛浴開窗,桃園市桃園區福山街,華廈,32.8年,17.71,2房(室)2廳1衛,4/6樓,598 萬
專任A7捷運站體育大學重劃區富宇天匯景觀二房車,桃園市龜山區文青二路,電梯大樓,2.7年,31.31,2房(室)1廳1衛,13/14樓,"1,450 萬"
SOGO海華商圈富人區模範宮廷樂章四房車,桃園市中壢區九和五街,電梯大樓,26.1年,57.47,4房(室)2廳2衛,10/15樓,"1,980 萬"
專任藝文特區演說家捷運宅4房格局低公設使用空間大,桃園市桃園區中正路,電梯大樓,30.7年,43.56,3房(室)2廳2衛,2/23樓,"1,688 萬"
雙車位大面寬楊梅4+1房可隔孝親房透天別墅,桃園市楊梅區高鐵南路十段,別墅,9.8年,64.07,4房(室)3廳3衛,1~4/4樓,"1,498 萬"
稀有長庚華亞園區正文化一路路邊乙種工業地,桃園市龜山區華亞段,土地,N/A,--,#NAME?,#NAME?,"35,000 萬"
稀有長庚華亞園區正文化一路路邊乙種工業地,桃園市龜山區華亞段,土地,N/A,--,#NAME?,#NAME?,"35,000 萬"
楊梅埔心低總價方正雙採光次頂樓3+1房,桃園市楊梅區青山五街,電梯大樓,30.0年,43.17,4房(室)2廳2衛,11/12樓,638 萬
專任A8【綠光】採光三房雙衛浴開窗/文華國小,桃園市龜山區文七九街,華廈,29.7年,23.39,3房(室)3廳2衛,2/5樓,998 萬
龜山市中心稀有美透天~近超市傳統市場生活機能強大,桃園市龜山區育樂街,透天厝,48.5年,40.57,4房(室)3廳2衛,1~2/2樓,"2,180 萬"
廣豐商圈天琴社區 溫馨4房車 稀有雙衛浴開窗,桃園市八德區中路南街,電梯大樓,13.9年,56.92,4房(室)2廳2衛,2/13樓,"1,998 萬"
【皇普MVP】郵政園區金雞母店面,桃園市龜山區文達路,電梯大樓,4.0年,56.12,--房(室)2廳1衛,1/15樓,"3,600 萬"
健行學院.龍岡路電梯透天店面,桃園市中壢區龍岡路一段,透天厝,34.8年,97.49,6房(室)3廳7衛,1~3/3樓,"4,500 萬"
A8長庚特區超優兩房兩衛平面車位,桃園市龜山區忠義路二段,華廈,9.9年,41.77,2房(室)2廳2衛,7/7樓,"1,368 萬"
八德G01捷運站公園北區青年活動中心輕屋齡三房車,桃園市八德區廣興三路,電梯大樓,2.2年,46.03,3房(室)2廳2衛,9/14樓,"1,798 萬"
A10《大華首捷》３房車捷運宅,桃園市蘆竹區山鼻二路,電梯大樓,2.0年,38.18,3房(室)2廳2衛,11/11樓,"1,598 萬"
藝文中路雙特區｜溫州公園低總價3房｜三面採光,桃園市桃園區慈華街,華廈,34.4年,32.69,2房(室)2廳2衛,6/6樓,938 萬
新屋甲建 | 周邊交通便捷出行便利 | 歡迎賞地,桃園市新屋區石磊子段水流小段,土地,N/A,--,#NAME?,#NAME?,"2,268 萬"
昭揚君峰露台戶三房車~設計師溫馨裝潢 屋況超級優,桃園市龜山區楓樹六街,電梯大樓,3.9年,44,3房(室)2廳2衛,2/13樓,"1,688 萬"
巨蛋千禧二期大三房近后街省道捷運棕線南崁溪步道,桃園市龜山區長峰路,電梯大樓,22.2年,45.74,3房(室)2廳2衛,7/14樓,"1,188 萬"
$327合雄帝璽近藝文特區未來捷運裝潢大四房車,桃園市桃園區中正路,電梯大樓,12.7年,75.24,4房(室)2廳3衛,6/29樓,"3,580 萬"
《芳彬家》採光美２房,桃園市龜山區文化二路,華廈,6.2年,26.81,2房(室)2廳1衛,4/10樓,"1,498 萬"
A8雅苑/華麗新貴NO.2/兩房車,桃園市龜山區文化二路,電梯大樓,8.3年,27.66,2房(室)2廳1衛,9/14樓,"1,588 萬"
新捷市3房車,桃園市桃園區龍城一街,電梯大樓,6.4年,58.79,3房(室)2廳2衛,15/15樓,"1,888 萬"
香榭麗舍高樓景觀三房車位,桃園市八德區和平路,電梯大樓,12.3年,46.72,3房(室)2廳2衛,12/12樓,"1,398 萬"
NY好漾兩房車中壢過嶺好市多生活圈蛋黃區自住首選,桃園市中壢區松義二街,電梯大樓,8.4年,42.09,2房(室)2廳1衛,4/15樓,"1,158 萬"
緊鄰南崁及藝文商圈裝潢1-5樓雙車庭院透天別墅,桃園市桃園區富國路,別墅,20.2年,63.71,4房(室)2廳3衛,1~4/4樓,"2,219 萬"
景觀《富宇敦峰》２房１室車,桃園市龜山區樂學三路,電梯大樓,4.9年,41,3房(室)2廳1衛,6/14樓,"1,950 萬"
桃園高鐵A18南青山高樓面公園景觀機能捷運戶,桃園市大園區致遠街,電梯大樓,1.9年,61.12,2房(室)2廳3衛,10/22樓,"3,338 萬"
內壢火車站大學社區3房車,桃園市中壢區富村街,電梯大樓,29.2年,45.02,3房(室)2廳2衛,3/13樓,"1,158 萬"
觀音66快速道路方正漂亮路邊小農場,桃園市觀音區三座屋段新興小段,土地,N/A,--,#NAME?,#NAME?,600 萬
桃園市平鎮區公所文教區旁-3樓收租店面,桃園市平鎮區振興路,透天厝,47.5年,36.68,4房(室)2廳3衛,1~2/2樓,"2,588 萬"
A8【台北雙星】稀有景觀戶採光1房車,桃園市龜山區文化三路,電梯大樓,27.5年,27.13,1房(室)2廳1衛,12/12樓,"1,078 萬"
千禧新城二期景觀大三房前後陽台屋況好,桃園市龜山區長峰路,電梯大樓,22.2年,44.31,3房(室)2廳2衛,14/14樓,"1,098 萬"
【A7生活圈】甲子園高樓景觀二房車｜成家首選,桃園市龜山區文化一路,電梯大樓,3.9年,34.17,2房(室)2廳1.5衛,13/24樓,"1,688 萬"
A7【遠雄新未來2】２+１房平面車位,桃園市龜山區樂善二路,電梯大樓,3.4年,44.86,2房(室)2廳2衛,4/22樓,"2,322 萬"
楊梅全新櫻木花道電梯雙車位透天別墅,桃園市楊梅區信義街,別墅,1.6年,66.15,4房(室)2廳3衛,1~4/4樓,"1,980 萬"
楊梅全新櫻木花道電梯雙車位透天別墅,桃園市楊梅區信義街,別墅,1.6年,66.15,4房(室)2廳3衛,1~4/4樓,"1,980 萬"
A7皇翔歡喜城邊間高樓採光佳四房車,桃園市龜山區文青路,電梯大樓,10.3年,56.98,4房(室)2廳2衛,11/21樓,"2,188 萬"
近台鐵紅線捷運徵收地旁別墅1-2F建地+農地,桃園市桃園區國際路一段,別墅,34.8年,65.86,1房(室)1廳1衛,1~2/2樓,"8,800 萬"
龍潭石門段豪宅圍繞優美方正建地,桃園市龍潭區石門段,土地,N/A,--,#NAME?,#NAME?,"1,798 萬"
A8長庚樂善文山街一樓公寓大三房/門口可停車,桃園市龜山區文山街,公寓,32.4年,28.9,3房(室)2廳2衛,1/4樓,"1,689 萬"
收租三套房陽台美寓~龜山區公所全聯旁投報高機能佳,桃園市龜山區忠誠街,公寓,42.3年,24.39,3房(室)--廳3衛,5/5樓,666 萬
冠雲集●暮光居人生/歐風3房車/二樓邊間通風明亮,桃園市龜山區長壽路,電梯大樓,11.4年,50.12,3房(室)2廳2衛,2/13樓,"1,488 萬"
八德稀有大面寬角窗｜傳家金店面可以買,桃園市八德區介壽路二段,公寓,44.0年,32.14,#NAME?,1/4樓,"1,188 萬"
近未來捷運棕線一樓公寓~稀有大台北囍家社區,桃園市龜山區東萬壽路,公寓,30.0年,47.04,3房(室)2廳2衛,1/5樓,"1,198 萬"
近忠貞市場龍大地A區全新整理面湖景景觀三房,桃園市平鎮區龍南路,華廈,30.5年,32.99,3房(室)2廳2衛,7/8樓,798 萬
G12捷運公園宅摩登新貴3房車,桃園市桃園區莊二街,電梯大樓,32.7年,39.49,3房(室)2廳2衛,6/12樓,"1,198 萬"
奇幻莊園稀有釋出溫馨2房車,桃園市龜山區長慶二街,電梯大樓,5.5年,35.83,2房(室)2廳1衛,2/14樓,"1,398 萬"
巴黎站前優質景觀2房,桃園市桃園區中華路,電梯大樓,27.8年,18.06,2房(室)1廳1衛,14/17樓,818 萬
A7【富宇富御】面保育區景觀綠意幸運３房平面車位,桃園市龜山區文禾路,電梯大樓,0.6年,37.72,3房(室)2廳1衛,7/24樓,"1,638 萬"
東方京品2房車(2),桃園市觀音區福祥街,電梯大樓,7.3年,40.03,2房(室)2廳1衛,6/12樓,838 萬
楊梅楊明國小交流道漂亮玫瑰村3房車,桃園市楊梅區中山北路一段,電梯大樓,31.3年,38.44,3房(室)2廳2衛,8/13樓,798 萬
龜山大坑都計內農地有水有電,桃園市龜山區大坑段,土地,N/A,--,#NAME?,#NAME?,"1,280 萬"
A7【和耀恆美】邊間雙衛開窗綠意景觀三房車,桃園市龜山區樂學路,電梯大樓,3.3年,47.64,3房(室)2廳2衛,8/15樓,"2,088 萬"
黃金藝文區【歐洲桂冠】採光4房車,桃園市桃園區中埔六街,電梯大樓,21.2年,55.81,4房(室)2廳2衛,12/12樓,"2,498 萬"
※744🍎中日西武只有我在賣三房雙衛浴,桃園市桃園區大有路,電梯大樓,29.8年,28.66,3房(室)1廳2衛,8/17樓,798 萬
近八德學區稀有釋出涵悅溫馨3房車,桃園市八德區豐田三路,電梯大樓,9.9年,43.37,3房(室)2廳2衛,3/14樓,"1,498 萬"
牽手成家花園一樓,桃園市龜山區茶專路,公寓,32.0年,29.71,3房(室)2廳2衛,1/5樓,858 萬
A8A9雙捷運「林口觀天廈」近長庚商圈機能2房,桃園市龜山區文化三路,電梯大樓,31.0年,11.22,2房(室)1廳1衛,9/11樓,712 萬
A7【和耀恆美】面中庭安靜舒適兩房車,桃園市龜山區樂學路,電梯大樓,3.3年,33.72,2房(室)2廳1衛,4/15樓,"1,390 萬"
大竹領秀社區三房車,桃園市蘆竹區大新四街,華廈,9.0年,50.5,3房(室)2廳2衛,9/10樓,"1,688 萬"
★中正國小★夢幻公園★邊間衛浴開窗二房車,桃園市中壢區榮安三街,華廈,23.0年,34.95,2房(室)2廳1衛,4/10樓,"1,098 萬"
銘傳學苑大套房~近黃昏市場 美聯社 生活機能佳,桃園市龜山區明德路,華廈,23.9年,10.65,1房(室)1廳1衛,1/6樓,438 萬
專任鄰近A7捷運重劃區/全新2房車位,桃園市龜山區樂善三路,電梯大樓,0.5年,32.01,2房(室)2廳2衛,2/15樓,"1,298 萬"
近青埔低總透天,桃園市中壢區圓光一路,透天厝,32.8年,66.14,5房(室)2廳4衛,1~5/5樓,988 萬
A7【玄泰V1】邊間高樓景觀雙衛開窗大三房車位,桃園市龜山區樂學一路,電梯大樓,2.1年,55.76,3房(室)2廳2衛,13/24樓,"2,498 萬"
A7體育大學站【富宇上城】全新露臺三房車位,桃園市龜山區文禾路,電梯大樓,1.4年,43.71,3房(室)2廳2衛,2/24樓,"1,868 萬"
A7體育大學站【富宇上城】全新露臺三房車位,桃園市龜山區文禾路,電梯大樓,1.4年,43.71,3房(室)2廳2衛,2/24樓,"1,868 萬"
中國江山高樓層三房,桃園市桃園區明德街,電梯大樓,31.0年,30.25,3房(室)2廳2衛,11/17樓,"1,298 萬"
A7【欣時代】棟距佳三房兩衛平面車位,桃園市龜山區樂善三路,電梯大樓,1.8年,43.84,3房(室)2廳2衛,28/30樓,"2,188 萬"
中路特區「璟都米蘭」1+1精品宅/輕鬆可塑2房,桃園市桃園區吉安街,電梯大樓,2.2年,28.86,1房(室)2廳1衛,6/23樓,"1,188 萬"
縣府商圈高樓層無敵景觀公務人員首選縣府敦品三房車,桃園市桃園區孝一街,電梯大樓,17.3年,49.45,3房(室)2廳2衛,10/12樓,"1,988 萬"
中路合展好市～設計師的家～溫馨美妝３房雙車,桃園市桃園區文中三路,電梯大樓,7.1年,59.28,3房(室)2廳2衛,15/15樓,"2,580 萬"
全球鳳凰城陽光雙陽台生活宅，2+1靈活空間+車位,桃園市桃園區大有路,電梯大樓,32.9年,42.49,3房(室)2廳1衛,2/16樓,938 萬
未來捷運G01站高陞二期雙衛浴開窗四房車,桃園市八德區中正路,電梯大樓,10.7年,55.64,4房(室)2廳2衛,3/15樓,"1,688 萬"
出租中中壢店面,桃園市中壢區吳鳳二街,公寓,38.4年,10.53,#NAME?,1/5樓,698 萬
聯大花園城大坪數雙車別墅,桃園市大園區大觀路,透天厝,30.7年,65.58,4房(室)2廳3衛,1~4/4樓,"1,250 萬"
A7捷運〈遠雄文青〉2房車面中庭露臺戶,桃園市龜山區文青路,電梯大樓,10.2年,44.95,2房(室)2廳1衛,3/23樓,"1,688 萬"
A7機捷【遠雄文青】樹語綠意露臺兩房車,桃園市龜山區文青路,電梯大樓,10.2年,45.52,2房(室)2廳1衛,2/23樓,"1,768 萬"
低總價A8【樂善妍】全新未住過兩房車,桃園市龜山區文康街,華廈,3.6年,26.61,2房(室)2廳1衛,5/8樓,"1,288 萬"
八德捷運G03透天厝,桃園市八德區介壽路二段,透天厝,46.9年,26.89,5房(室)4廳3衛,1~2/2樓,"1,288 萬"
觀音草漯 鍾華HERO 景觀漂亮三房車,桃園市觀音區莊敬路,電梯大樓,1.6年,43.62,3房(室)2廳2衛,9/14樓,"1,198 萬"
近楓樹國小丨風尾坑田園景區【尊爵皇家】邊間美透天,桃園市龜山區光明街,透天厝,26.6年,72.56,5房(室)3廳3衛,1~5/5樓,"1,860 萬"
《富堡大湖滙》稀有露台２房２衛,桃園市龜山區文三一街,電梯大樓,0.9年,34.76,2房(室)2廳2衛,3/13樓,"2,480 萬"
近市區振聲高中旁 來鑫廣場 高雅風格辦公室,桃園市桃園區復興路,電梯大樓,33.4年,43.28,1房(室)1廳1衛,11/12樓,"1,288 萬"
A7【大華昇耕】全新未住過近華亞科低總價兩房車,桃園市龜山區文化二路,電梯大樓,0.3年,33.49,2房(室)2廳1衛,8/15樓,"1,250 萬"
八德擴大重劃區綠光城市美樹館稀有邊間四改三房雙車,桃園市八德區豐田一路,電梯大樓,12.0年,65.7,4房(室)2廳2衛,13/13樓,"1,798 萬"
菓林重劃區雙捷運坑口菓林站1-3樓透天,桃園市大園區菓林路,透天厝,50.4年,33.16,5房(室)3廳3衛,1~2/2樓,"1,288 萬"
近青埔中央大學全新2房,桃園市中壢區月德路,華廈,0.7年,21.78,2房(室)2廳1衛,6/8樓,738 萬
中壢月桃路農地附倉庫,桃園市中壢區內厝段,土地,N/A,--,#NAME?,#NAME?,"7,163 萬"
大園邊間低總價透天近機場可停雙車,桃園市大園區濱海路二段,透天厝,29.9年,62.79,4房(室)2廳3衛,B1~3/3樓,"1,098 萬"
