抓取時間,搜尋結果第幾頁,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,額外資訊2,目前價格,原始價格,是否含車位價格
2025_10_16 23_51_46,11,青埔A19東方悅四房雙車邊間露台戶,桃園市中壢區領航北路二段,電梯大樓,9.6年,建坪76.51,主+陽38.39,3/14樓,4房(室)2廳2衛," 1.稀有釋出大露臺戶型(約14.5坪)，亦可規劃空間彈性
2.位於青埔最宜居住宅區，步行青埔國中，步行即可到健身工廠、全聯、美術館與青塘園。A18高鐵站車程約5分鐘，交通與生活機能兼具。
3.單層四戶雙梯設計。電動樁友善社區。
4.規劃4房2廳2衛，臥室落地窗連通露臺設計、兩陽台、格局方正、採光通風良好
5.A19捷運站,環球購物中心，棒球場 步行散步輕鬆到，下樓商家林立，於A19最多美食區段，生活機能優。 ",永慶不動產新上近捷運桃園體育園區站,"3,580","3,580",無
2025_10_16 23_51_46,11,"小檜溪旁校園景觀4房車,稀有三面採光",桃園市桃園區鎮撫街,電梯大樓,23.4年,建坪64.92,主+陽43.86,6/11樓,4房(室)2廳2衛," 1.  社區地點好,過馬路即可到國小,孩子每天多睡半小時
2.  24小時保全,住戶單純,居住品質優
3.  18%超低公設比,不用多花百萬買公設
4.  客廳大面積採光,視野無擋
5.  三面採光,室內格局方正,每個空間都寬闊
6.  走路3分鐘即可到市立圖書館會稽分館､ 超商
7.  走路5分鐘即可到青溪國中､  新永和市場
8.  走路7分鐘即可到國民運動中心
9.  走路9分鐘可到北科附工
10.          鄰近悠閒「南崁溪河濱步道」「三民運動公園」，散步健身隨時出發。
成熟生活圈，機能完善，預約從速！

以上走路時間皆以Google Map計算 ",永慶不動產新上,"2,398","2,398",無
2025_10_16 23_51_46,11,桃園小天母「寶山名邸」低總價三房~適合小家庭,桃園市桃園區寶山街,電梯大樓,28.1年,建坪17.73,主+陽15.48,4/12樓,3房(室)2廳2衛," 物件特色:
1.稀有低總價3房
2.超大使用空間~好規劃運用
3.無敵採光~白天不開燈節能減碳救地球
4.投資自用皆可
5.寶山商圈機能佳
6.24小時物業管理嚴厲
7.不追不等24小時垃圾回收室
8.客車.國道1.2號、交通四通八達
緊靠藝文特區、經國特區、大有特區、東區
坐擁南崁溪畔水岸.享受離塵不離城的綠意生活
匯集藝文美食購物及休閒的好地方

 ",永慶不動產新上,738,738,無
2025_10_16 23_51_46,11,尊爵飯店.中正公園~尊龍大地溫馨大3房車,桃園市桃園區莊敬路一段,電梯大樓,26.5年,建坪64.11,主+陽41.28,7/16樓,3房(室)2廳2衛," 1.藝文特區未來綠捷運G12站，面中正.莊敬公園.同安國小
2.社區住戶單純，管理嚴謹，垃圾24小時可倒
3.社區大門正對面~桃園往高鐵302公車、707桃園棒球場、9023到台北、723到三重國小
4.高速公路交流道、五楊高架、東西向快速道路，交通非常便利
5.一層二戶，室內大空間好規劃，前面中庭後面社區花園，住家品質好
6.邊間採光好，雙衛浴皆開窗，屋況好免整理立可住 ",永慶不動產新上廁所有窗有天然瓦斯房間都有窗,"2,088","2,088",無
2025_10_16 23_51_46,11,中壢。華勛。體育園區旁天翔溫馨二房,桃園市中壢區華美三路,電梯大樓,8.4年,建坪28.51,主+陽19.71,3/15樓,2房(室)2廳1衛," 1.前後陽台通風採光佳，間間有對外窗。
2.公立幼兒園就在旁，準公共多間可選擇。
3.鄰近華勛國小，車程約5分鐘。
4.周邊生活機能佳，近傳統市場、全聯、家樂福、便利商店、郵局、吃喝…等等。
5.近內壢.中壢.八德.龍岡，地理位置佳。
6.低公設，8年輕屋齡。
7.近公園、學區完整，小孩學習不煩惱。 ",永慶不動產新上,898,898,無
2025_10_16 23_51_46,11,遠雄龍岡二改一房採光景觀戶+平面車位(可隔二房),桃園市平鎮區中正三路,電梯大樓,10.4年,建坪39.77,主+陽18.70,6/19樓,1房(室)2廳1衛," 1.中壢龍岡，高品質社區，管理嚴謹，公設豐富，空間舒適，配備齊全完善。
2.遠雄指標建案，高機能生活圈，周邊商家林立，全聯，超商，市場，餐廳。
3.很適合居住，公園綠地，龍東路商圈，忠貞文化園區，下樓步行即可生活。
4.為增加更多的實用性，現況格局為二改一房，客廳寬敞明亮，變化更多元。
5.採光好通風佳，客臥都擁有絕佳的視野，衛浴乾溼分離有浴缸，天然瓦斯。
6.無牆柱大車位，獨立機車位，來賓充電車位，屋況漂亮，低總價成家首選。 ",永慶不動產新上有天然瓦斯房間都有窗,"1,128","1,128",無
2025_10_16 23_51_46,11,藝文捷運旁上城1+1大套房車！飯店式裝潢買到賺到,桃園市桃園區大興西路二段,電梯大樓,17.5年,建坪33.94,主+陽17.06,9/12樓,1房(室)1廳1衛," 雙學區！公園！國道！如此方便不要錯過
1.格局方正，屋況佳，簡單整理即可入住
2.衛浴大空間，乾溼分離+大浴缸，彷彿置身高級旅館
3.緊鄰千坪溫州公園、環境清幽、綠徑環繞
4.社區公設完整、健身房、圖書室、游泳池、桑拿室，應有盡有
5.明星雙學區，九年國教免煩惱
6.24小時社區管理，垃圾集中處理 ",永慶不動產新上,"1,298","1,298",無
2025_10_16 23_51_46,11,首購族春日路高樓河岸景觀邊間三房平面車位,桃園市桃園區春日路,電梯大樓,25.1年,建坪46.79,主+陽25.92,14/14樓,3房(室)2廳1衛," 高樓河岸景觀
邊間採光通風佳
稀有平面車位釋出
首購族小家庭必看
自用出租兩相宜
廚房大空間好利用
前後雙陽台
正春日路機能便利 ",永慶不動產新上有天然瓦斯,"1,158","1,158",無
2025_10_16 23_51_46,11,A18高鐵。青埔國小【鋒橋淳光】精裝美三房車,桃園市中壢區青埔路二段,華廈,13.4年,建坪58.20,主+陽30.51,4/10樓,3房(室)2廳2衛," *鄰近桃園高鐵商業區，精華區
*緊鄰1400坪同心公園，開門即公園，白天黑夜皆享千坪綠逸，大自然與住家交融，心曠神怡，為青埔少數都心綠金宅。
*鄰近青埔國小學學區房
*無暗廳無暗房規劃，單層雙併。
*社區自有大型百坪中庭花園，免出門溜小孩，安全性很足夠免煩惱。
*後門就是同心公園,u-bike在門口
*屋內雙面大面寬採光面中庭景觀採光佳。 ",永慶不動產新上,"2,298","2,298",無
2025_10_16 23_51_46,11,A7郵政園區〔富宇富御〕面中庭三房車,桃園市龜山區文禾路,電梯大樓,0.6年,建坪42.85,主+陽22.67,8/24樓,3房(室)2廳2衛," ⛪⛪⛪物件特色⛪⛪⛪
1.格局方正，前後陽台採光明亮、通風佳
2.全新未入住，屋況潔淨
3.24小時管理
4.近郵政物流園區
✨✨✨優質團隊✨✨✨
1.一家委託，永慶集團聯賣，物件最多、服務最好。
2.房價透明、資訊透明，科技服務，一鍵賞屋。
3.優質物件，業界知名品牌，買賣交易有保障。 ",永慶不動產新上,"1,988","1,988",含車位售價210萬元
2025_10_16 23_51_46,11,龍安商圈近愛買鴻築微風湖岸景觀3房車,桃園市桃園區中山路,電梯大樓,7.4年,建坪41.72,主+陽21.56,10/15樓,3房(室)2廳1衛," 1.
2.前後陽台 採光通風佳湖岸景觀永久棟距視野佳
3.社區24小時管理.公設:交誼廳.健身房.閱讀室.兒童遊戲區.瑜珈教室等垃圾回收間免追垃圾車
4.社區前方國中小學校預定地.近龍山國小
5.龍安商區.部桃.愛買.武陵.生活機能便利
6.近國1.縱貫路(中華路)601.1806多班公車交通便捷 ",永義房屋新上,"1,468","1,468",無
2025_10_16 23_51_46,11,近G01站 鴻承寫森 全新屋齡 質感3房車,桃園市八德區豐田一路,電梯大樓,0.6年,建坪45.89,主+陽23.72,4/14樓,3房(室)2廳2衛," 1. 全新未住 完美格局 動線坪效良好
2. 社區旁有豐德公園，蝦皮店到店，7-11
早餐店等等 生活機能越來越好
3. 社區全區179戶 1層7戶2部電梯   公設完善
4. 室內特製低台度窗戶 讓採光更明亮
5. 車位有預留充電裝空間 好停車位 ",永義房屋新上,"1,798","1,798",無
2025_10_16 23_51_46,11,和發天琴2+1房車 景觀商圈機能捷運宅,桃園市八德區國際路,電梯大樓,13.9年,建坪37.53,主+陽19.57,13/15樓,2房(室)2廳1衛," 1.大湳商圈機能完善
2.2+1房空間格局好利用
3.衛浴開窗通風不潮溼
4.近置地廣場.未來G05站

 ",永義房屋新上,"1,398","1,398",無
2025_10_16 23_51_46,11,A20綻捷運全新未住景觀採光三房車公園宅,桃園市中壢區興北一路,電梯大樓,0.3年,建坪37.68,主+陽20.26,8/15樓,3房(室)2廳2衛," 1.中壢興南重劃區，興南捷運站步行可達
2.學校預定地在旁，周邊綠意環繞
3.鄰近荷塘公園、律動公園、軸承公園
4.中高樓層景觀採光佳
5.前後雙陽台，屋內通風涼爽
6.帝王座向南北向發財樓 ",永義房屋新上近捷運興南站,"1,788","1,788",無
2025_10_16 23_51_46,11,龜山后街生活能方便全新整理二樓美寓,桃園市龜山區萬壽路二段,公寓,44.0年,建坪29.84,主+陽29.84,2/5樓,3房(室)2廳1衛," 1. 龜山后街生活圈 離省道僅僅約50公尺 
2. 稀有二樓產品釋出 免爬高樓層 
3. 前後大陽台 前陽台進出 
4. 衛浴開窗 廚具更新 水路更新 
5. 格局方正 大三房 通風良好 
6. 低總價 輕鬆好入手  ",永義房屋新上近捷運BRH07站(規劃中),688,688,無
2025_10_16 23_51_52,12,楊梅比佛利加州區整新漂亮採光三房,桃園市楊梅區青山六街,華廈,30.6年,建坪25.75,主+陽20.81,5/9樓,3房(室)2廳2衛," 1. 近中山高幼獅交流道 幼獅產業園區 交通方便 
2. 附近商店林立 購物方便 
3. 全新整理 廚具更新 房間皆有對外窗 
4. 前後陽台 採光通風佳 
5. 使用天然瓦斯
6. 低總價 首購族入手輕鬆 亦可置產收租  ",永義房屋新上,538,538,無
2025_10_16 23_51_52,12,楊梅比佛利加州區整新漂亮採光三房,桃園市楊梅區青山六街,華廈,30.6年,建坪25.75,主+陽20.81,5/9樓,3房(室)2廳2衛," 1. 近中山高幼獅交流道 幼獅產業園區 交通方便 
2. 附近商店林立 購物方便 
3. 全新整理 廚具更新 房間皆有對外窗 
4. 前後陽台 採光通風佳 
5. 使用天然瓦斯
6. 低總價 首購族入手輕鬆 亦可置產收租  ",永義房屋新上,538,538,無
2025_10_16 23_51_52,12,內壢華勛幸福市場電梯華廈成家三房,桃園市中壢區新中北路二段,華廈,31.7年,建坪33.01,主+陽25.15,6/7樓,3房(室)2廳2衛," ﻿華勛近幸福商場市場 一層兩戶電梯華廈 邊間
低公設 雙面採光 室內空間大 雙衛浴雙陽台
中興保全門禁磁扣管理
採買到幸福黃昏市場約100米 到中壢華勛郵局.自由聯華勛店走路約3分鐘（依Google地圖標示）
周遭店家林立 生活機能好 到八德.忠貞.內壢. 中壢交通近 電梯成家三房﻿﻿ ",有巢氏房屋新上,898,898,無
2025_10_16 23_51_52,12,龜山幸福山景寧靜低樓層二樓明亮成家三房美寓,桃園市龜山區幸福三十一街,公寓,42.4年,建坪24.78,主+陽24.78,2/4樓,3房(室)2廳1衛," 稀有低樓層二樓，山景寧靜 室內空間大，前後陽台，前陽台進出
格局方正 採光明亮通風 全新整理 水電管線更新 客廳寬敞 廚房部分自行規劃
近龜山中興路商圈后街商圈.全聯社.小北百貨 店家林立 採買簡單
街口旁就有公車站牌 成家好屋 機會不等人 把握購屋機會 ",有巢氏房屋新上,638,638,無
2025_10_16 23_51_52,12,中壢後站近健行科大低樓層溫馨收租三間套房,桃園市中壢區志航街,公寓,43.6年,建坪28.76,主+陽28.76,2/5樓,4房(室)3廳3衛," 走路約9分鐘可到健行科技大學 近林森國小.新興公園
溫馨美裝潢 每間空間大 採光明亮
稀有低樓層二樓 全新整理 水電更新
附贈全新家具家電 走路約4分鐘有全聯福利中心（依Google圖標示）
採買方便，周遭生活機能好好 月規劃收租金53000元 投報6.4%
地點好環境寧靜 ，出租簡單 投資收租當個快樂包租公/包租婆 ",有巢氏房屋新上,988,988,無
2025_10_16 23_51_52,12,龜山區近幸福國中邊間低樓層成家三房美寓,桃園市龜山區幸福十七街,公寓,43.8年,建坪27.29,主+陽27.29,2/5樓,3房(室)2廳1衛," ﻿稀有低樓層二樓，邊間，前後陽台，格局方正，採光明亮通風
近幸福國中/幸福國小，近龜山中興路商圈，後街商圈
全新整理，水電管線更新，衛浴有開窗
周遭附近有一間7-11.兩間全家便利商店，採買簡單
低樓層釋出，室內大空間，成家好屋，機會不等人，把握購屋機會 ",有巢氏房屋新上,638,638,無
2025_10_16 23_51_52,12,龜山近幸福國中低總價明亮成家三房美寓,桃園市龜山區幸福一街,公寓,44.0年,建坪24.80,主+陽24.80,4/5樓,3房(室)2廳1衛," ﻿近幸福國中/幸福國小
室內空間大，前後陽台外推，室內寬敞
格局方正，衛浴有開窗，採光明亮通風，磚牆隔間，環境寧靜
近龜山中興路商圈，後街商圈，店家林立，採買簡單
客廳窗外面山景，舒服愜意，低總價，成家好屋，把握購屋機會 ",有巢氏房屋新上,558,558,無
2025_10_16 23_51_52,12,A22捷運1+2樓3房全新整理市中心,桃園市中壢區中央西路一段,華廈,43.7年,建坪32.22,主+平+陽32.22,1~2/8樓,3房(室)2廳2衛," 1樓2樓分開使用2樓做社區電梯，
一樓可做倉庫、辦公室、店面使用，
全新整理，水電更新，全新裝潢，
A22捷運步行3分鐘，戀戀老街溪公園，
出價可談。 ",有巢氏房屋新上,"1,290","1,290",無
2025_10_16 23_51_52,12,楊梅優質社區夏威夷公寓2房車/天然瓦斯,桃園市楊梅區光裕南街,公寓,27.2年,建坪29.20,主+陽+露18.18,3/5樓,2房(室)1廳1衛," 1.近楊梅愛買商圈，生活機能強
2.近國小國中9年國教，教育機能完善，接送方便
3.近楊梅交流道台1線，交通來往便利快速
4.社區24小時警衛飯店式管理，進出安全放心
5.周邊環境清幽舒適，離塵不離城生活超愜意
6.近楊梅體育園區，未來增值可期
7.稀有含車位公寓
8.使用天然瓦斯
9.社區管理，免自己等垃圾車
10.低總價好入手，投資自住皆宜 ",台慶不動產新上,598,598,無
2025_10_16 23_51_52,12,中壢近體育園區幸運樓層低總價漂亮套房,桃園市中壢區金鋒四街,套房,21.3年,建坪11.94,主+陽8.38,7/18樓,1房(室)1廳1衛," 1.格局方正，視野佳、漂亮景觀。
2.下樓便利商店，各式商店林立，生活機能佳。
3.近未來體育園區及捷運站雙利多。
4.社區管理佳，垃圾集中處理免等垃圾車。
5.24小時警衛管理，包裹掛號可代收。
6.低總價投資收租無空窗期，自用皆可(省房租)。 ",台慶不動產新上近捷運G27站(規劃中)近捷運G28站(規劃中),498,498,無
2025_10_16 23_51_52,12,中壢後站低樓層高投報收租三大套房,桃園市中壢區志航街,公寓,43.6年,建坪28.76,主+陽28.76,2/5樓,4房(室)3廳3衛," 1.全新整理水電更新，目前規劃
A為家庭式套房2房1聽1衛
B、C為1房1聽1衛1陽台大套房
2.均附電視、冰箱、冷氣、洗衣機
3.規劃月收租約5.3萬，投報率6%以上
4.步行10分鐘至商圈、超市，周邊商家林立，採買非常便利
5.步行15分鐘至中壢後火車站、步行5分鐘至學校
6.稀有高投報率、低樓層二樓釋出，適合投資的優質物件 ",台慶不動產新上廁所有窗房間都有窗,988,988,無
2025_10_16 23_51_52,12,鄰近G01捷運站合遠首綻高樓層景觀屋3+1房車,桃園市八德區,電梯大樓,1.0年,建坪53.47,主+陽31.56,11/15樓,3房(室)2廳2衛," 1.大空間3+1房，另有開放空間好使用
2.格局方正，通風好，採光佳
3.社區棟距大，房間都開窗
4.有24小時保全收包裹，掛號，網路購物免煩惱
5.垃圾有集中處理，隨時都可倒垃圾
6.附近有便利商店，全聯購物中心，咖啡廳
7.附近有傳統市場，採買方便
8.雙學區9年教育無須煩惱
9.統聯713，可以直達台北永寧捷運站
10.約18分鐘上東西向大湳交流道連接國1及國3，大溪交流道 ",台慶不動產新上近捷運建德興豐(八德國小)站(施工中)近捷運仁德公園站(施工中),"1,968","1,968",無
2025_10_16 23_51_52,12,近體育園區中原商圈莒光公園3+1房車位,桃園市中壢區利民路,華廈,33.9年,建坪43.22,主+陽26.37,7/7樓,3房(室)2廳2衛," 1。雅緻裝潢3+1房+B1平面大車位。
2。格局方正大空間，屋況極佳。
3。戶數單純（35戶），住戶素質佳。
4。頂樓每5年做一次防水，有垃圾資源回收集中區。
5。近體育園區、中原商圈、莒光公園、大全聯、中北黃昏市場，近學區，生活機能便利，即可入住。 ",永慶不動產新上,"1,298","1,358萬",無
2025_10_16 23_51_52,12,嚴選【九揚香邑】低總價兩房A8長庚商圈,桃園市龜山區文化二路,電梯大樓,17.6年,建坪23.09,主+陽17.01,9/13樓,2房(室)2廳1衛," 1.方正格局大兩房 兩房皆有對外窗
2.衛浴有浴缸 讓您在家也能泡湯
3.客餐廳相連 無走道浪費
4.超大後陽台 洗衣曬衣好輕鬆
5.面中庭大棟距 景觀舒適 隱密性高
6.低總價 屋主誠售!!!
7.空屋好帶看 社區22:00前可帶看

 ",永慶不動產新上有天然瓦斯房間都有窗,"1,288","1,288",無
2025_10_16 23_51_52,12,嚴選【九揚香邑】採光大三房坡道平面車A8長庚商圈,桃園市龜山區文化二路,電梯大樓,17.6年,建坪51.56,主+陽26.50,8/12樓,3房(室)2廳2衛," 1.方正格局大三房 三房皆有對外窗
2.客用衛浴有浴缸 讓您在家也能泡湯
3.客餐廳相連 無走道浪費
4.方正後陽台 洗衣曬衣好輕鬆
5.面文化三路 棟距佳 景觀舒適 隱密性高
6.屋主誠售!!!空屋好帶看 社區22:00前可帶看
7.坡道平面邊邊大車位

 ",永慶不動產新上有天然瓦斯房間都有窗,"2,250","2,250",無
2025_10_16 23_51_52,12,青埔。自由之丘。次頂樓景觀戶3房車-質感裝潢宅,桃園市中壢區高鐵站前西路二段,電梯大樓,0.8年,建坪51.14,主+陽26.61,14/15樓,3房(室)2廳2衛," *自由之丘距離高鐵桃園站與A18捷運站僅約5分鐘車程，生活交通便利卻保有社區靜謐。
*三房格局方正實用，空間剛剛好。雙衛浴設計，早上出門不再搶廁所，讓生活更有節奏感，從心出發的家，小家庭幸福成家首選。
*質感裝潢家具電齊全，屋況超美，您可以拎包入住。
*周邊學區有青埔國小、青埔國中，下樓就是生活圈，鄰近全聯、IKEA等賣場，步行可達青埔公七公園。
*視野通透，無遮擋，光影流動的家，空間好舒壓。 ",永慶不動產新上,"2,688","2,788萬",無
2025_10_16 23_51_52,12,中壢火車站三鐵共構正金陵路大透天,桃園市平鎮區金陵路,透天厝,48.7年,建坪38.82,主38.82,1~2/2樓,7房(室)2廳3衛," 1。近中壢火車站（約500公尺）三鐵共構新樞紐。
2。㊣12米金陵路大地坪透天，格局方正， 大空間，有天井（可規劃電梯），後門出去即有公園，有增建。
3。週邊店家林立，有和平市場（早市）、中北黃昏市場，就讀學區林森國小、中壢國小、平鎮國中、平鎮高中、中壢國中。
4。體育園區約七分鐘車程，棒球場、射箭場、公園、平鎮區公所、戶政事務所、平鎮衛生局皆在附近，生活機能極佳，交通四通八達，增值可期。
 ",永慶不動產新上,"2,988","2,988",無
2025_10_16 23_51_52,12,幸福社區一街精裝美二房、二樓公寓,桃園市龜山區幸福一街,公寓,44.9年,建坪23.84,主23.84,2/5樓,2房(室)2廳1衛," 1.生活機能：市場、超商與醫療（長庚）等設施可及 — 周邊有市場／商圈與長庚醫院等醫療、商業資源，日常採買與醫療相對便利（可在房仲平台看周邊在售/已售案確認生活機能）
2.綠地與大學校園鄰近（休閒/運動機能） — 此區有山坡綠地與校園（如銘傳大學附近），可提供散步、運動與較好的視野/空氣感受（視實際位置而定）。
3.學區與就學資源（周邊有多所國小、國中） — 龜山區的學區分配中，可見包含幸福國小、幸福國中、壽山高中等，若該地址屬於良好學區，對家庭型買方會是加分。 ",永慶不動產新上,666,666,無
2025_10_16 23_51_52,12,A8長庚【LAVIE涵舍】邊間3房雙車位,桃園市龜山區復興二路,華廈,17.6年,建坪57.18,主+陽26.96,5/7樓,3房(室)2廳2衛," 買賣、租賃皆可以為您服務
❶醫學權威長庚商圈，生活圈便利
❷鬧中取靜靜巷社區，舒適寧靜
❸邊間雙衛開窗，通風採光明亮
❹林口大台地，宜人宜居
❺網路預約專人服務

 ",永慶不動產新上近捷運長庚醫院站,"2,250","2,250",含車位售價400萬元
2025_10_16 23_51_52,12,中壢環中東路二段耘夢莊園都計農地,桃園市中壢區新興段,土地,#NAME?,建坪--,無,#NAME?,#NAME?, 稀有都計內農地，近市區的小坪數農地，適合開心農場適做種菜種樹，規劃小木屋組合屋皆可，海口水果行對面大德街22號旁，環中東路二段約200公尺，漂亮都計農地。 ,永慶不動產新上,"1,631","1,631",無
2025_10_16 23_51_52,12,香榭大道正寶山街｜大坪數2房雙效空間,桃園市桃園區寶山街,華廈,31.3年,建坪33.05,主+陽27.92,2/7樓,2房(室)2廳1衛," 1️⃣ 正寶山街稀有華廈，低公設比，實用坪數放大。
2️⃣ 已有加蓋，使用空間大於權狀坪數。
3️⃣ 可作住家，動線方正，居住舒適。
4️⃣ 鄰近生活機能完善，食衣住行皆便利。
5️⃣ 交通、商圈、辦公需求一次滿足，住辦兼具機能強。 ",永慶不動產新上,"1,098","1,098",無
