抓取時間,搜尋結果第幾頁,物件超連結,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,原始價格,目前價格,原始及目前價格,是否含車位價格
2025_11_24 13_20_09,1,https://www.sinyi.com.tw//buy/house/8328TW?breadcrumb=list,市中心超大大套房,台南市中西區康樂街,華廈,43.1年,建坪 21.48,主 + 陽16.04,4樓/10樓,1房1廳1衛,有裝潢有景觀有陽台有 509 人也在關注這間👀,558萬,468,558萬468萬,
2025_11_24 13_20_09,1,https://www.sinyi.com.tw//buy/house/6463GF?breadcrumb=list,近新光三越四房平車實踐三村,台南市北區西門路四段,華廈,29.1年,建坪 46.37,主 + 陽30.73,1樓/9樓,4房1廳2衛,有裝潢前後陽台有陽台有 186 人也在關注這間👀,"1,368萬","1,288","1,368萬1,288萬",坡道平面車位
2025_11_24 13_20_09,1,https://www.sinyi.com.tw//buy/house/5960WD?breadcrumb=list,協奏曲♫高樓三房平車,台南市善化區自由路,大樓,2.9年,建坪 46.6,主 + 陽26.51,11樓/15樓,3房2廳2衛,有裝潢有景觀前後陽台有 287 人也在關注這間👀,"1,938萬","1,699","1,938萬1,699萬",坡道平面車位
2025_11_24 13_20_09,1,https://www.sinyi.com.tw//buy/house/0257CW?breadcrumb=list,善化｜高樓景觀品味裝潢宅尊爵會館,台南市善化區公園路,大樓/套房,16.6年,建坪 26.84,主 + 陽17.17,11樓/13樓,2房1廳1衛,有裝潢有景觀有陽台有 242 人也在關注這間👀,968萬,898,968萬898萬,
2025_11_24 13_20_09,1,https://www.sinyi.com.tw//buy/house/8401LW?breadcrumb=list,次頂樓北區優質四房雙車位世紀之門,台南市北區北園街,大樓,17.9年,建坪 59.12,主 + 陽36.2,18樓/19樓,4房2廳2衛,有裝潢有景觀有陽台有 1505 人也在關注這間👀,"1,828萬","1,728","1,828萬1,728萬",兩個以上車位
2025_11_24 13_20_09,1,https://www.sinyi.com.tw//buy/house/3947VZ?breadcrumb=list,新市三房平車永新社區-E區(...,台南市新市區永華三街,華廈,28.3年,建坪 40.66,主 + 陽27.06,6樓/8樓,3房2廳2衛,前後陽台有陽台房間皆有窗有 18 人也在關注這間👀,890萬,890,890萬,坡道平面車位
2025_11_24 13_20_09,1,https://www.sinyi.com.tw//buy/house/9929RB?breadcrumb=list,松丹達麗質感兩房大平車松丹達麗,台南市東區崇賢二路,大樓,1.3年,建坪 31.19,主 + 陽15.1,6樓/15樓,2房2廳1衛,有陽台廁所開窗房間皆有窗有 612 人也在關注這間👀,"1,295萬","1,198","1,295萬1,198萬",坡道平面車位
2025_11_24 13_20_09,1,https://www.sinyi.com.tw//buy/house/0490AN?breadcrumb=list,天朵高樓隔震三房平移車位,台南市中西區頂美三街,大樓,9.1年,建坪 50.82,主 + 陽30.83,13樓/18樓,3房2廳2衛,有景觀前後陽台有陽台有 656 人也在關注這間👀,"2,200萬","1,880","2,200萬1,880萬",坡道機械車位
2025_11_24 13_20_09,1,https://www.sinyi.com.tw//buy/house/9679PC?breadcrumb=list,國泰文海硯｜溫馨三房平車文海硯,台南市北區海安路三段,大樓,8.5年,建坪 76.09,主 + 陽44.54,2樓/24樓,3房2廳2衛,有裝潢前後陽台有陽台有 1161 人也在關注這間👀,"3,336萬","2,980","3,336萬2,980萬",坡道平面車位
2025_11_24 13_20_22,2,https://www.sinyi.com.tw//buy/house/6344GW?breadcrumb=list,東區近南紡採光精美四房,台南市東區裕農路,華廈,27.6年,建坪 38.24,主 + 陽31.39,7樓/7樓,4房2廳2衛,有裝潢有景觀前後陽台有 802 人也在關注這間👀,"1,058萬",958,"1,058萬958萬",
2025_11_24 13_20_22,2,https://www.sinyi.com.tw//buy/house/8388ZL?breadcrumb=list,【永康國中小】採光三房陽光綠第,台南市永康區永明街,華廈,32.3年,建坪 30.38,主 + 陽22.71,6樓/6樓,3房2廳2衛,有裝潢有景觀前後陽台有 350 人也在關注這間👀,638萬,588,638萬588萬,
2025_11_24 13_20_22,2,https://www.sinyi.com.tw//buy/house/4025WW?breadcrumb=list,綠園道大林三房平車大林國宅,台南市南區大林路,大樓,26.1年,建坪 41.97,主 + 陽27.06,6樓/13樓,3房2廳2衛,前後陽台有陽台廁所開窗有 392 人也在關注這間👀,930萬,838,930萬838萬,坡道平面車位
2025_11_24 13_20_22,2,https://www.sinyi.com.tw//buy/house/59982D?breadcrumb=list,御鼎雙璽｜高樓景觀雙車宅御鼎雙璽,台南市北區西門路三段,大樓,16.2年,建坪 80.52,主 + 陽45.65,11樓/19樓,4房2廳2衛,有裝潢前後陽台有陽台有 727 人也在關注這間👀,"3,300萬","2,999","3,300萬2,999萬",兩個以上車位
2025_11_24 13_20_22,2,https://www.sinyi.com.tw//buy/house/2329NJ?breadcrumb=list,帝標高樓兩房平車帝標,台南市東區龍山街,大樓,18.2年,建坪 35.2,主 + 陽19.3,12樓/14樓,2房2廳1衛,有裝潢有陽台房間皆有窗有 60 人也在關注這間👀,"1,498萬","1,498","1,498萬",坡道平面車位
2025_11_24 13_20_22,2,https://www.sinyi.com.tw//buy/house/5178ZU?breadcrumb=list,近成大景觀３房含車位金碧輝煌,台南市永康區勝利街,大樓,31.2年,建坪 46.56,主 + 陽31.8,13樓/14樓,3房2廳2衛1室,有裝潢有景觀前後陽台有 531 人也在關注這間👀,"1,288萬","1,180","1,288萬1,180萬",坡道機械車位
2025_11_24 13_20_22,2,https://www.sinyi.com.tw//buy/house/2074VM?breadcrumb=list,近文化中心採光大空間,台南市東區崇學路,大樓,31.7年,建坪 35.71,主 + 陽28.16,9樓/14樓,1房2廳1衛,有裝潢有景觀前後陽台有 48 人也在關注這間👀,898萬,898,898萬,
2025_11_24 13_20_22,2,https://www.sinyi.com.tw//buy/house/3786ZV?breadcrumb=list,永安一方小資兩房平車永安一方NO.1,台南市永康區永安一街,大樓,7.9年,建坪 35.43,主 + 陽17,3樓/12樓,2房1廳1衛,有裝潢有陽台廁所開窗有 480 人也在關注這間👀,"1,188萬","1,098","1,188萬1,098萬",坡道平面車位
2025_11_24 13_20_22,2,https://www.sinyi.com.tw//buy/house/4952UX?breadcrumb=list,面中庭高樓長榮三房平車長榮新城B區,台南市北區長榮路五段,大樓,22.2年,建坪 51.19,主 + 陽33.19,10樓/14樓,3房2廳2衛,有裝潢有景觀前後陽台有 113 人也在關注這間👀,"1,380萬","1,380","1,380萬",坡道平面車位
2025_11_24 13_20_22,2,https://www.sinyi.com.tw//buy/house/6991DJ?breadcrumb=list,霸景北區次頂樓兩房平車世紀之門,台南市北區北園街,大樓,17.9年,建坪 33.53,主 + 陽18.46,18樓/19樓,2房2廳1衛,有景觀有陽台警衛管理有 874 人也在關注這間👀,"1,010萬",938,"1,010萬938萬",坡道平面車位
2025_11_24 13_20_22,2,https://www.sinyi.com.tw//buy/house/8870AH?breadcrumb=list,新市國宅安居三房平車永新社區-C區(...,台南市新市區永華二街,華廈,28.3年,建坪 46.86,主 + 陽32.61,2樓/8樓,3房2廳2衛,警衛管理近公園有2D/3D看屋有 112 人也在關注這間👀,"1,150萬","1,050","1,150萬1,050萬",坡道平面車位
2025_11_24 13_20_22,2,https://www.sinyi.com.tw//buy/house/3367UZ?breadcrumb=list,次頂！永大商圈兩房兩衛,台南市永康區大民街,華廈,6.1年,建坪 23.78,主 + 陽17.51,4樓/5樓,2房2廳2衛,有陽台廁所開窗有2D/3D看屋有 495 人也在關注這間👀,860萬,738,860萬738萬,
2025_11_24 13_20_22,2,https://www.sinyi.com.tw//buy/house/0829YJ?breadcrumb=list,台南高鐵站旁兩房平車,台南市歸仁區歸仁九路,大樓,1.6年,建坪 35.57,主 + 陽18.12,14樓/15樓,2房2廳2衛,有裝潢前後陽台有陽台有 11 人也在關注這間👀,"1,466萬","1,466","1,466萬",坡道平面車位
2025_11_24 13_20_22,2,https://www.sinyi.com.tw//buy/house/0509PW?breadcrumb=list,近成大朝南次頂大三房平車,台南市永康區勝利街,華廈,35.4年,建坪 55.7,主 + 陽36.55,5樓/6樓,3房2廳1衛,有陽台警衛管理具垃圾處理有 309 人也在關注這間👀,"1,100萬",998,"1,100萬998萬",坡道平面車位
2025_11_24 13_20_22,2,https://www.sinyi.com.tw//buy/house/2042UJ?breadcrumb=list,上東城｜景觀兩房平車上東城II-東方...,台南市仁德區文心路,大樓,4.7年,建坪 31.86,主 + 陽16.47,14樓/24樓,2房2廳1衛,有景觀有陽台房間皆有窗有 105 人也在關注這間👀,988萬,938,988萬938萬,坡道平面車位
2025_11_24 13_20_22,2,https://www.sinyi.com.tw//buy/house/4780ZK?breadcrumb=list,站前磅礡大器三房雙車宅,台南市善化區民權路,大樓,2.2年,建坪 91.68,主 + 陽44.84,25樓/26樓,3房2廳3衛,毛胚屋有景觀前後陽台有 333 人也在關注這間👀,"3,888萬","2,888","3,888萬2,888萬",兩個以上車位
2025_11_24 13_20_22,2,https://www.sinyi.com.tw//buy/house/7704SH?breadcrumb=list,安平｜有景觀質感三房平車都會假期,台南市安平區健康三街,大樓,28.1年,建坪 44.57,主 + 陽27.52,15樓/24樓,3房2廳2衛,有裝潢警衛管理具垃圾處理有 552 人也在關注這間👀,"1,288萬",988,"1,288萬988萬",坡道平面車位
2025_11_24 13_20_22,2,https://www.sinyi.com.tw//buy/house/9789NX?breadcrumb=list,樂居易三房車位,台南市善化區陽明路,華廈,2.4年,建坪 36.19,主 + 陽24.74,2樓/6樓,3房2廳2衛,有裝潢廁所開窗警衛管理有 41 人也在關注這間👀,"1,180萬","1,080","1,180萬1,080萬",其他
2025_11_24 13_20_22,2,https://www.sinyi.com.tw//buy/house/2983XU?breadcrumb=list,近新市低總價兩房雙平車,台南市新化區民治路,華廈,30.1年,建坪 45.98,主 + 陽22.09,5樓/8樓,2房2廳2衛,有裝潢有景觀前後陽台有 276 人也在關注這間👀,680萬,630,680萬630萬,兩個以上車位
2025_11_24 13_20_22,2,https://www.sinyi.com.tw//buy/house/5891VD?breadcrumb=list,東區宏總高樓景觀三房車位宏總新中國,台南市東區中華東路三段,大樓,29.8年,建坪 38.97,主 + 陽26.53,8樓/18樓,3房2廳2衛,有裝潢有景觀前後陽台有 787 人也在關注這間👀,"1,188萬",938,"1,188萬938萬",坡道機械車位
2025_11_24 13_20_35,3,https://www.sinyi.com.tw//buy/house/5346NB?breadcrumb=list,機能好✨朝南高樓層！四房長谷畫時代,台南市安平區育平五街,大樓,28.1年,建坪 52.35,主 + 陽41.47,17樓/22樓,4房2廳2衛,有景觀前後陽台有陽台有 87 人也在關注這間👀,"1,200萬","1,200","1,200萬",
2025_11_24 13_20_35,3,https://www.sinyi.com.tw//buy/house/2173WK?breadcrumb=list,【皇鼎】南科名門雙套平車南科名門,台南市善化區西拉雅大道,大樓,9.0年,建坪 37.77,主 + 陽17.76,9樓/11樓,2房2廳2衛,有裝潢有景觀有陽台有 41 人也在關注這間👀,"1,058萬","1,058","1,058萬",坡道平面車位
2025_11_24 13_20_35,3,https://www.sinyi.com.tw//buy/house/8509KZ?breadcrumb=list,成大城高樓兩房宅成大城,台南市北區開元路,大樓,10.1年,建坪 25.16,主 + 陽17.04,23樓/24樓,2房1廳1衛,有裝潢有陽台房間皆有窗有 64 人也在關注這間👀,890萬,890,890萬,
2025_11_24 13_20_35,3,https://www.sinyi.com.tw//buy/house/0367NY?breadcrumb=list,品陽大苑｜豪邸三房平車品陽大苑,台南市東區富農街一段,大樓,7.0年,建坪 90.87,主 + 陽55.75,4樓/19樓,3房2廳3衛,有裝潢前後陽台有陽台有 618 人也在關注這間👀,"3,998萬","3,998","3,998萬",坡道平面車位
2025_11_24 13_20_35,3,https://www.sinyi.com.tw//buy/house/7219NX?breadcrumb=list,上天下地中海四房平車地中海,台南市安平區育平路,大樓,30.3年,建坪 57.29,主 + 陽36.26,8樓/17樓,4房2廳2衛,有裝潢前後陽台有陽台有 748 人也在關注這間👀,"1,198萬","1,158","1,198萬1,158萬",坡道平面車位
2025_11_24 13_20_35,3,https://www.sinyi.com.tw//buy/house/0435AH?breadcrumb=list,太子建設｜樹梢戶兩房平車,台南市善化區建國路,大樓,7.1年,建坪 42.88,主 + 陽20.22,2樓/14樓,2房2廳2衛,有裝潢有景觀前後陽台有 603 人也在關注這間👀,"1,399萬","1,200","1,399萬1,200萬",坡道平面車位
2025_11_24 13_20_35,3,https://www.sinyi.com.tw//buy/house/3910HP?breadcrumb=list,善化｜邊間高樓兩房平車宅尊爵會館,台南市善化區公園路,大樓,16.6年,建坪 37.72,主 + 陽17.73,8樓/13樓,2房2廳1衛,有裝潢有景觀有陽台有 284 人也在關注這間👀,"1,220萬",990,"1,220萬990萬",坡道平面車位
2025_11_24 13_20_35,3,https://www.sinyi.com.tw//buy/house/9303UV?breadcrumb=list,潤隆面中庭溫馨兩房車位潤隆真愛No2,台南市安平區國平北路,大樓,4.6年,建坪 28.66,主 + 陽15.68,5樓/18樓,2房2廳1衛,有裝潢有陽台房間皆有窗有 301 人也在關注這間👀,980萬,980,980萬,坡道機械車位
2025_11_24 13_20_35,3,https://www.sinyi.com.tw//buy/house/3527HB?breadcrumb=list,走路到麥當勞星巴克美車墅,台南市安南區安中路二段,別墅/透天,17.1年,建坪 80.68,主 + 陽74.06,1-4樓/4樓,6房3廳5衛,有裝潢前後陽台有陽台有 913 人也在關注這間👀,"3,680萬","2,118","3,680萬2,118萬",其他
2025_11_24 13_20_35,3,https://www.sinyi.com.tw//buy/house/94202C?breadcrumb=list,寧靜北區稀有釋出三房皇龍特區,台南市北區臨安路二段,華廈,32.6年,建坪 33.9,主 + 陽26.31,6樓/8樓,3房2廳2衛,有裝潢前後陽台有陽台有 1815 人也在關注這間👀,918萬,880,918萬880萬,
2025_11_24 13_20_35,3,https://www.sinyi.com.tw//buy/house/1766YB?breadcrumb=list,國泰文林硯景觀三房雙平車國泰文林硯,台南市北區海安路三段,大樓,7.6年,建坪 86.76,主 + 陽47.53,11樓/24樓,3房2廳2衛,有裝潢有景觀前後陽台有 106 人也在關注這間👀,"3,688萬","3,688","3,688萬",兩個以上車位
2025_11_24 13_20_35,3,https://www.sinyi.com.tw//buy/house/1581LR?breadcrumb=list,水噹噹！世紀之門２房平車世紀之門,台南市北區北園街,大樓,17.9年,建坪 33.32,主 + 陽16.8,12樓/19樓,2房2廳1衛,有裝潢有陽台房間皆有窗有 485 人也在關注這間👀,898萬,898,898萬,坡道平面車位
2025_11_24 13_20_35,3,https://www.sinyi.com.tw//buy/house/1467NV?breadcrumb=list,文元國小｜首選兩房景觀宅文元會館,台南市北區北成路,大樓,15.6年,建坪 21.38,主 + 陽15.49,4樓/14樓,2房1廳1衛,有裝潢有景觀有陽台有 1334 人也在關注這間👀,888萬,868,888萬868萬,
2025_11_24 13_20_35,3,https://www.sinyi.com.tw//buy/house/3581UJ?breadcrumb=list,站前。稀有格局兩房平車站前CASA,台南市北區公園南路,大樓,16.9年,建坪 36.97,主 + 陽22.13,2樓/14樓,2房2廳1衛,前後陽台有陽台警衛管理有 211 人也在關注這間👀,"1,380萬","1,380","1,380萬",坡道平面車位
2025_11_24 13_20_35,3,https://www.sinyi.com.tw//buy/house/7852QJ?breadcrumb=list,好富新境｜四房平車好富新境,台南市東區自由路二段,大樓,28.0年,建坪 54.93,主 + 陽35.16,7樓/14樓,4房2廳2衛,有景觀前後陽台有陽台有 474 人也在關注這間👀,"1,480萬","1,480","1,480萬",坡道平面車位
2025_11_24 13_20_35,3,https://www.sinyi.com.tw//buy/house/5094UC?breadcrumb=list,水星光高樓景觀兩房平車,台南市安平區國平北路,大樓,0.3年,建坪 41.89,主 + 陽22.24,22樓/26樓,2房2廳2衛,有景觀前後陽台有陽台有 55 人也在關注這間👀,"1,588萬","1,588","1,588萬",坡道平面車位
2025_11_24 13_20_35,3,https://www.sinyi.com.tw//buy/house/1814RH?breadcrumb=list,承學ＷＥ｜面公園景觀兩房,台南市安平區平通路,華廈,0.7年,建坪 28.5,主 + 陽16.09,10樓/10樓,2房2廳1衛,毛胚屋有景觀前後陽台有 71 人也在關注這間👀,"1,088萬","1,088","1,088萬",其他
2025_11_24 13_20_35,3,https://www.sinyi.com.tw//buy/house/3026YV?breadcrumb=list,比佛利．簡約２房２衛浴南台比佛利,台南市北區開元路,大樓,26.7年,建坪 24.58,主 + 陽19.97,5樓/14樓,2房2廳2衛,有裝潢有陽台廁所開窗有 920 人也在關注這間👀,699萬,699,699萬,
2025_11_24 13_20_35,3,https://www.sinyi.com.tw//buy/house/4376TG?breadcrumb=list,近東區｜優質裝潢四房美宅,台南市仁德區中正路二段,華廈,31.8年,建坪 57.39,主 + 陽44.11,2樓/7樓,4房2廳3衛,有裝潢前後陽台有陽台有 584 人也在關注這間👀,"1,428萬","1,098","1,428萬1,098萬",
2025_11_24 13_20_35,3,https://www.sinyi.com.tw//buy/house/6922NP?breadcrumb=list,善化｜市心高樓溫馨裝潢宅尊爵會館,台南市善化區公園路,大樓,16.6年,建坪 26.84,主 + 陽17.17,10樓/13樓,2房2廳1衛,有裝潢有景觀有陽台有 466 人也在關注這間👀,"1,080萬",888,"1,080萬888萬",
2025_11_24 13_20_49,4,https://www.sinyi.com.tw//buy/house/9041WG?breadcrumb=list,善化｜高樓層輕齡兩房平車,台南市善化區益民寮,大樓,5.2年,建坪 34.1,主 + 陽16.75,10樓/12樓,2房2廳1衛,有裝潢有陽台廁所開窗有 367 人也在關注這間👀,"1,138萬",998,"1,138萬998萬",坡道平面車位
2025_11_24 13_20_49,4,https://www.sinyi.com.tw//buy/house/9004UY?breadcrumb=list,近善化車站桂田磐古平車宅,台南市善化區民權路,大樓,2.2年,建坪 33.88,主建物14.33,21樓/26樓,1房2廳1衛,有景觀警衛管理具垃圾處理有 435 人也在關注這間👀,"1,268萬",958,"1,268萬958萬",坡道平面車位
2025_11_24 13_20_49,4,https://www.sinyi.com.tw//buy/house/7647JB?breadcrumb=list,ＬＭ春池簡約雙套美宅平車春池LMinn,台南市善化區龍目井路,華廈,8.9年,建坪 31.88,主 + 陽17.01,3樓/8樓,2房2衛,有裝潢有陽台廁所開窗有 70 人也在關注這間👀,898萬,898,898萬,坡道平面車位
2025_11_24 13_20_49,4,https://www.sinyi.com.tw//buy/house/8225MX?breadcrumb=list,狀元吉第三房平車狀元吉第,台南市東區東寧路西段,大樓,28.2年,建坪 54.29,主 + 陽32.43,12樓/15樓,3房2廳2衛,有裝潢有景觀前後陽台有 349 人也在關注這間👀,"1,728萬","1,728","1,728萬",坡道平面車位
2025_11_24 13_20_49,4,https://www.sinyi.com.tw//buy/house/3730WT?breadcrumb=list,近總圖景觀絕美三房平車真愛,台南市永康區東橋七路,大樓,8.0年,建坪 42.79,主 + 陽22.45,15樓/16樓,3房2廳2衛,有景觀有陽台廁所開窗有 501 人也在關注這間👀,"1,688萬","1,588","1,688萬1,588萬",坡道平面車位
2025_11_24 13_20_49,4,https://www.sinyi.com.tw//buy/house/0131YB?breadcrumb=list,新悅城香榭輕奢２房平車新悅城-香榭區,台南市安平區健康路三段,大樓,9.0年,建坪 34.29,主 + 陽16.68,13樓/27樓,2房1廳1衛,有裝潢有景觀有陽台有 54 人也在關注這間👀,918萬,918,918萬,坡道平面車位
2025_11_24 13_20_49,4,https://www.sinyi.com.tw//buy/house/3200HC?breadcrumb=list,安南走路上學三房好成家,台南市安南區公學路五段,大樓,27.3年,建坪 26.59,主 + 陽20.52,3樓/12樓,3房1廳2衛,有陽台房間皆有窗警衛管理有 471 人也在關注這間👀,538萬,511,538萬511萬,
2025_11_24 13_20_49,4,https://www.sinyi.com.tw//buy/house/8493LW?breadcrumb=list,綠海都心高樓兩房平車綠海都心,台南市永康區東橋五路,大樓,2.3年,建坪 37.3,主 + 陽18.92,12樓/15樓,2房2廳1衛,有景觀有陽台廁所開窗有 430 人也在關注這間👀,"1,388萬","1,388","1,388萬",坡道平面車位
2025_11_24 13_20_49,4,https://www.sinyi.com.tw//buy/house/5798FY?breadcrumb=list,東區高樓景觀四房平車崇明天廈,台南市東區崇明路,大樓,31.3年,建坪 51.6,主 + 陽37.71,15樓/15樓,4房2廳2衛,有裝潢有景觀前後陽台有 864 人也在關注這間👀,"1,450萬","1,398","1,450萬1,398萬",坡道平面車位
2025_11_24 13_20_49,4,https://www.sinyi.com.tw//buy/house/9224HN?breadcrumb=list,永安一方３·三房平車,台南市永康區永安路,華廈,1.1年,建坪 41.57,主 + 陽23.48,2樓/7樓,3房2廳2衛,有裝潢前後陽台有陽台有 58 人也在關注這間👀,"1,588萬","1,588","1,588萬",一樓平面車位
2025_11_24 13_20_49,4,https://www.sinyi.com.tw//buy/house/8930MZ?breadcrumb=list,近南紡平實大三房金龍花園,台南市東區莊敬路,大樓,35.3年,建坪 44.95,主 + 陽35.76,14樓/17樓,3房2廳2衛1室,有裝潢有景觀前後陽台有 173 人也在關注這間👀,968萬,968,968萬,
2025_11_24 13_20_49,4,https://www.sinyi.com.tw//buy/house/0548MD?breadcrumb=list,東區三面採光四房平車好富新境,台南市東區自由路二段,大樓,28.0年,建坪 56.82,主 + 陽36.18,6樓/14樓,4房2廳2衛,有裝潢有景觀前後陽台有 1844 人也在關注這間👀,"1,688萬","1,498","1,688萬1,498萬",坡道平面車位
2025_11_24 13_20_49,4,https://www.sinyi.com.tw//buy/house/1113MX?breadcrumb=list,復興學區｜峰時代３房平車峰時代,台南市仁德區文華路三段,大樓,7.1年,建坪 49.5,主 + 陽24.66,9樓/12樓,3房2廳2衛,有裝潢有景觀前後陽台有 487 人也在關注這間👀,"1,680萬","1,388","1,680萬1,388萬",坡道平面車位
2025_11_24 13_20_49,4,https://www.sinyi.com.tw//buy/house/4435SC?breadcrumb=list,安南區景觀三房平車,台南市安南區義吉街,大樓,2.2年,建坪 47.52,主 + 陽25.23,10樓/14樓,3房2廳2衛,有裝潢廁所開窗警衛管理有 322 人也在關注這間👀,"2,088萬","1,698","2,088萬1,698萬",坡道平面車位
2025_11_24 13_20_49,4,https://www.sinyi.com.tw//buy/house/3598FR?breadcrumb=list,近文化中心五房平車,台南市東區崇明路,大樓,31.7年,建坪 79.47,主 + 陽57.98,9樓/14樓,5房2廳2衛,有裝潢有景觀前後陽台有 46 人也在關注這間👀,"1,988萬","1,988","1,988萬",坡道平面車位
2025_11_24 13_20_49,4,https://www.sinyi.com.tw//buy/house/4957LY?breadcrumb=list,東區吉寶市溫馨三房＋車位吉寶市,台南市東區利東街,華廈,30.3年,建坪 39.06,主 + 陽27.84,9樓/9樓,3房2廳2衛,有裝潢有景觀前後陽台有 319 人也在關注這間👀,859萬,820,859萬820萬,坡道機械車位
2025_11_24 13_20_49,4,https://www.sinyi.com.tw//buy/house/5657NT?breadcrumb=list,觀星雲彩家樂福四房觀雲丙區,台南市永康區中華二路,大樓,33.1年,建坪 46.22,主 + 陽38.3,6樓/17樓,4房2廳2衛,有裝潢前後陽台有陽台有 356 人也在關注這間👀,925萬,888,925萬888萬,
2025_11_24 13_20_49,4,https://www.sinyi.com.tw//buy/house/8854JT?breadcrumb=list,北區樹梢三房雙陽台成大城,台南市北區開元路,大樓,10.1年,建坪 31.84,主 + 陽22.36,3樓/24樓,3房2廳1衛,有景觀警衛管理具垃圾處理有 88 人也在關注這間👀,898萬,898,898萬,
2025_11_24 13_20_49,4,https://www.sinyi.com.tw//buy/house/3640UN?breadcrumb=list,新都會假期高樓三房新都會假期,台南市永康區永平街,大樓,25.6年,建坪 34.51,主 + 陽26.55,9樓/18樓,3房2廳2衛,有裝潢有景觀房間皆有窗有 174 人也在關注這間👀,"1,200萬",958,"1,200萬958萬",
