抓取時間,搜尋結果第幾頁,物件超連結,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,額外資訊2,原始價格,目前價格,是否含車位價格,
2025_10_15 23_15_06,1,https://www.sinyi.com.tw//buy/house/6914BJ?breadcrumb=list,精選採光電梯大四房,基隆市七堵區堵南街,華廈,31.6年,建坪 43.73,主 + 陽32.84,7樓/10樓,4房2廳2衛,https://www.sinyi.com.tw/buy/house/6914BJ?breadcrumb=list,有裝潢有景觀有陽台有 912 人也在關注這間👀,有 912 人也在關注這間👀,加入最愛,"1,098",
2025_10_15 23_15_06,1,https://www.sinyi.com.tw//buy/house/1112UQ?breadcrumb=list,暖暖景觀高樓優質美宅車位,基隆市暖暖區暖暖街,華廈,6.9年,建坪 58.08,主 + 陽30.93,7樓/7樓,4房2廳2衛,https://www.sinyi.com.tw/buy/house/1112UQ?breadcrumb=list,有裝潢有景觀前後陽台有 348 人也在關注這間👀,有 348 人也在關注這間👀,"1,850萬","1,798",升降機械車位
2025_10_15 23_15_06,1,https://www.sinyi.com.tw//buy/house/2226CT?breadcrumb=list,新豐溫馨１樓美寓,基隆市中正區新豐街,公寓,28.9年,建坪 32.15,主建物22.03,1樓/5樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/2226CT?breadcrumb=list,有裝潢有陽台房間皆有窗有 504 人也在關注這間👀,有 504 人也在關注這間👀,980萬,838,
2025_10_15 23_15_06,1,https://www.sinyi.com.tw//buy/house/7524TW?breadcrumb=list,店長推薦綠葉美透天,基隆市七堵區綠葉街,透天,26.3年,建坪 79.68,主 + 陽46.7,B1-5樓/5樓,3房3廳3衛,https://www.sinyi.com.tw/buy/house/7524TW?breadcrumb=list,有裝潢前後陽台有陽台有 424 人也在關注這間👀,有 424 人也在關注這間👀,"1,880萬","1,650",其他
2025_10_15 23_15_06,1,https://www.sinyi.com.tw//buy/house/8171PY?breadcrumb=list,萬隆青田貴族美妝２房車位,基隆市七堵區福二街,大樓,8.7年,建坪 47.87,主 + 陽25.13,10樓/15樓,2房2廳1衛,https://www.sinyi.com.tw/buy/house/8171PY?breadcrumb=list,有裝潢有景觀前後陽台有 148 人也在關注這間👀,有 148 人也在關注這間👀,(含車位價),加入最愛,坡道平面車位
2025_10_15 23_15_06,1,https://www.sinyi.com.tw//buy/house/6328FS?breadcrumb=list,出價就談四面採光帝王露戶,基隆市信義區義六路,大樓,12.2年,建坪 151.16,主 + 陽94.33,18樓/18樓,4房2廳4衛1室,https://www.sinyi.com.tw/buy/house/6328FS?breadcrumb=list,有景觀廁所開窗警衛管理有 199 人也在關注這間👀,有 199 人也在關注這間👀,"8,600萬","8,200",兩個以上車位
2025_10_15 23_15_06,1,https://www.sinyi.com.tw//buy/house/5585ZW?breadcrumb=list,綠葉山莊景觀別墅專屬車庫,基隆市七堵區綠葉街,別墅/透天,26.3年,建坪 61.8,主 + 陽46.91,B1-4樓/4樓,4房2廳3衛(含加蓋1衛),https://www.sinyi.com.tw/buy/house/5585ZW?breadcrumb=list,有裝潢前後陽台有陽台有 37 人也在關注這間👀,有 37 人也在關注這間👀,(含車位價),加入最愛,其他
2025_10_15 23_15_11,2,https://www.sinyi.com.tw//buy/house/4684RQ?breadcrumb=list,第一特獎３房配車位,基隆市信義區深溪路,華廈,26.7年,建坪 41.29,主 + 陽24.1,7樓/7樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/4684RQ?breadcrumb=list,有裝潢有景觀前後陽台有 349 人也在關注這間👀,有 349 人也在關注這間👀,(含車位價),加入最愛,坡道平面車位
2025_10_15 23_15_11,2,https://www.sinyi.com.tw//buy/house/8502XH?breadcrumb=list,中正路電梯經典２樓,基隆市中正區中正路,辦公,37.0年,建坪 33.7,主 + 陽30.81,2樓/10樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/8502XH?breadcrumb=list,有裝潢前後陽台有陽台有 77 人也在關注這間👀,有 77 人也在關注這間👀,"1,398萬","1,298",
2025_10_15 23_15_11,2,https://www.sinyi.com.tw//buy/house/1035JR?breadcrumb=list,安樂區方正採光三房,基隆市安樂區樂利二街,大樓,26.8年,建坪 28.51,主 + 陽20.71,11樓/13樓,3房2廳1衛,https://www.sinyi.com.tw/buy/house/1035JR?breadcrumb=list,有裝潢有景觀前後陽台有 666 人也在關注這間👀,有 666 人也在關注這間👀,加入最愛,758,
2025_10_15 23_15_11,2,https://www.sinyi.com.tw//buy/house/2724TR?breadcrumb=list,麗寶大觀三房海景平車,基隆市中山區華興街,華廈,17.2年,建坪 63.53,主 + 陽39.4,7樓/8樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/2724TR?breadcrumb=list,有裝潢有景觀前後陽台有 260 人也在關注這間👀,有 260 人也在關注這間👀,(含車位價),加入最愛,坡道平面車位
2025_10_15 23_15_11,2,https://www.sinyi.com.tw//buy/house/2955AU?breadcrumb=list,基隆近百福車站輕井澤透天,基隆市七堵區長安街,透天,14.6年,建坪 75.04,主 + 陽71.27,1-5樓/5樓,4房3廳3衛1室,https://www.sinyi.com.tw/buy/house/2955AU?breadcrumb=list,前後陽台有陽台廁所開窗有 552 人也在關注這間👀,有 552 人也在關注這間👀,"2,488萬","1,998",
2025_10_15 23_15_11,2,https://www.sinyi.com.tw//buy/house/9238HM?breadcrumb=list,信義區掌上明珠旁孝親四房,基隆市信義區仁一路,公寓,31.8年,建坪 43.5,主建物17.35,B1-1樓/5樓,4房2廳2衛,https://www.sinyi.com.tw/buy/house/9238HM?breadcrumb=list,有裝潢前後陽台有陽台有 416 人也在關注這間👀,有 416 人也在關注這間👀,"1,212萬",998,
2025_10_15 23_15_11,2,https://www.sinyi.com.tw//buy/house/1797CJ?breadcrumb=list,基隆劉銘傳路市區四房上疊,基隆市仁愛區劉銘傳路,公寓,32.5年,建坪 35.43,主 + 陽30.66,3-4樓/4樓,4房4廳2衛1室(含加蓋2廳1室),https://www.sinyi.com.tw/buy/house/1797CJ?breadcrumb=list,有裝潢有景觀房間皆有窗有 464 人也在關注這間👀,有 464 人也在關注這間👀,988萬,858,
2025_10_15 23_15_11,2,https://www.sinyi.com.tw//buy/house/1715DJ?breadcrumb=list,山嵐．朝霞．綠葉山莊,基隆市七堵區綠葉街,透天,26.3年,建坪 73.1,主 + 陽42.93,B1-5樓/5樓,4房2廳5衛(含加蓋1房),https://www.sinyi.com.tw/buy/house/1715DJ?breadcrumb=list,有裝潢有景觀前後陽台有 431 人也在關注這間👀,有 431 人也在關注這間👀,"1,950萬","1,780",其他
2025_10_15 23_15_11,2,https://www.sinyi.com.tw//buy/house/26160V?breadcrumb=list,基隆喜市★首購首選,基隆市中山區中和路,大樓,28.5年,建坪 21.48,主 + 陽16.79,10樓/11樓,2房2廳2衛(含加蓋1房1廳),https://www.sinyi.com.tw/buy/house/26160V?breadcrumb=list,有裝潢有景觀前後陽台有 1174 人也在關注這間👀,有 1174 人也在關注這間👀,加入最愛,580,
2025_10_15 23_15_11,2,https://www.sinyi.com.tw//buy/house/0103QY?breadcrumb=list,基隆喜市。真心推薦,基隆市中山區中和路,大樓,28.5年,建坪 26.12,主 + 陽16.18,9樓/11樓,3房3廳2衛(含加蓋2房1廳),https://www.sinyi.com.tw/buy/house/0103QY?breadcrumb=list,前後陽台有陽台廁所開窗有 957 人也在關注這間👀,有 957 人也在關注這間👀,(含車位價),加入最愛,坡道機械車位
2025_10_15 23_15_11,2,https://www.sinyi.com.tw//buy/house/9409ZZ?breadcrumb=list,福音★低總價綠葉兩房,基隆市七堵區綠葉街,華廈,26.4年,建坪 23.48,主 + 陽17.63,5樓/9樓,2房2廳2衛(含加蓋1房1衛),https://www.sinyi.com.tw/buy/house/9409ZZ?breadcrumb=list,有景觀警衛管理具垃圾處理有 94 人也在關注這間👀,有 94 人也在關注這間👀,加入最愛,850,
2025_10_15 23_15_11,2,https://www.sinyi.com.tw//buy/house/8474DG?breadcrumb=list,低總價美妝三樓,基隆市七堵區福五街,公寓,44.5年,建坪 28.79,主建物28.79,3樓/5樓,3房2廳1衛,https://www.sinyi.com.tw/buy/house/8474DG?breadcrumb=list,有裝潢有景觀前後陽台有 0 人也在關注這間👀,有 0 人也在關注這間👀,加入最愛,788,
2025_10_15 23_15_11,2,https://www.sinyi.com.tw//buy/house/3476PB?breadcrumb=list,麗景大花園透天麗景天下(基隆),基隆市七堵區華新一路,透天,34.3年,建坪 137.23,主 + 陽129.54,1-4樓/4樓,5房8廳5衛4室(含加蓋2房1廳1衛2室),https://www.sinyi.com.tw/buy/house/3476PB?breadcrumb=list,有裝潢有景觀前後陽台有 229 人也在關注這間👀,有 229 人也在關注這間👀,(含車位價),加入最愛,一樓平面車位
2025_10_15 23_15_11,2,https://www.sinyi.com.tw//buy/house/7067AX?breadcrumb=list,為您專屬！綠葉山莊透天,基隆市七堵區綠葉街,透天,26.3年,建坪 60.32,主 + 陽38.55,B1-4樓/4樓,4房3廳2.5衛,https://www.sinyi.com.tw/buy/house/7067AX?breadcrumb=list,有裝潢前後陽台有陽台有 667 人也在關注這間👀,有 667 人也在關注這間👀,"1,580萬","1,498",
2025_10_15 23_15_11,2,https://www.sinyi.com.tw//buy/house/4736BX?breadcrumb=list,八斗海景成家溫馨電梯車位,基隆市中正區新豐街,華廈,9.0年,建坪 28.09,主 + 陽14.76,7樓/7樓,1房2廳1衛,https://www.sinyi.com.tw/buy/house/4736BX?breadcrumb=list,有裝潢有陽台房間皆有窗有 708 人也在關注這間👀,有 708 人也在關注這間👀,728萬,698,坡道平面車位
2025_10_15 23_15_11,2,https://www.sinyi.com.tw//buy/house/0410YJ?breadcrumb=list,溫馨暖暖三房雙車位,基隆市暖暖區碇內街,大樓,12.1年,建坪 55.33,主 + 陽23.97,1樓/14樓,3房2廳2衛(含加蓋1廳),https://www.sinyi.com.tw/buy/house/0410YJ?breadcrumb=list,前後陽台有陽台警衛管理有 663 人也在關注這間👀,有 663 人也在關注這間👀,(含車位價),加入最愛,兩個以上車位
2025_10_15 23_15_11,2,https://www.sinyi.com.tw//buy/house/0244MK?breadcrumb=list,綠葉大空間附車位,基隆市七堵區綠葉街,華廈,26.4年,建坪 31.61,主 + 陽15.46,8樓/9樓,2房2廳2衛2室(含加蓋1房1衛2室),https://www.sinyi.com.tw/buy/house/0244MK?breadcrumb=list,有裝潢有景觀前後陽台有 455 人也在關注這間👀,有 455 人也在關注這間👀,(含車位價),加入最愛,坡道平面車位
2025_10_15 23_15_11,2,https://www.sinyi.com.tw//buy/house/4509DX?breadcrumb=list,武昌街質感裝潢邊間店面,基隆市中正區武昌街,店面/辦公,40.4年,建坪 32.3,主建物17.58,1樓/5樓,2廳2衛3室(含加蓋1廳1衛2室),https://www.sinyi.com.tw/buy/house/4509DX?breadcrumb=list,有裝潢廁所開窗近公園有 52 人也在關注這間👀,有 52 人也在關注這間👀,加入最愛,"1,488",
2025_10_15 23_15_11,2,https://www.sinyi.com.tw//buy/house/4679WG?breadcrumb=list,基隆信五路質感美裝潢三房,基隆市中正區信五路,公寓,49.3年,建坪 20.34,主建物20.34,4樓/4樓,3房4廳2衛(含加蓋2廳),https://www.sinyi.com.tw/buy/house/4679WG?breadcrumb=list,有裝潢近公園近市場有 1102 人也在關注這間👀,有 1102 人也在關注這間👀,加入最愛,688,
2025_10_15 23_15_11,2,https://www.sinyi.com.tw//buy/house/5562VL?breadcrumb=list,極品。海景三房平面車位,基隆市中正區正義路,華廈,30.1年,建坪 46.92,主 + 陽38.46,5樓/5樓,3房2廳2衛2室,https://www.sinyi.com.tw/buy/house/5562VL?breadcrumb=list,有裝潢有景觀廁所開窗有 19 人也在關注這間👀,有 19 人也在關注這間👀,(含車位價),加入最愛,一樓平面車位
2025_10_15 23_15_17,3,https://www.sinyi.com.tw//buy/house/9496RD?breadcrumb=list,基隆東信黃金透天店面,基隆市信義區東信路,店面/透天,51.1年,建坪 21.42,主建物18.03,1-3樓/3樓,4房5廳4衛1室(含加蓋2房2廳1衛1室),https://www.sinyi.com.tw/buy/house/9496RD?breadcrumb=list,有裝潢房間皆有窗近公園有 98 人也在關注這間👀,有 98 人也在關注這間👀,加入最愛,"1,388",
2025_10_15 23_15_17,3,https://www.sinyi.com.tw//buy/house/3941FV?breadcrumb=list,綠葉電梯３房車位,基隆市七堵區綠葉街,華廈,26.4年,建坪 32.02,主 + 陽15.46,4樓/8樓,3房2廳2衛(含加蓋2房1衛),https://www.sinyi.com.tw/buy/house/3941FV?breadcrumb=list,有裝潢前後陽台有陽台有 0 人也在關注這間👀,有 0 人也在關注這間👀,(含車位價),加入最愛,坡道平面車位
2025_10_15 23_15_17,3,https://www.sinyi.com.tw//buy/house/67980V?breadcrumb=list,⭐長安透天２５５－１２,基隆市七堵區長安街,透天,43.7年,建坪 30.7,主 + 陽27.79,1-2樓/2樓,5房3廳3衛1室(含加蓋2房1廳1衛),https://www.sinyi.com.tw/buy/house/67980V?breadcrumb=list,有裝潢前後陽台有陽台有 338 人也在關注這間👀,有 338 人也在關注這間👀,加入最愛,988,
2025_10_15 23_15_17,3,https://www.sinyi.com.tw//buy/house/6896JY?breadcrumb=list,百福稀有大空間,基隆市七堵區百二街,公寓,45.1年,建坪 26.95,主建物26.95,4樓/4樓,3房3廳1衛(含加蓋1廳),https://www.sinyi.com.tw/buy/house/6896JY?breadcrumb=list,房間皆有窗近公園近市場有 838 人也在關注這間👀,有 838 人也在關注這間👀,648萬,598,
2025_10_15 23_15_17,3,https://www.sinyi.com.tw//buy/house/2499NL?breadcrumb=list,望山面海。星河繪三房,基隆市中正區調和街,大樓,6.7年,建坪 49.03,主 + 陽28.14,12樓/14樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/2499NL?breadcrumb=list,有裝潢有景觀前後陽台有 192 人也在關注這間👀,有 192 人也在關注這間👀,(含車位價),加入最愛,坡道平面車位
2025_10_15 23_15_17,3,https://www.sinyi.com.tw//buy/house/78173C?breadcrumb=list,新接⭐稀有黃金寬店面,基隆市中正區中正路,店面,32.1年,建坪 54.61,主建物13.59,B1-1樓/7樓,2廳,https://www.sinyi.com.tw/buy/house/78173C?breadcrumb=list,毛胚屋有景觀有陽台有 49 人也在關注這間👀,有 49 人也在關注這間👀,加入最愛,"2,680",
2025_10_15 23_15_17,3,https://www.sinyi.com.tw//buy/house/8266BW?breadcrumb=list,港都傳奇－高樓景觀３房,基隆市信義區教孝街,大樓,32.3年,建坪 33.83,主 + 陽27.52,12樓/15樓,3房2廳2衛,https://www.sinyi.com.tw/buy/house/8266BW?breadcrumb=list,有裝潢有景觀前後陽台有 542 人也在關注這間👀,有 542 人也在關注這間👀,880萬,730,
2025_10_15 23_15_17,3,https://www.sinyi.com.tw//buy/house/7648LG?breadcrumb=list,［成家首選］邊間電梯三房,基隆市安樂區樂利二街,華廈,29.6年,建坪 33.15,主 + 陽27.27,2樓/7樓,3房2廳1衛1室,https://www.sinyi.com.tw/buy/house/7648LG?breadcrumb=list,有陽台廁所開窗房間皆有窗有 1406 人也在關注這間👀,有 1406 人也在關注這間👀,928萬,750,
2025_10_15 23_15_17,3,https://www.sinyi.com.tw//buy/house/2287GV?breadcrumb=list,⭐長安透天２５５－１６,基隆市七堵區長安街,透天,43.7年,建坪 30.7,主 + 陽27.79,1-2樓/2樓,3房3廳2衛(含加蓋1廳),https://www.sinyi.com.tw/buy/house/2287GV?breadcrumb=list,有景觀前後陽台有陽台有 1874 人也在關注這間👀,有 1874 人也在關注這間👀,加入最愛,650,
2025_10_15 23_15_17,3,https://www.sinyi.com.tw//buy/house/7504BS?breadcrumb=list,基隆和一路人潮店面,基隆市中正區和一路,店面,49.2年,建坪 20.66,主建物14.7,1樓/4樓,1廳1衛,https://www.sinyi.com.tw/buy/house/7504BS?breadcrumb=list,有裝潢廁所開窗近公園有 1 人也在關注這間👀,有 1 人也在關注這間👀,加入最愛,"1,100",
2025_10_15 23_15_17,3,https://www.sinyi.com.tw//buy/house/6703VZ?breadcrumb=list,皇族四房車位,基隆市暖暖區碇內街,華廈,34.4年,建坪 56.34,主 + 陽39.75,5樓/10樓,4房2廳2衛,https://www.sinyi.com.tw/buy/house/6703VZ?breadcrumb=list,前後陽台有陽台房間皆有窗有 143 人也在關注這間👀,有 143 人也在關注這間👀,(含車位價),加入最愛,坡道平面車位
2025_10_15 23_15_17,3,https://www.sinyi.com.tw//buy/house/22210E?breadcrumb=list,出價就談千坪近基隆長庚,基隆市安樂區麥金路,辦公,31.0年,建坪 1117.8,主 + 陽360.36,B1-2樓/19樓,6房3廳10衛2室,https://www.sinyi.com.tw/buy/house/22210E?breadcrumb=list,廁所開窗警衛管理近公園有 162 人也在關注這間👀,有 162 人也在關注這間👀,"20,000萬","19,800",其他
2025_10_15 23_15_17,3,https://www.sinyi.com.tw//buy/house/3568ZV?breadcrumb=list,三代綠景美房五加六樓頂加,基隆市七堵區實踐路,公寓,31.3年,建坪 30.9,主 + 陽28.55,5樓/5樓,5房2廳2衛1室(含加蓋2房1廳1衛1室),https://www.sinyi.com.tw/buy/house/3568ZV?breadcrumb=list,有裝潢有景觀前後陽台有 52 人也在關注這間👀,有 52 人也在關注這間👀,加入最愛,"1,280",
2025_10_15 23_15_17,3,https://www.sinyi.com.tw//buy/house/8000MU?breadcrumb=list,夢悅城高ＣＰ值兩房車位,基隆市中山區復興路,大樓,1.7年,建坪 34.83,主 + 陽15.86,7樓/13樓,2房1廳1衛,https://www.sinyi.com.tw/buy/house/8000MU?breadcrumb=list,有裝潢警衛管理具垃圾處理有 42 人也在關注這間👀,有 42 人也在關注這間👀,(含車位價),加入最愛,坡道平面車位
2025_10_15 23_15_17,3,https://www.sinyi.com.tw//buy/house/2853YF?breadcrumb=list,基隆廟口入口旁愛三路華廈,基隆市仁愛區愛三路,華廈,34.4年,建坪 22.28,主 + 陽22.29,6樓/7樓,6房1衛1室,https://www.sinyi.com.tw/buy/house/2853YF?breadcrumb=list,有陽台廁所開窗近公園有 70 人也在關注這間👀,有 70 人也在關注這間👀,加入最愛,800,
2025_10_15 23_15_17,3,https://www.sinyi.com.tw//buy/house/4497HK?breadcrumb=list,華納社區邊間大空間首選,基隆市七堵區六堵一街,透天,17.3年,建坪 91.1,主 + 陽88.21,1-5樓/5樓,3房3廳3衛,https://www.sinyi.com.tw/buy/house/4497HK?breadcrumb=list,有裝潢有景觀前後陽台有 273 人也在關注這間👀,有 273 人也在關注這間👀,"2,680萬","2,398",其他
2025_10_15 23_15_17,3,https://www.sinyi.com.tw//buy/house/7513SH?breadcrumb=list,水美海景明亮一房車位,基隆市中正區觀海街,大樓,26.8年,建坪 33.9,主 + 陽17.52,13樓/16樓,1房2廳1衛,https://www.sinyi.com.tw/buy/house/7513SH?breadcrumb=list,有裝潢有景觀有陽台有 529 人也在關注這間👀,有 529 人也在關注這間👀,(含車位價),加入最愛,坡道平面車位
2025_10_15 23_15_17,3,https://www.sinyi.com.tw//buy/house/0846FR?breadcrumb=list,麗景天下我有靠山獨棟透天麗景天下(基隆),基隆市七堵區麗景二街,透天,34.5年,建坪 107.2,主 + 陽80.79,B1-3樓/3樓,7房3廳3衛2室,https://www.sinyi.com.tw/buy/house/0846FR?breadcrumb=list,有裝潢有景觀前後陽台有 169 人也在關注這間👀,有 169 人也在關注這間👀,加入最愛,"2,788",
2025_10_15 23_15_17,3,https://www.sinyi.com.tw//buy/house/27284R?breadcrumb=list,中船路便利傳家美寓,基隆市中正區中船路,公寓,47.0年,建坪 17.83,主建物17.83,5樓/5樓,2房2廳1衛,https://www.sinyi.com.tw/buy/house/27284R?breadcrumb=list,毛胚屋有景觀前後陽台有 958 人也在關注這間👀,有 958 人也在關注這間👀,350萬,288,
2025_10_15 23_15_17,3,https://www.sinyi.com.tw//buy/house/3573UK?breadcrumb=list,宏貿臻璽兩房稀有釋出,基隆市中山區中和路,華廈,1.7年,建坪 26.05,主 + 陽16.46,4樓/9樓,2房2廳1衛,https://www.sinyi.com.tw/buy/house/3573UK?breadcrumb=list,有裝潢有陽台房間皆有窗有 394 人也在關注這間👀,有 394 人也在關注這間👀,"1,150萬",980,
2025_10_15 23_15_24,4,https://www.sinyi.com.tw//buy/house/3479NP?breadcrumb=list,近基隆火車站公寓３房,基隆市安樂區安樂路一段,公寓,42.1年,建坪 28.05,主 + 陽28.05,4樓/5樓,3房2廳1衛,https://www.sinyi.com.tw/buy/house/3479NP?breadcrumb=list,有裝潢有景觀有陽台有 2038 人也在關注這間👀,有 2038 人也在關注這間👀,加入最愛,520,
2025_10_15 23_15_24,4,https://www.sinyi.com.tw//buy/house/24560L?breadcrumb=list,信義之心●兩房車位,基隆市信義區崇法街,華廈,5.4年,建坪 38.41,主 + 陽19.49,3樓/9樓,2房2廳1衛,https://www.sinyi.com.tw/buy/house/24560L?breadcrumb=list,有裝潢前後陽台有陽台有 143 人也在關注這間👀,有 143 人也在關注這間👀,(含車位價),加入最愛,坡道平面車位
2025_10_15 23_15_24,4,https://www.sinyi.com.tw//buy/house/0420FG?breadcrumb=list,基隆歐風黃金美寓,基隆市信義區東信路,公寓,34.6年,建坪 65.71,主 + 陽53.77,1樓/5樓,4房2廳3衛1室,https://www.sinyi.com.tw/buy/house/0420FG?breadcrumb=list,有裝潢前後陽台有陽台有 223 人也在關注這間👀,有 223 人也在關注這間👀,(含車位價),加入最愛,坡道平面車位
2025_10_15 23_15_24,4,https://www.sinyi.com.tw//buy/house/99561T?breadcrumb=list,原美超優電梯四房一手屋,基隆市七堵區綠葉街,華廈,13.7年,建坪 49.34,主 + 陽33.55,2樓/6樓,4房2廳2衛,https://www.sinyi.com.tw/buy/house/99561T?breadcrumb=list,有裝潢有景觀有陽台有 1745 人也在關注這間👀,有 1745 人也在關注這間👀,加入最愛,"1,530",
2025_10_15 23_15_24,4,https://www.sinyi.com.tw//buy/house/7038QT?breadcrumb=list,隆聖新天鵝堡電梯大別墅,基隆市安樂區武隆街,透天,19.2年,建坪 110.01,主 + 陽71.89,1-4樓/4樓,4房3廳3.5衛,https://www.sinyi.com.tw/buy/house/7038QT?breadcrumb=list,有裝潢廁所開窗房間皆有窗有 173 人也在關注這間👀,有 173 人也在關注這間👀,(含車位價),加入最愛,坡道平面車位
