抓取時間,搜尋結果第幾頁,物件超連結,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,原始價格,目前價格,原始及目前價格,是否含車位價格,,,,,
2025_11_21 17_58_24,2,https://www.sinyi.com.tw//buy/house/9221HW?breadcrumb=list,冠德電梯採光高樓三房西園新故鄉,台北市萬華區西園路二段,大樓,25.3年,建坪 34.35,主 + 陽25.28,9樓/13樓,3房2廳2衛,有裝潢有景觀前後陽台有 25 人也在關注這間👀,2498萬,"2,498",2498萬,,,,,,
2025_11_21 17_58_24,2,https://www.sinyi.com.tw//buy/house/2926QF?breadcrumb=list,歡迎賞屋後山碑捷運讚２樓,台北市南港區玉成街,公寓/辦公,41.1年,建坪 36.19,主 + 陽32.87,2樓/5樓,3房2廳2衛,有裝潢前後陽台有陽台有 1084 人也在關注這間👀,2780萬,"2,780",2780萬,,,,,,
2025_11_21 17_58_24,2,https://www.sinyi.com.tw//buy/house/7346TB?breadcrumb=list,仁愛鑽石面林蔭邊間四房鑽石大廈,台北市大安區仁愛路四段,大樓/辦公,48.7年,建坪 48.51,主 + 陽38.51,2樓/12樓,4房2廳2衛,有景觀有陽台廁所開窗有 981 人也在關注這間👀,5880萬,"5,880",5880萬,,,,,,
2025_11_21 17_58_24,2,https://www.sinyi.com.tw//buy/house/9228MK?breadcrumb=list,一方露台·挑高恬靜居所同安閣,台北市中正區同安街,華廈,28.8年,建坪 28.41,主 + 陽7.85,6樓/7樓,2房1廳1衛(含加蓋2房),有裝潢有景觀有陽台有 1169 人也在關注這間👀,2198萬,"2,198",2198萬,升降機械車位,,,,,
2025_11_21 17_58_24,2,https://www.sinyi.com.tw//buy/house/7485WL?breadcrumb=list,近捷運～南方樹海美景三房南方藝術宮殿,台北市文山區辛亥路四段,大樓,30.3年,建坪 46.02,主 + 陽27.7,14樓/18樓,3房2廳2衛,有裝潢有景觀有陽台有 595 人也在關注這間👀,2988萬,"2,988",2988萬,坡道平面車位,,,,,
2025_11_21 17_58_24,2,https://www.sinyi.com.tw//buy/house/3518GH?breadcrumb=list,大橋頭優質管理兩房車位天好韻,台北市大同區重慶北路二段,大樓,6.5年,建坪 27.87,主 + 陽13.38,4樓/15樓,2房1廳1衛,有裝潢有陽台房間皆有窗有 1902 人也在關注這間👀,2728萬,"2,728",2728萬,塔式車位,,,,,
2025_11_21 17_58_24,2,https://www.sinyi.com.tw//buy/house/4986KC?breadcrumb=list,忠泰湛新成屋方正大三房,台北市文山區木新路一段,大樓,1.4年,建坪 60.49,主 + 陽31.36,10樓/23樓,3房2廳2衛,有裝潢毛胚屋有景觀有 1212 人也在關注這間👀,4988萬,"4,988",4988萬,坡道平面車位,,,,,
2025_11_21 17_58_24,2,https://www.sinyi.com.tw//buy/house/2819KS?breadcrumb=list,太子華威高樓磅礡美景大戶太子華威,台北市士林區至誠路一段,大樓,7.4年,建坪 153.32,主 + 陽71.58,10樓/14樓,1廳,毛胚屋有景觀前後陽台有 508 人也在關注這間👀,13380萬,"13,380",13380萬,兩個以上車位,,,,,
2025_11_21 17_58_24,2,https://www.sinyi.com.tw//buy/house/6676RP?breadcrumb=list,國賓大理三房帶車位國賓大理,台北市萬華區艋舺大道,大樓,6.6年,建坪 43.04,主 + 陽22.03,2樓/15樓,3房1廳1衛,有裝潢有景觀前後陽台有 545 人也在關注這間👀,3188萬,"3,188",3188萬,坡道平面車位,,,,,
2025_11_21 17_58_24,2,https://www.sinyi.com.tw//buy/house/75581U?breadcrumb=list,雨果文學館公園景觀雙車位雨果文學館,台北市文山區秀明路一段,大樓,16.7年,建坪 57.99,主 + 陽31.3,5樓/11樓,2房2廳2衛,有裝潢有景觀前後陽台有 24 人也在關注這間👀,3880萬,"3,880",3880萬,兩個以上車位,,,,,
2025_11_21 17_58_36,3,https://www.sinyi.com.tw//buy/house/0152GG?breadcrumb=list,師大附中面公園四房帶車位大安路一段230...,台北市大安區大安路一段,華廈,40.3年,建坪 51.33,主 + 陽38.92,6樓/7樓,4房2廳2衛1室,有裝潢有景觀有陽台有 110 人也在關注這間👀,6700萬,"6,700",6700萬,塔式車位,,,,,
2025_11_21 17_58_36,3,https://www.sinyi.com.tw//buy/house/8524FD?breadcrumb=list,松江南京邊間露臺美宅閱禾琚,台北市中山區建國北路一段,大樓,15.7年,建坪 15.31,主 + 陽8.97,6樓/13樓,1房2廳1衛(含加蓋1房),有裝潢有景觀廁所開窗有 150 人也在關注這間👀,1990萬,"1,990",1990萬,,,,,,
2025_11_21 17_58_36,3,https://www.sinyi.com.tw//buy/house/5695XY?breadcrumb=list,【富域】高樓美三房,台北市北投區大興街,大樓,0.9年,建坪 52.8,主 + 陽28.97,14樓/27樓,3房2廳2衛,有景觀有陽台警衛管理有 519 人也在關注這間👀,4788萬,"4,788",4788萬,坡道平面車位,,,,,
2025_11_21 17_58_36,3,https://www.sinyi.com.tw//buy/house/1175MV?breadcrumb=list,青年新城致富一樓青年國宅,台北市萬華區青年路,大樓,38.7年,建坪 33.52,主建物22.75,1樓/12樓,3房2廳1.5衛,有裝潢前後陽台有陽台有 282 人也在關注這間👀,2680萬,"2,680",2680萬,,,,,,
2025_11_21 17_58_36,3,https://www.sinyi.com.tw//buy/house/4098GK?breadcrumb=list,樸山水澗面碧湖景前一排樸山水澗,台北市內湖區內湖路二段,大樓,10.0年,建坪 75.63,主 + 陽44.26,7樓/15樓,4房2廳2衛1室,有景觀前後陽台有陽台有 765 人也在關注這間👀,9000萬,"9,000",9000萬,坡道平面車位,,,,,
2025_11_21 17_58_36,3,https://www.sinyi.com.tw//buy/house/5247TX?breadcrumb=list,台大文豪露台４房坡平車位,台北市大安區泰順街,華廈,27.4年,建坪 69.63,主 + 陽40.21,9樓/9樓,4房2廳3衛,有裝潢有景觀前後陽台有 3447 人也在關注這間👀,7880萬,"7,880",7880萬,坡道平面車位,,,,,
2025_11_21 17_58_36,3,https://www.sinyi.com.tw//buy/house/4874JP?breadcrumb=list,實小南門近未來捷運電梯,台北市中正區寧波西街,華廈,37.8年,建坪 33.95,主 + 陽27.21,5樓/7樓,4房2廳2衛,有裝潢有陽台廁所開窗有 1109 人也在關注這間👀,3288萬,"3,288",3288萬,,,,,,
2025_11_21 17_58_36,3,https://www.sinyi.com.tw//buy/house/0444WT?breadcrumb=list,中山國小高樓小資宅,台北市中山區錦州街,大樓,41.2年,建坪 17.77,主 + 陽14.14,12樓/13樓,1房1廳1衛,有裝潢有景觀房間皆有窗有 886 人也在關注這間👀,1098萬,"1,098",1098萬,,,,,,
2025_11_21 17_58_36,3,https://www.sinyi.com.tw//buy/house/3390JX?breadcrumb=list,萬福公園初心美宅,台北市南港區忠孝東路六段,公寓,50.3年,建坪 29.55,主 + 陽29.55,4樓/4樓,2廳2衛(含加蓋1廳1衛),毛胚屋有陽台近公園有 451 人也在關注這間👀,2088萬,"2,088",2088萬,,,,,,
2025_11_21 17_58_36,3,https://www.sinyi.com.tw//buy/house/8227RY?breadcrumb=list,中和街低總低單價３樓３房,台北市北投區中和街,公寓,47.0年,建坪 32.75,主 + 陽32.75,3樓/4樓,3房2廳2衛,有裝潢近公園近市場有 757 人也在關注這間👀,1250萬,"1,250",1250萬,,,,,,
2025_11_21 17_58_36,3,https://www.sinyi.com.tw//buy/house/0214MF?breadcrumb=list,萬大ＯＮＥ１樓金店面,台北市萬華區民和街,店面/辦公/大樓,7.0年,建坪 20.41,主 + 陽13.76,1樓/13樓,1廳1衛,毛胚屋有陽台警衛管理有 97 人也在關注這間👀,1850萬,"1,850",1850萬,,,,,,
2025_11_21 17_58_36,3,https://www.sinyi.com.tw//buy/house/5176ZM?breadcrumb=list,信義安和靜巷庭院－附車位上群信義,台北市大安區信義路四段,華廈,12.7年,建坪 50.07,主 + 陽25.6,1樓/7樓,2廳2衛1室(含加蓋1室),前後陽台有陽台警衛管理有 52 人也在關注這間👀,5580萬,"5,580",5580萬,兩個以上車位,,,,,
2025_11_21 17_58_36,3,https://www.sinyi.com.tw//buy/house/4784SB?breadcrumb=list,世青圓形世青圓形,台北市大安區信義路四段,大樓,38.9年,建坪 48.83,主 + 陽45.86,12樓/17樓,2房2廳2衛,有裝潢有景觀有陽台有 87 人也在關注這間👀,6688萬,"6,688",6688萬,,,,,,
2025_11_21 17_58_36,3,https://www.sinyi.com.tw//buy/house/3259DM?breadcrumb=list,格局方正四房公寓,台北市中山區五常街,公寓,47.6年,建坪 29.86,主 + 陽29.86,4樓/5樓,4房2廳2衛,有裝潢有陽台近公園有 587 人也在關注這間👀,1868萬,"1,868",1868萬,,,,,,
2025_11_21 17_58_36,3,https://www.sinyi.com.tw//buy/house/5217CB?breadcrumb=list,有裝潢★附中學區高樓兩房登峰大廈,台北市大安區復興南路一段,大樓,2.0年,建坪 22.99,主 + 陽16.17,8樓/15樓,2房2廳1衛,有裝潢有景觀前後陽台有 96 人也在關注這間👀,3980萬,"3,980",3980萬,,,,,,
2025_11_21 17_58_36,3,https://www.sinyi.com.tw//buy/house/1472MT?breadcrumb=list,【新接】溫歌華◇韶華入室溫歌華花園,台北市南港區向陽路,大樓,19.3年,建坪 63.38,主 + 陽36.27,5樓/15樓,4房2廳2衛1室,有裝潢有陽台廁所開窗有 145 人也在關注這間👀,5088萬,"5,088",5088萬,坡道平面車位,,,,,
2025_11_21 17_58_36,3,https://www.sinyi.com.tw//buy/house/6312QL?breadcrumb=list,士林高樓層美裝帶車位士林新天地花漾區,台北市士林區大南路,辦公/大樓,18.0年,建坪 46.27,主 + 陽25.19,13樓/15樓,3房1廳2衛,有裝潢有景觀有陽台有 62 人也在關注這間👀,3780萬,"3,780",3780萬,坡道平面車位,,,,,
2025_11_21 17_58_36,3,https://www.sinyi.com.tw//buy/house/1973FN?breadcrumb=list,捷運大境★民權豐采民福大樓,台北市松山區民權東路三段,華廈,40.6年,建坪 30.63,主 + 陽24.16,7樓/10樓,2房2廳1衛,有景觀有陽台房間皆有窗有 1064 人也在關注這間👀,2728萬,"2,728",2728萬,,,,,,
2025_11_21 17_58_36,3,https://www.sinyi.com.tw//buy/house/5932HZ?breadcrumb=list,民生社區正面公園二樓美寓,台北市松山區三民路,公寓,53.6年,建坪 35.12,主 + 陽35.12,2樓/4樓,4房2廳2衛,有裝潢有景觀前後陽台有 530 人也在關注這間👀,3000萬,"3,000",3000萬,,,,,,
2025_11_21 17_58_36,3,https://www.sinyi.com.tw//buy/house/5355AR?breadcrumb=list,雙敦２＋１房帶坡平雙車位音樂花園,台北市松山區八德路二段,大樓,23.1年,建坪 69.74,主 + 陽30.37,8樓/12樓,3房2廳2衛(含加蓋1房),有裝潢有景觀廁所開窗有 50 人也在關注這間👀,7980萬,"7,980",7980萬,兩個以上車位,,,,,
2025_11_21 17_58_47,4,https://www.sinyi.com.tw//buy/house/6319WR?breadcrumb=list,雙敦２＋１房帶坡平車位２音樂花園,台北市松山區八德路二段,大樓,23.1年,建坪 59.3,主 + 陽30.37,8樓/12樓,3房2廳2衛1室(含加蓋1房),有裝潢有景觀廁所開窗有 65 人也在關注這間👀,7268萬,"7,268",7268萬,坡道平面車位,,,,,
2025_11_21 17_58_47,4,https://www.sinyi.com.tw//buy/house/4726CD?breadcrumb=list,長堤溫馨華廈長堤二重奏,台北市文山區樟新街,華廈,28.8年,建坪 24.3,主 + 陽13.64,3樓/7樓,2房2廳1衛(含加蓋1房),警衛管理近公園近市場有 601 人也在關注這間👀,1680萬,"1,680",1680萬,坡道機械車位,,,,,
2025_11_21 17_58_47,4,https://www.sinyi.com.tw//buy/house/4025WK?breadcrumb=list,南港★綠意公園★誠售,台北市南港區舊莊街一段,公寓,35.8年,建坪 26.02,主 + 陽23.9,5樓/5樓,3房2廳1衛,有裝潢廁所開窗近公園有 2700 人也在關注這間👀,1380萬,"1,380",1380萬,,,,,,
2025_11_21 17_58_47,4,https://www.sinyi.com.tw//buy/house/4029ZJ?breadcrumb=list,民生社區低總價置產自用,台北市松山區新東街,公寓,54.3年,建坪 22.19,主 + 陽22.19,4樓/4樓,5房2廳5衛(含加蓋1房2廳1衛),有裝潢有景觀廁所開窗有 2129 人也在關注這間👀,1980萬,"1,980",1980萬,,,,,,
2025_11_21 17_58_47,4,https://www.sinyi.com.tw//buy/house/7982YM?breadcrumb=list,逸仙面寬方正金店面逸安大廈,台北市信義區逸仙路,店面,47.5年,建坪 35.63,主建物22.54,1樓/12樓,1廳1衛,毛胚屋有陽台警衛管理有 55 人也在關注這間👀,5988萬,"5,988",5988萬,,,,,,
2025_11_21 17_58_47,4,https://www.sinyi.com.tw//buy/house/5199AF?breadcrumb=list,誠售！降價裝潢獨戶三房,台北市信義區吳興街,公寓,40.8年,建坪 36.64,主 + 陽33.94,5樓/5樓,4房2廳3衛(含加蓋1房1衛),有裝潢有景觀有陽台有 2304 人也在關注這間👀,2280萬,"2,280",2280萬,,,,,,
2025_11_21 17_58_47,4,https://www.sinyi.com.tw//buy/house/7085GX?breadcrumb=list,【長安一品】露臺豪邸長安一品,台北市中山區長安東路二段,大樓,13.9年,建坪 75.69,主 + 陽40.46,3樓/15樓,4房2廳2衛,有裝潢前後陽台有陽台有 1056 人也在關注這間👀,7950萬,"7,950",7950萬,坡道平面車位,,,,,
2025_11_21 17_58_47,4,https://www.sinyi.com.tw//buy/house/0306TL?breadcrumb=list,可看屋！遠企高樓邊間四房,台北市大安區和平東路三段,大樓,41.7年,建坪 49.98,主 + 陽46.78,9樓/12樓,4房2廳3衛,三角窗有裝潢有陽台有 174 人也在關注這間👀,4588萬,"4,588",4588萬,,,,,,
2025_11_21 17_58_47,4,https://www.sinyi.com.tw//buy/house/6845SW?breadcrumb=list,【六張犁】大面寬靜巷一樓,台北市信義區和平東路三段,公寓/辦公,44.7年,建坪 45.76,主建物24.65,B1-1樓/5樓,3房3廳2衛,近公園近捷運近市場有 316 人也在關注這間👀,3998萬,"3,998",3998萬,,,,,,
2025_11_21 17_58_47,4,https://www.sinyi.com.tw//buy/house/8196HZ?breadcrumb=list,大直美麗華經典菁典,台北市中山區敬業一路,辦公,17.3年,建坪 18.6,主 + 陽8.68,5樓/7樓,1房1廳1衛,有陽台廁所開窗房間皆有窗有 269 人也在關注這間👀,1588萬,"1,588",1588萬,坡道機械車位,,,,,
2025_11_21 17_58_47,4,https://www.sinyi.com.tw//buy/house/5867SH?breadcrumb=list,專任遇水生財讓你旺三樓,台北市內湖區文湖街,辦公/大樓,9.5年,建坪 129.04,主 + 陽55.63,3樓/14樓,1廳,毛胚屋前後陽台有陽台有 631 人也在關注這間👀,6988萬,"6,988",6988萬,兩個以上車位,,,,,
2025_11_21 17_58_47,4,https://www.sinyi.com.tw//buy/house/2714MT?breadcrumb=list,首耀璀璨四房帶車位首耀,台北市萬華區康定路,大樓,14.6年,建坪 65.45,主 + 陽40.79,4樓/15樓,4房2廳3衛2室,有裝潢有陽台廁所開窗有 81 人也在關注這間👀,5688萬,"5,688",5688萬,其他,,,,,
2025_11_21 17_58_47,4,https://www.sinyi.com.tw//buy/house/8592PG?breadcrumb=list,【世貿新城】質感裝潢戶世貿新城-甲乙丙...,台北市信義區信義路五段,華廈,27.6年,建坪 52.08,主 + 陽26.21,2樓/8樓,3房2廳2衛,有裝潢前後陽台有陽台有 925 人也在關注這間👀,5980萬,"5,980",5980萬,坡道平面車位,,,,,
2025_11_21 17_58_47,4,https://www.sinyi.com.tw//buy/house/9456HM?breadcrumb=list,天母仰格邊間電梯三房車位天母仰格,台北市士林區中山北路五段,大樓,1.6年,建坪 78.62,主 + 陽40.17,12樓/17樓,3房2廳2衛,有景觀有陽台廁所開窗有 490 人也在關注這間👀,6999萬,"6,999",6999萬,坡道平面車位,,,,,
2025_11_21 17_58_47,4,https://www.sinyi.com.tw//buy/house/75017G?breadcrumb=list,台北摩根《後棟》高樓美景台北摩根,台北市松山區南京東路五段,大樓,16.7年,建坪 16.84,主 + 陽10.63,10樓/18樓,1房2廳1衛,有裝潢有景觀有陽台有 45 人也在關注這間👀,1920萬,"1,920",1920萬,,,,,,
2025_11_21 17_58_47,4,https://www.sinyi.com.tw//buy/house/27231D?breadcrumb=list,五期挑高庭院美屋,台北市內湖區新豐街,華廈,6.5年,建坪 50.43,主建物26.48,1樓/8樓,3房2廳2衛,廁所開窗警衛管理健身房有 312 人也在關注這間👀,5880萬,"5,880",5880萬,塔式車位,,,,,
2025_11_21 17_58_47,4,https://www.sinyi.com.tw//buy/house/8014VP?breadcrumb=list,西湖捷運瑞光華固躍虎六樓,台北市內湖區瑞光路,辦公/廠房,26.3年,建坪 99.38,主建物48.8,6樓/9樓,2廳5室,有裝潢警衛管理具垃圾處理有 62 人也在關注這間👀,5380萬,"5,380",5380萬,兩個以上車位,,,,,
2025_11_21 17_58_47,4,https://www.sinyi.com.tw//buy/house/3237QP?breadcrumb=list,西門捷運公寓四樓,台北市萬華區隆昌街,公寓,48.3年,建坪 19.47,主建物19.47,4樓/5樓,2房2廳2衛(含加蓋1衛),有裝潢有陽台廁所開窗有 28 人也在關注這間👀,1400萬,"1,400",1400萬,,,,,,
