鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
大寮區,房地(土地+建物),高雄市大寮區義和路１２１之３５號,143.86,1140509,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050328,199.69,5,2,4,有,無,12500000,62597,,0,0
苓雅區,房地(土地+建物),高雄市苓雅區中正一路３５２號八樓之８,4.92,1140509,土地1建物1車位0,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110905,78.64,2,2,2,有,有,9700000,123347,,0,0
三民區,房地(土地+建物),高雄市三民區鼎華路１８８號十一樓之３,6.07,1140501,土地1建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830105,67.05,2,1,1,有,有,4500000,67114,,0,0
楠梓區,房地(土地+建物)+車位,高雄市楠梓區秀群路８６５號五樓,26.51,1140506,土地2建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,851227,121.49,2,2,1,有,有,2640000,21730,坡道平面,0,0
岡山區,房地(土地+建物),高雄市岡山區柳橋東路３９號三樓之２,4.75,1140501,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,820101,37.44,1,0,1,有,無,2180000,58226,,0,0
大社區,房地(土地+建物)+車位,高雄市大社區中山路２０１巷１３號三樓,22.71,1140504,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,840615,132.13,6,0,3,有,有,6000000,45410,坡道機械,0,0
大寮區,房地(土地+建物),高雄市大寮區琉球路２３之６號三樓之６,27.2,1140505,土地2建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131213,65.44,2,2,2,有,有,5600000,85575,,0,0
前金區,房地(土地+建物),高雄市前金區中華三路２３４號８樓之５,3.4,1140503,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,720223,36.76,0,0,0,無,有,1900000,51687,,0,0
鼓山區,房地(土地+建物),高雄市鼓山區美明路５６號五樓,22.91,1140501,土地1建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931018,138.12,3,2,2,有,有,12210000,88401,,0,0
苓雅區,房地(土地+建物),高雄市苓雅區興中一路４２９巷１號,34.5,1140508,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,611011,70.25,3,2,2,有,無,4200000,59786,,0,0
小港區,房地(土地+建物)+車位,高雄市小港區金城路３５號五樓,23.63,1140501,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820729,131.5,3,2,2,有,有,8300000,63118,坡道平面,0,0
三民區,房地(土地+建物),高雄市三民區遼寧三街３９號五樓,10.4,1140506,土地1建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091116,71.21,0,0,0,無,有,7900000,110939,,0,0
三民區,房地(土地+建物),高雄市三民區建工路４３１號八樓之４,6.14,1140505,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,810804,71,2,1,1,有,有,1600000,22535,,0,0
左營區,房地(土地+建物),高雄市左營區重清路１５７號,22.2,1140508,土地1建物1車位0,一層，騎樓，夾層,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,731228,90.72,3,1,1,有,無,9500000,104718,,0,0
鳳山區,房地(土地+建物),高雄市鳳山區南華路１巷２弄５之３號,25.22,1140508,土地3建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680523,58.1,3,2,1,有,無,2860000,49225,,0,0
大社區,房地(土地+建物)+車位,高雄市大社區學府路２２５巷５弄１６號七樓,34.38,1140501,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,851008,97.69,2,2,1,有,有,3830000,39206,坡道平面,0,0
大寮區,房地(土地+建物),高雄市大寮區大寮路５６４巷１１弄１４號,54,1140508,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,640503,94.73,2,1,1,有,無,1800000,19001,,0,0
大寮區,房地(土地+建物),高雄市大寮區商協路２１３之１號二樓,26.84,1140509,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,730702,88.14,3,2,2,有,無,3700000,41979,,0,0
前金區,房地(土地+建物),高雄市前金區七賢二路１５６號９樓之１０,2.75,1140506,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,720601,31.17,1,1,1,有,有,2100000,67372,,0,0
苓雅區,房地(土地+建物),高雄市苓雅區和平一路６２巷１４之４號,31,1140504,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690423,82.82,2,2,2,有,無,3750000,45279,,0,0
苓雅區,房地(土地+建物)+車位,高雄市苓雅區中華四路４７號１０樓之２,27.35,1140515,土地1建物1車位1,十層,十七層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,820924,394.59,0,0,0,無,有,17067050,43253,升降機械,0,0
新興區,房地(土地+建物),高雄市新興區八德一路１９４號９樓之６,4.45,1140514,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,700509,39.14,1,1,1,有,有,3500000,89423,,0,0
前鎮區,房地(土地+建物),高雄市前鎮區鎮東一街３９５巷４弄４號二樓之１,40.93,1140512,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,671024,57.64,3,2,1,有,無,2700000,46842,,0,0
三民區,房地(土地+建物),高雄市三民區立忠路９５巷３號四樓之１,26.94,1140510,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690415,78.24,4,2,3,有,無,4250000,54320,,0,0
三民區,房地(土地+建物),高雄市三民區義和路１號,210,1140501,土地3建物1車位0,全,四層,透天厝,,鋼筋混凝土造,701104,257.96,7,2,4,有,無,31650000,122693,,0,0
楠梓區,房地(土地+建物),高雄市楠梓區加宏路１１７巷１７號六樓,10.12,1140505,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,941130,87.35,2,1,1,有,有,6800000,77848,,0,0
楠梓區,建物,高雄市楠梓區右昌一巷９４之３號,0,1140506,土地0建物1車位0,全,一層,透天厝,住家用,加強磚造,591201,35.56,0,0,0,無,無,1391000,39117,,0,0
橋頭區,房地(土地+建物),高雄市橋頭區里林東路１５號三樓之５,19.78,1140501,土地2建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140320,68.22,2,2,2,有,有,6950000,101876,,0,0
橋頭區,房地(土地+建物),高雄市橋頭區里林東路１５號五樓之１,21.13,1140501,土地2建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140320,73.02,2,2,2,有,有,6950000,95179,,0,0
岡山區,房地(土地+建物),高雄市岡山區正言街３６之６號,76,1140502,土地2建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,711021,196.07,4,2,3,有,無,11000000,56102,,0,0
鳳山區,房地(土地+建物)+車位,高雄市鳳山區保泰路１４８號九樓,19.05,1140506,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,781129,158.61,4,2,2,有,有,9150000,57689,坡道機械,0,0
旗山區,房地(土地+建物),高雄市旗山區花旗二路１４８巷６弄８號,95.22,1140501,土地2建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,840222,174.16,4,2,3,有,無,2980000,17111,,0,0
仁武區,房地(土地+建物),高雄市仁武區仁忠十街１８巷３號,80,1140505,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,640818,92,5,2,4,有,無,8000000,86957,,0,0
大寮區,房地(土地+建物),高雄市大寮區民富街３３號四樓,13.75,1140503,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830518,123.8,4,2,2,有,有,6100000,49273,,0,0
林園區,房地(土地+建物),高雄市林園區中門路１１號三樓之２,24.7,1140513,土地2建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110920,75.68,2,2,2,有,有,4400000,58140,,0,0
苓雅區,房地(土地+建物),高雄市苓雅區尚智街１０號,68,1140512,土地1建物1車位0,全,三層,透天厝,住商用,加強磚造,601228,137.17,3,1,3,有,無,14000000,102063,,0,0
橋頭區,房地(土地+建物),高雄市橋頭區糖北路７巷２號,125,1140502,土地1建物1車位0,全,二層,透天厝,住家用,磚造,551216,87.06,4,2,2,有,無,5000000,57432,,0,0
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢三路５７之３號９樓之６,1.67,1140511,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,721209,20,1,1,1,有,有,1300000,65000,,0,0
小港區,房地(土地+建物),高雄市小港區鳳西街９號,21.33,1140510,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,750527,48.49,3,2,3,有,無,2400000,49495,,0,0
前鎮區,房地(土地+建物)+車位,高雄市前鎮區康和路５８號六樓之３,16.86,1140508,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1121106,166.38,3,2,2,有,有,15500000,93160,坡道平面,23.23,0
前鎮區,房地(土地+建物)+車位,高雄市前鎮區復興三路２６號十七樓之３,11.8,1140503,土地1建物1車位1,十七層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1071102,163.64,3,2,2,有,有,11880000,72598,坡道平面,26.32,0
三民區,房地(土地+建物),高雄市三民區九如一路１７０巷３２弄５之４號,26.43,1140507,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土結構造,690523,84.55,3,2,1,有,無,3000000,35482,,0,0
三民區,房地(土地+建物),高雄市三民區覺民路２８５巷７號,75,1140505,土地1建物1車位0,全,四層,透天厝,,鋼筋混凝土造,751108,225.12,5,2,3,有,無,15000000,66631,,0,0
左營區,房地(土地+建物),高雄市左營區明華一路２０８號十樓之４,3.02,1140501,土地1建物1車位0,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830530,31.22,1,1,1,有,有,3520000,112748,,0,0
鳳山區,房地(土地+建物)+車位,高雄市鳳山區南華路８３號五樓,18.44,1140507,土地1建物1車位1,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830723,156.69,4,2,2,有,有,8800000,56162,坡道機械,0,0
前金區,房地(土地+建物),高雄市前金區自強二路１０２之６號三樓,4.96,1140510,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,801230,59.13,1,0,1,有,有,3100000,52427,,0,0
前金區,房地(土地+建物)+車位,高雄市前金區河東路１７６號九樓之１,9.53,1140506,土地1建物1車位1,九層,三十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,850215,239.06,4,2,2,有,有,18000000,75295,坡道機械,0,0
苓雅區,房地(土地+建物),高雄市苓雅區中正一路１７７之２號８樓之６,3.49,1140506,土地2建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830507,29.15,1,1,1,有,有,2400000,82333,,0,0
苓雅區,房地(土地+建物)+車位,高雄市苓雅區光華一路１４８之９９號四樓,16.66,1140507,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,760106,157.79,4,2,2,有,有,14200000,89993,坡道平面,0,0
三民區,房地(土地+建物),高雄市三民區大昌二路１１９之２號四樓,33.06,1140501,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,820611,115.73,0,0,0,無,無,10000000,86408,,0,0
三民區,房地(土地+建物),高雄市三民區愛國路９９號四樓之１５,4.5,1140504,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,950726,21.98,1,1,1,有,有,1880000,85532,,0,0
梓官區,房地(土地+建物),高雄市梓官區中崙路１４８巷２５號,80.05,1140506,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,670304,90.78,2,1,2,有,無,4900000,53977,,0,0
鳳山區,房地(土地+建物),高雄市鳳山區文衡路９０巷１弄６號,56,1140516,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,591128,78.99,4,1,2,有,無,6200000,78491,,0,0
大寮區,房地(土地+建物),高雄市大寮區江山路８之１７號,158.4,1140506,土地2建物1車位0,全,二層,透天厝,其他,加強磚造,770430,29.65,3,2,2,有,無,1548530,52227,,0,0
三民區,房地(土地+建物),高雄市三民區大豐二路４８２號,11.51,1140510,土地1建物1車位0,一層，二層，騎樓,十六層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,850729,119.75,0,0,0,無,有,9400000,78497,,0,0
楠梓區,房地(土地+建物),高雄市楠梓區廣昌街１５１巷３４號,63,1140520,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,670112,77.74,3,1,2,有,無,5000000,64317,,0,0
鹽埕區,房地(土地+建物),高雄市鹽埕區新興街１之１０號,45.1,1140519,土地4建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,630913,68.12,2,1,1,有,無,2000000,29360,,0,0
苓雅區,房地(土地+建物)+車位,高雄市苓雅區四維四路２１６號４樓之２,18.82,1140516,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,800824,214.24,3,0,0,有,有,5800000,27072,升降機械,0,0
前鎮區,房地(土地+建物),高雄市前鎮區中華五路１００７巷２０號十樓,24.82,1140502,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,910619,145.76,3,2,2,有,有,11500000,78897,,0,0
三民區,房地(土地+建物),高雄市三民區凱旋一路１８１之１號,20.16,1140507,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,701226,58.72,2,1,1,有,無,4500000,76635,,0,0
大社區,房地(土地+建物),高雄市大社區翠屏路８４巷４５號十五樓,6.46,1140515,土地1建物1車位0,十五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830128,42.95,0,0,0,無,有,2400000,55879,,0,0
林園區,房地(土地+建物),高雄市林園區港埔三路１１２巷３９號,74,1140513,土地2建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,820310,186.48,4,2,4,有,無,2500000,13406,,0,0
大寮區,建物,高雄市大寮區文化路４６巷２６號,0,1140506,土地0建物1車位0,全,二層,透天厝,住家用,加強磚造,690414,93.46,5,1,1,有,無,328000,3510,,0,0
鼓山區,房地(土地+建物),高雄市鼓山區文信路８６４號五樓,30.24,1140503,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,761114,126.01,4,2,3,有,無,5330000,42298,,0,0
三民區,房地(土地+建物),高雄市三民區民族一路５４３巷２６號十樓,10.4,1140512,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,851210,91.34,3,2,2,有,有,7120000,77951,,0,0
楠梓區,房地(土地+建物),高雄市楠梓區久昌街２２３號四樓之１,25,1140508,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710227,95.47,3,2,1,有,無,2450000,25663,,0,0
楠梓區,房地(土地+建物),高雄市楠梓區德賢路３８０巷２６號九樓之１,13.68,1140516,土地1建物1車位0,九層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860107,141.97,4,2,2,有,有,4000000,28175,,0,0
林園區,房地(土地+建物),高雄市林園區鳳芸二路９９巷６號四樓,25.13,1140510,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,820218,95.99,3,2,2,有,無,2150000,22398,,0,0
鼓山區,房地(土地+建物)+車位,高雄市鼓山區馬卡道路４１１號,14.09,1140512,土地1建物1車位1,一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,941215,104.86,3,1,1,有,有,9000000,85829,坡道機械,11.63,0
苓雅區,房地(土地+建物),高雄市苓雅區正言路３９號４樓之３,4.46,1140513,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820416,39.72,1,0,1,有,有,1260000,31722,,0,0
小港區,房地(土地+建物),高雄市小港區建成街３４號,71,1140503,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,690313,153.54,5,1,3,有,無,3000000,19539,,0,0
鳳山區,房地(土地+建物),高雄市鳳山區瑞和街２０巷１８號,60,1140508,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,601201,70.56,4,2,2,有,無,4800000,68027,,0,0
前金區,房地(土地+建物)+車位,高雄市前金區河東路１４２號六樓,3.55,1140504,土地1建物1車位1,六層,三十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土、鋼筋混凝土、鋼骨造,1130716,78.13,2,1,1,有,無,8000000,102393,坡道機械,6.94,0
苓雅區,房地(土地+建物),高雄市苓雅區廣東二街７４巷２５號,27.8,1140505,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,770430,84.04,3,2,2,有,無,10000000,118991,,0,0
苓雅區,房地(土地+建物),高雄市苓雅區和平一路３６巷９號,49,1140501,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,530517,64.22,5,2,3,有,無,7880000,122703,,0,0
小港區,房地(土地+建物),高雄市小港區秀峰街１巷５１之９號七樓,5.62,1140505,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830929,33.29,1,1,1,有,有,1620000,48663,,0,0
三民區,房地(土地+建物)+車位,高雄市三民區褒揚街１６８號十三樓,7.73,1140506,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1140213,94.72,2,2,2,有,有,11860000,125268,其他,10.82,1350000
三民區,房地(土地+建物),高雄市三民區大順二路６８８號六樓之５,4.82,1140505,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091019,77.06,2,2,1,有,有,9300000,120685,,0,0
三民區,房地(土地+建物),高雄市三民區鼎山街５６２之７號四樓,8.36,1140515,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),,鋼筋混凝土造,771004,53.41,1,1,1,有,有,1800000,33702,,0,0
左營區,房地(土地+建物)+車位,高雄市左營區自由二路３３１號,18.16,1140519,土地1建物1車位1,一層，二層，騎樓,十四層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,860719,206.51,0,2,1,有,有,27430000,132826,坡道平面,19.89,0
左營區,房地(土地+建物),高雄市左營區自由二路３３３號,12.02,1140519,土地1建物1車位0,一層，二層，騎樓,十四層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,860719,135.32,0,2,1,有,有,17970000,132796,,0,0
左營區,房地(土地+建物),高雄市左營區左營大路６７２巷４１號,75,1140510,土地2建物1車位0,全,五層,透天厝,其他,鋼筋混凝土造,941019,229.97,3,2,4,有,無,12800000,55659,,0,0
岡山區,房地(土地+建物),高雄市岡山區協和路１巷２７之２號五樓之２,20.6,1140521,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820825,87.1,2,2,1,有,有,4600000,52813,,0,0
甲仙區,房地(土地+建物),高雄市甲仙區公園路二街１６號,82.49,1140513,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,741213,121.7,3,1,1,有,無,1800000,14790,,0,0
苓雅區,房地(土地+建物),高雄市苓雅區新光路６２巷２１號７樓之２,5.24,1140516,土地1建物1車位0,七層,三十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860421,122.44,3,2,2,有,有,6000000,49004,,0,0
小港區,房地(土地+建物),高雄市小港區孔鳳路１５２號,94,1140501,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,940204,204.49,5,4,3,有,無,18000000,88024,,0,0
小港區,房地(土地+建物),高雄市小港區鳳北路１９１巷２５號,60,1140523,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,660810,69.44,6,2,3,有,無,8354000,120305,,0,0
鹽埕區,房地(土地+建物),高雄市鹽埕區河西路１１８號六樓之１,5.34,1140509,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,790404,65.65,2,1,1,有,有,3800000,57883,,0,0
新興區,房地(土地+建物)+車位,高雄市新興區中山一路１４之６號三十樓之１０,8.24,1140509,土地2建物1車位1,三十層,三十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土構造、鋼筋混凝土造、鋼骨構造,1130501,143.82,3,2,2,有,有,13800000,95953,坡道平面,32.3,0
前鎮區,房地(土地+建物)+車位,高雄市前鎮區和平二路２２７巷２１號二樓,15.4,1140504,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960621,179.87,4,2,2,有,有,15000000,89838,坡道平面,29.6,1500000
小港區,房地(土地+建物),高雄市小港區廠前路７３巷８弄２之１號,35.6,1140509,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700819,95.95,4,2,2,有,無,2500000,26055,,0,0
前鎮區,房地(土地+建物),高雄市前鎮區瑞發街２９號,62,1140506,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,640809,151.77,4,2,3,有,無,14500000,95539,,0,0
前鎮區,房地(土地+建物),高雄市前鎮區民權二路３５７之４號六樓,4.47,1140513,土地2建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,670811,40.01,1,1,1,有,有,2000000,49988,,0,0
三民區,房地(土地+建物)+車位,高雄市三民區褒揚街１６８號十五樓,7.73,1140503,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1140213,106.63,2,2,2,有,有,13500000,133508,坡道平面,22.74,2300000
三民區,房地(土地+建物),高雄市三民區長明街１６５號,27,1140508,土地1建物1車位0,全,三層,透天厝,住商用,加強磚造,580130,69.75,4,2,4,有,無,2434650,34905,,0,0
左營區,房地(土地+建物),高雄市左營區新庄仔路５４５巷３７弄１３號二樓,28.19,1140507,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710918,73.4,3,2,2,有,無,4700000,64033,,0,0
楠梓區,房地(土地+建物),高雄市楠梓區大學五十八街７９巷１８號二樓,7.8,1140510,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,950601,28.88,1,0,1,有,有,2700000,93490,,0,0
左營區,房地(土地+建物)+車位,高雄市左營區海景街５０５號十四樓之５,39.42,1140516,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,991124,181.74,3,2,2,有,有,12760000,70210,坡道平面,0,0
楠梓區,房地(土地+建物),高雄市楠梓區廣昌街１５１巷９號,59,1140516,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,670112,75.54,3,1,2,有,無,6280000,83135,,0,0
