抓取時間,搜尋結果第幾頁,物件超連結,物件標題,地址,房屋類型,屋齡,建坪,實際坪數,所在樓層,格局,額外資訊1,原始價格,目前價格,原始及目前價格,是否含車位價格,,
2025_11_24 10_01_35,1,https://www.sinyi.com.tw//buy/house/1548LY?breadcrumb=list,翰陽尊邸四房附雙平車位翰陽尊邸,台中市南屯區大墩一街,華廈,27.6年,建坪 73.41,主 + 陽43.16,7樓/9樓,4房2廳2衛,有裝潢有景觀前後陽台有 258 人也在關注這間👀,"2,480萬","2,088","2,480萬2,088萬",兩個以上車位,,
2025_11_24 10_01_35,1,https://www.sinyi.com.tw//buy/house/1233CB?breadcrumb=list,湖濱城急急急～！！,台中市東區樂業二路,辦公/大樓,0.5年,建坪 19.87,主 + 陽12.34,12樓/28樓,2廳1衛,有陽台廁所開窗房間皆有窗有 79 人也在關注這間👀,"1,088萬",998,"1,088萬998萬",,,
2025_11_24 10_01_35,1,https://www.sinyi.com.tw//buy/house/8458PR?breadcrumb=list,精銳優質２房平車精銳軟園1號-B...,台中市大里區公園街,大樓,5.9年,建坪 37.94,主 + 陽17.08,2樓/11樓,2房2廳1衛,有裝潢有陽台廁所開窗有 106 人也在關注這間👀,"1,380萬","1,198","1,380萬1,198萬",坡道平面車位,,
2025_11_24 10_01_47,2,https://www.sinyi.com.tw//buy/house/9899LJ?breadcrumb=list,遠雄一品｜泳池全齡宜居宅遠雄一品,台中市南屯區新富路,大樓,8.6年,建坪 82.3,主 + 陽43.35,8樓/17樓,3房2廳3衛,有景觀前後陽台有陽台有 496 人也在關注這間👀,"3,988萬","3,750","3,988萬3,750萬",兩個以上車位,,
2025_11_24 10_01_47,2,https://www.sinyi.com.tw//buy/house/4469UH?breadcrumb=list,四維國小站。採光優美兩房總統閣廈,台中市北屯區天津路四段,大樓,30.4年,建坪 15.63,主 + 陽10.18,7樓/24樓,2房1廳1衛,有裝潢有陽台房間皆有窗有 2611 人也在關注這間👀,798萬,698,798萬698萬,,,
2025_11_24 10_01_47,2,https://www.sinyi.com.tw//buy/house/1187QH?breadcrumb=list,協勝詠心９米寬挑高店面Ｂ,台中市太平區環中東路四段,店面,1.0年,建坪 57.67,主建物23.72,1樓/14樓,2廳1衛,有裝潢有景觀警衛管理有 106 人也在關注這間👀,"2,580萬","2,380","2,580萬2,380萬",兩個以上車位,,
2025_11_24 10_01_47,2,https://www.sinyi.com.tw//buy/house/1777MH?breadcrumb=list,急售Ｉ時尚裝潢３房平車I時尚,台中市西屯區青海南街,大樓,12.3年,建坪 50.35,主 + 陽24.24,10樓/12樓,3房2廳2衛,有裝潢有景觀前後陽台有 1886 人也在關注這間👀,"2,588萬","1,898","2,588萬1,898萬",坡道平面車位,,
2025_11_24 10_01_47,2,https://www.sinyi.com.tw//buy/house/85342Y?breadcrumb=list,美術館天空樹豪邸寬闊視野富邦天空樹,台中市西區五權西路一段,大樓,9.3年,建坪 250.25,主 + 陽167.54,34樓/39樓,1廳,毛胚屋有景觀前後陽台有 616 人也在關注這間👀,"19,769萬","14,768","19,769萬14,768萬",,,
2025_11_24 10_01_47,2,https://www.sinyi.com.tw//buy/house/7841FK?breadcrumb=list,達麗晶漾稀有釋出兩房車位達麗晶漾,台中市西屯區青海路二段,大樓,8.3年,建坪 29.2,主 + 陽15.89,11樓/22樓,2房2廳1衛,有裝潢有景觀有陽台有 533 人也在關注這間👀,"1,598萬","1,498","1,598萬1,498萬",坡道機械車位,,
2025_11_24 10_01_47,2,https://www.sinyi.com.tw//buy/house/0713RD?breadcrumb=list,北區陽台套房＋坡道車位,台中市北區中清路一段,套房,29.5年,建坪 12.92,主 + 陽6.65,13樓/13樓,1房1廳1衛,有景觀有陽台警衛管理有 1198 人也在關注這間👀,528萬,438,528萬438萬,坡道機械車位,,
2025_11_24 10_01_47,2,https://www.sinyi.com.tw//buy/house/9410ZS?breadcrumb=list,視野！看七期美屋三房車位熊貓大觀園,台中市西屯區西屯路二段,大樓,27.1年,建坪 33.84,主 + 陽23.51,10樓/13樓,3房2廳2衛,有裝潢有景觀前後陽台有 236 人也在關注這間👀,"1,428萬","1,298","1,428萬1,298萬",坡道機械車位,,
2025_11_24 10_01_47,2,https://www.sinyi.com.tw//buy/house/18877G?breadcrumb=list,臻選新匯高樓三房車位親家新匯,台中市南區正氣街,大樓,10.6年,建坪 45.94,主 + 陽27,11樓/15樓,3房2廳2衛,有裝潢有景觀前後陽台有 208 人也在關注這間👀,"1,888萬","1,698","1,888萬1,698萬",坡道機械車位,,
2025_11_24 10_01_47,2,https://www.sinyi.com.tw//buy/house/0310PV?breadcrumb=list,啟盛近火車站復興路大二房,台中市南區復興路三段,大樓,46.2年,建坪 31.01,主建物31.01,3樓/11樓,2房2廳2衛,警衛管理具垃圾處理近公園有 340 人也在關注這間👀,899萬,700,899萬700萬,,,
2025_11_24 10_01_47,2,https://www.sinyi.com.tw//buy/house/3905QQ?breadcrumb=list,勝美極美三房雙平車視野宅勝美極美,台中市南屯區寶山東二街,大樓,14.6年,建坪 52.04,主 + 陽26.07,10樓/12樓,3房2廳2衛,有景觀有陽台警衛管理有 491 人也在關注這間👀,"1,798萬","1,698","1,798萬1,698萬",兩個以上車位,,
2025_11_24 10_01_47,2,https://www.sinyi.com.tw//buy/house/2369SP?breadcrumb=list,近惠文中學，大三房平車位燕宇名廈,台中市南屯區黎明東街,華廈,28.0年,建坪 48.11,主 + 陽30.91,1樓/9樓,3房2廳2衛,有裝潢廁所開窗房間皆有窗有 795 人也在關注這間👀,"1,980萬","1,458","1,980萬1,458萬",坡道平面車位,,
2025_11_24 10_01_47,2,https://www.sinyi.com.tw//buy/house/5545SU?breadcrumb=list,✦近漢神精美裝潢二房平車讚幸福,台中市北屯區崇德十六路,大樓,6.0年,建坪 37.6,主 + 陽18.13,15樓/15樓,2房2廳1衛,有裝潢警衛管理具垃圾處理有 141 人也在關注這間👀,"2,100萬","1,825","2,100萬1,825萬",坡道平面車位,,
2025_11_24 10_01_47,2,https://www.sinyi.com.tw//buy/house/1648KL?breadcrumb=list,微笑之心｜平車輕奢首購宅微笑世紀A區/微...,台中市北區育樂街,大樓,4.1年,建坪 36.21,主 + 陽16.71,2樓/22樓,2房2廳1衛1室,有裝潢有陽台房間皆有窗有 1062 人也在關注這間👀,"1,598萬","1,388","1,598萬1,388萬",坡道平面車位,,
2025_11_24 10_01_47,2,https://www.sinyi.com.tw//buy/house/4424NP?breadcrumb=list,購屋節狠降！俊國福岡二房俊國福岡,台中市西屯區福科路,大樓,31.3年,建坪 25.64,主 + 陽21.09,13樓/15樓,2房2廳1衛,有陽台警衛管理具垃圾處理有 324 人也在關注這間👀,958萬,880,958萬880萬,,,
2025_11_24 10_01_47,2,https://www.sinyi.com.tw//buy/house/5490DN?breadcrumb=list,⬛近中山醫震後大空間文心大三元-白金...,台中市南區復興路一段,大樓,19.9年,建坪 25.82,主建物16.55,12樓/12樓,1房2廳1衛,有裝潢房間皆有窗警衛管理有 678 人也在關注這間👀,888萬,798,888萬798萬,,,
2025_11_24 10_01_47,2,https://www.sinyi.com.tw//buy/house/8734AV?breadcrumb=list,★競爭價大２房平車享視野赫里翁臻愛,台中市西屯區環中路二段,大樓,7.0年,建坪 33.77,主 + 陽17.02,5樓/29樓,2房2廳1衛,有裝潢有景觀前後陽台有 396 人也在關注這間👀,"1,858萬","1,458","1,858萬1,458萬",坡道平面車位,,
2025_11_24 10_01_47,2,https://www.sinyi.com.tw//buy/house/6390UY?breadcrumb=list,大降價！太子四季有裝潢太子四季,台中市西屯區臺灣大道四段,大樓,19.0年,建坪 38.74,主 + 陽19.06,10樓/15樓,1房2廳1衛,有裝潢有景觀有陽台有 977 人也在關注這間👀,"2,000萬","1,700","2,000萬1,700萬",坡道平面車位,,
2025_11_24 10_01_47,2,https://www.sinyi.com.tw//buy/house/2404FL?breadcrumb=list,勝美大禮高樓美四房平車勝美大禮,台中市大里區西榮路,大樓,11.5年,建坪 58.04,主 + 陽33.43,13樓/15樓,4房2廳2衛,有裝潢前後陽台有陽台有 138 人也在關注這間👀,"2,068萬","1,898","2,068萬1,898萬",坡道平面車位,,
2025_11_24 10_01_47,2,https://www.sinyi.com.tw//buy/house/0624JG?breadcrumb=list,近好市多近捷運大兩房平車松竹領航-竹月館,台中市北屯區敦富一街,大樓,3.5年,建坪 39.9,主 + 陽21.84,4樓/13樓,2房2廳1衛1室,前後陽台有陽台廁所開窗有 508 人也在關注這間👀,"1,738萬","1,488","1,738萬1,488萬",坡道平面車位,,
2025_11_24 10_01_57,3,https://www.sinyi.com.tw//buy/house/7354WY?breadcrumb=list,低總價永興街精裝大套房,台中市北區永興街,套房/華廈,32.0年,建坪 9.22,主 + 陽6.56,4樓/7樓,1房1廳1衛,有裝潢有景觀廁所開窗有 956 人也在關注這間👀,358萬,299,358萬299萬,,,
2025_11_24 10_01_57,3,https://www.sinyi.com.tw//buy/house/3479GY?breadcrumb=list,推薦惠文國小學區四房平車大葉學苑,台中市南屯區大業路,大樓,27.0年,建坪 56.05,主 + 陽35.83,13樓/22樓,4房2廳2衛,有裝潢有景觀前後陽台有 719 人也在關注這間👀,"1,960萬","1,750","1,960萬1,750萬",坡道平面車位,,
2025_11_24 10_01_57,3,https://www.sinyi.com.tw//buy/house/6851SL?breadcrumb=list,八期捷運宅四房裝潢雙平車德鑫清流,台中市南屯區文心南路,大樓,10.1年,建坪 85.29,主 + 陽45.77,4樓/20樓,4房2廳2衛,有裝潢廁所開窗警衛管理有 724 人也在關注這間👀,"3,980萬","3,598","3,980萬3,598萬",兩個以上車位,,
2025_11_24 10_01_57,3,https://www.sinyi.com.tw//buy/house/7060RR?breadcrumb=list,北區高樓看山景商辦,台中市北區進化路,辦公/大樓,34.5年,建坪 28.19,主建物22.06,14樓/16樓,1廳,有裝潢有景觀廁所開窗有 43 人也在關注這間👀,"1,098萬",940,"1,098萬940萬",,,
2025_11_24 10_01_57,3,https://www.sinyi.com.tw//buy/house/9420ZR?breadcrumb=list,近中國醫電梯次頂樓三房虎嘯西村,台中市東區力行路,大樓,27.6年,建坪 37.76,主 + 陽24.52,11樓/12樓,3房2廳2衛,有裝潢有景觀前後陽台有 165 人也在關注這間👀,"1,260萬","1,098","1,260萬1,098萬",,,
2025_11_24 10_01_57,3,https://www.sinyi.com.tw//buy/house/70304E?breadcrumb=list,急售近東海電梯２＋１,台中市龍井區藝術北街,華廈,33.1年,建坪 29.87,主 + 陽21.23,8樓/8樓,2房2廳2衛1室,有景觀前後陽台有陽台有 762 人也在關注這間👀,898萬,680,898萬680萬,,,
2025_11_24 10_01_57,3,https://www.sinyi.com.tw//buy/house/1830RG?breadcrumb=list,皇普莊園邊間大兩房平車,台中市北區進化路,大樓,0.9年,建坪 36.69,主 + 陽18.93,11樓/24樓,2房2廳1衛,有景觀前後陽台有陽台有 135 人也在關注這間👀,"1,698萬","1,498","1,698萬1,498萬",坡道平面車位,,
2025_11_24 10_01_57,3,https://www.sinyi.com.tw//buy/house/4511RV?breadcrumb=list,帥佳泰大崇德視野戶屋況優佳泰大崇德,台中市北屯區河北西街,大樓,6.0年,建坪 49.12,主 + 陽26.45,13樓/15樓,3房2廳2衛,有裝潢前後陽台有陽台有 114 人也在關注這間👀,"2,480萬","2,298","2,480萬2,298萬",坡道平面車位,,
2025_11_24 10_01_57,3,https://www.sinyi.com.tw//buy/house/4549LG?breadcrumb=list,全新未住小時代６兩房平車,台中市沙鹿區錦華街,華廈,1.5年,建坪 38.77,主 + 陽18.02,8樓/10樓,2房2廳1衛,有景觀有陽台廁所開窗有 789 人也在關注這間👀,"1,128萬",998,"1,128萬998萬",坡道平面車位,,
2025_11_24 10_01_57,3,https://www.sinyi.com.tw//buy/house/6601JK?breadcrumb=list,近中山醫雙鐵共構高樓三房文心靜園A區,台中市南區文心南路,大樓,28.8年,建坪 43.28,主 + 陽29.75,15樓/17樓,3房2廳2衛,有景觀前後陽台有陽台有 1307 人也在關注這間👀,"1,368萬","1,098","1,368萬1,098萬",坡道機械車位,,
2025_11_24 10_01_57,3,https://www.sinyi.com.tw//buy/house/6251ZH?breadcrumb=list,大地交響兩房平車大地交響美廈,台中市北屯區崇德路二段,大樓,27.6年,建坪 36.7,主 + 陽22.36,14樓/25樓,2房2廳1衛,有裝潢有陽台房間皆有窗有 465 人也在關注這間👀,"1,398萬","1,198","1,398萬1,198萬",坡道平面車位,,
2025_11_24 10_01_57,3,https://www.sinyi.com.tw//buy/house/5641NJ?breadcrumb=list,殺很大、松竹捷運朝南大三松竹領航-松風館,台中市北屯區敦富一街,大樓,2.1年,建坪 49.51,主 + 陽27.88,2樓/15樓,3房2廳2衛,有裝潢廁所開窗房間皆有窗有 668 人也在關注這間👀,"1,880萬","1,698","1,880萬1,698萬",坡道平面車位,,
2025_11_24 10_01_57,3,https://www.sinyi.com.tw//buy/house/3398SX?breadcrumb=list,【文心及第】三房平面車位文心及第,台中市西屯區大恩街,大樓,29.0年,建坪 57.65,主 + 陽36.89,4樓/12樓,3房2廳2衛,有裝潢前後陽台有陽台有 681 人也在關注這間👀,"1,980萬","1,788","1,980萬1,788萬",坡道平面車位,,
2025_11_24 10_01_57,3,https://www.sinyi.com.tw//buy/house/2143KR?breadcrumb=list,崇光國小旁大三房車位,台中市大里區益民路二段,華廈,35.3年,建坪 58.92,主 + 陽42.66,4樓/6樓,3房2廳2衛,前後陽台有陽台廁所開窗有 151 人也在關注這間👀,"1,350萬","1,198","1,350萬1,198萬",升降機械車位,,
2025_11_24 10_01_57,3,https://www.sinyi.com.tw//buy/house/8230UM?breadcrumb=list,屋齡約７年美三房平車君大院,台中市大里區長興一街,大樓,7.1年,建坪 48.67,主 + 陽25.93,16樓/23樓,3房2廳2衛,有裝潢有景觀前後陽台有 74 人也在關注這間👀,"1,798萬","1,668","1,798萬1,668萬",坡道平面車位,,
2025_11_24 10_01_57,3,https://www.sinyi.com.tw//buy/house/6968SH?breadcrumb=list,中科寶輝莊園三房雙平車寶輝國際莊園,台中市西屯區福科路,大樓,1.2年,建坪 78.35,主 + 陽37.83,12樓/24樓,3房2廳2衛,有景觀前後陽台有陽台有 829 人也在關注這間👀,"6,288萬","4,680","6,288萬4,680萬",兩個以上車位,,
2025_11_24 10_01_57,3,https://www.sinyi.com.tw//buy/house/4329GK?breadcrumb=list,中科國安藍海帝國三房平車富宇藍海帝國,台中市西屯區國安一路,大樓,18.2年,建坪 41.53,主 + 陽23.16,5樓/15樓,3房2廳2衛,有裝潢有景觀有陽台有 710 人也在關注這間👀,"2,200萬","1,788","2,200萬1,788萬",坡道平面車位,,
2025_11_24 10_01_57,3,https://www.sinyi.com.tw//buy/house/5971DN?breadcrumb=list,美樂地三房平車視野戶總太美樂地,台中市北屯區太順路,大樓,6.6年,建坪 47.18,主 + 陽25.51,4樓/15樓,3房2廳2衛,有裝潢有景觀前後陽台有 104 人也在關注這間👀,"1,720萬","1,588","1,720萬1,588萬",坡道平面車位,,
2025_11_24 10_01_57,3,https://www.sinyi.com.tw//buy/house/0176YZ?breadcrumb=list,帶您賞屋國美商圈由鉅ＡＺAZ學生活,台中市西區五權七街,大樓,19.1年,建坪 62.62,主 + 陽40.58,13樓/13樓,4房2廳2衛,有裝潢有景觀前後陽台有 1782 人也在關注這間👀,"3,188萬","2,598","3,188萬2,598萬",坡道平面車位,,
2025_11_24 10_01_57,3,https://www.sinyi.com.tw//buy/house/9277JC?breadcrumb=list,漢唐面靜巷大空間漢唐盛世,台中市西屯區逢甲路,大樓,33.3年,建坪 28.51,主 + 陽21.12,2樓/12樓,1房2廳1衛,有裝潢前後陽台有陽台有 176 人也在關注這間👀,"1,258萬",998,"1,258萬998萬",,,
2025_11_24 10_02_07,4,https://www.sinyi.com.tw//buy/house/6741MZ?breadcrumb=list,專任♥︎五權車站兩房兩衛寶璽祥園,台中市南區南平路,大樓,34.2年,建坪 31.44,主 + 陽24.04,10樓/15樓,2房2廳2衛,有裝潢有景觀警衛管理有 1077 人也在關注這間👀,950萬,798,950萬798萬,,,
2025_11_24 10_02_07,4,https://www.sinyi.com.tw//buy/house/1538VT?breadcrumb=list,五期★ＬＡＶＩＥ四房平車LAVIE,台中市西屯區大墩二十街,大樓,12.2年,建坪 55.6,主 + 陽31.11,8樓/12樓,4房2廳2衛,有裝潢有景觀前後陽台有 580 人也在關注這間👀,"2,680萬","2,680","2,680萬",坡道平面車位,,
2025_11_24 10_02_07,4,https://www.sinyi.com.tw//buy/house/3266YW?breadcrumb=list,總太朝南次頂樓視野美兩房總太2020,台中市北屯區環太東路,大樓,5.3年,建坪 35.38,主 + 陽18.83,14樓/15樓,2房2廳1衛,有裝潢有景觀有陽台有 154 人也在關注這間👀,"1,280萬","1,180","1,280萬1,180萬",坡道平面車位,,
2025_11_24 10_02_07,4,https://www.sinyi.com.tw//buy/house/3019WT?breadcrumb=list,陽光之邑視野三房雙平車位陽光之邑,台中市南屯區文山九街,大樓,30.4年,建坪 50.2,主 + 陽27.22,8樓/12樓,3房2廳2衛,有裝潢有景觀前後陽台有 575 人也在關注這間👀,"1,680萬","1,380","1,680萬1,380萬",兩個以上車位,,
2025_11_24 10_02_07,4,https://www.sinyi.com.tw//buy/house/5882BF?breadcrumb=list,破盤價！急。由鉅ＡＺAZ學生活,台中市西區五權七街,大樓,19.1年,建坪 43.2,主 + 陽32.08,13樓/13樓,3房2廳2衛,有裝潢有景觀前後陽台有 2272 人也在關注這間👀,"2,280萬","1,888","2,280萬1,888萬",,,"2,280萬1,888萬"
2025_11_24 10_02_07,4,https://www.sinyi.com.tw//buy/house/8962CW?breadcrumb=list,專。百達富裔高樓視野裝潢百達富裔,台中市西屯區臺灣大道三段,大樓,14.9年,建坪 153.43,主 + 陽92.17,25樓/35樓,5房2廳4衛,有裝潢有景觀前後陽台有 18 人也在關注這間👀,"5,398萬","5,398","5,398萬",兩個以上車位,,
2025_11_24 10_02_07,4,https://www.sinyi.com.tw//buy/house/8299HD?breadcrumb=list,立人高中旁大三房附車位佑睿首薈,台中市大里區益民路一段,大樓,10.0年,建坪 50.55,主 + 陽30.43,2樓/11樓,3房2廳2衛,有裝潢前後陽台有陽台有 295 人也在關注這間👀,"1,738萬","1,498","1,738萬1,498萬",坡道機械車位,,
2025_11_24 10_02_07,4,https://www.sinyi.com.tw//buy/house/8403JJ?breadcrumb=list,德安臻藏高樓四房平面車位德安臻藏,台中市西屯區文心路三段,華廈,20.3年,建坪 50.99,主 + 陽29.8,8樓/10樓,4房2廳2衛,有裝潢有景觀前後陽台有 57 人也在關注這間👀,"2,380萬","2,380","2,380萬",坡道平面車位,,
2025_11_24 10_02_07,4,https://www.sinyi.com.tw//buy/house/4680VS?breadcrumb=list,☆博識大兩房裝潢戶視野好博識,台中市南屯區河南路四段,大樓,5.3年,建坪 48.32,主 + 陽24.5,9樓/24樓,2房2廳1衛,警衛管理具垃圾處理健身房有 87 人也在關注這間👀,"2,580萬","2,380","2,580萬2,380萬",坡道平面車位,,
2025_11_24 10_02_07,4,https://www.sinyi.com.tw//buy/house/2797AZ?breadcrumb=list,全新三房平車近樹孝商圈,台中市太平區環中東路三段,大樓,0.8年,建坪 47.11,主 + 陽25.97,4樓/15樓,3房2廳2衛,有裝潢前後陽台有陽台有 172 人也在關注這間👀,"1,698萬","1,498","1,698萬1,498萬",坡道平面車位,,
2025_11_24 10_02_07,4,https://www.sinyi.com.tw//buy/house/6458RS?breadcrumb=list,急售決心處理南屯兩房平車,台中市南屯區春安路,大樓,1.7年,建坪 38.66,主 + 陽18.67,9樓/24樓,2房2廳1衛,有陽台廁所開窗房間皆有窗有 2748 人也在關注這間👀,"1,698萬","1,358","1,698萬1,358萬",坡道平面車位,,
2025_11_24 10_02_07,4,https://www.sinyi.com.tw//buy/house/9394ZF?breadcrumb=list,急售！微笑城市３房平車麗寶微笑城市1,台中市南屯區春安三街,大樓,5.3年,建坪 42.58,主 + 陽20.85,2樓/15樓,3房2廳1衛,有景觀前後陽台有陽台有 2915 人也在關注這間👀,"1,588萬","1,333","1,588萬1,333萬",坡道平面車位,,
2025_11_24 10_02_07,4,https://www.sinyi.com.tw//buy/house/3109VL?breadcrumb=list,新青安低總價電梯美宅,台中市北區梅亭東街,華廈,35.7年,建坪 13.57,主建物9.69,2樓/7樓,1房1廳1衛,有裝潢廁所開窗房間皆有窗有 6148 人也在關注這間👀,430萬,328,430萬328萬,,,
2025_11_24 10_02_07,4,https://www.sinyi.com.tw//buy/house/4973YV?breadcrumb=list,【興大翡儷】美屋附車位興大翡儷,台中市南區五權南路,大樓,17.3年,建坪 24.05,主 + 陽12.7,12樓/14樓,1房2廳1衛,有裝潢有景觀前後陽台有 3231 人也在關注這間👀,"1,198萬",999,"1,198萬999萬",坡道機械車位,,
2025_11_24 10_02_07,4,https://www.sinyi.com.tw//buy/house/86715V?breadcrumb=list,英棋尊邸｜首購優質三房英棋尊邸,台中市南屯區河南路四段,大樓,28.9年,建坪 34.62,主 + 陽24.67,1樓/14樓,3房2廳2衛,有陽台房間皆有窗警衛管理有 45 人也在關注這間👀,"1,350萬","1,350","1,350萬",,,
2025_11_24 10_02_07,4,https://www.sinyi.com.tw//buy/house/1525LJ?breadcrumb=list,雲世紀Ｂ區三房高樓雙車位雲世紀B區米勒拾...,台中市西屯區國安一路,大樓,11.0年,建坪 53.19,主 + 陽25.99,17樓/21樓,3房2廳2衛,有裝潢有景觀前後陽台有 52 人也在關注這間👀,"2,198萬","2,198","2,198萬",兩個以上車位,,
